Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Ngapeth,FRA,124,48,72,15.5,50.82,244
2,Lima B.,ARG,119,58,50,14.88,52.42,227
3,Patry,FRA,115,25,74,14.38,53.74,214
4,Facu,ARG,111,43,92,13.88,45.12,246
5,Mikhaylov,ROC,110,35,80,13.75,48.89,225
6,Clevenot,FRA,102,37,52,12.75,53.4,191
7,Juantorena,ITA,99,17,58,16.5,56.9,174
8,Wallace,BRA,94,44,74,11.75,44.34,212
8,Ishikawa,JPN,94,26,72,15.67,48.96,192
9,Leal,BRA,93,29,71,11.62,48.19,193
10,Nishida,JPN,92,21,58,15.33,53.8,171
11,Kliuka,ROC,86,31,66,10.75,46.99,183
12,Leon,POL,85,16,40,17.0,60.28,141
13,Lucarelli,BRA,82,26,65,10.25,47.4,173
14,Kurek,POL,76,23,32,12.67,58.02,131
15,Volkov,ROC,73,24,71,9.12,43.45,168
16,Michieletto,ITA,72,18,54,12.0,50.0,144
17,Salehi,IRI,71,22,37,14.2,54.62,130
18,Lucas,BRA,69,14,21,8.62,66.35,104
19,Perrin,CAN,66,16,38,13.2,55.0,120
19,Anderson,USA,66,23,41,13.2,50.77,130
19,Defalco,USA,66,24,49,13.2,47.48,139
20,Palacios,ARG,64,23,64,8.0,42.38,151
20,A. Ghafour,IRI,64,14,42,12.8,53.33,120
21,Hoag,CAN,63,26,48,10.5,45.99,137
22,Ben Tara W,TUN,62,29,50,12.4,43.97,141
22,T. Sander,USA,62,17,39,12.4,52.54,118
23,Loser Bruno,ARG,55,10,25,6.88,61.11,90
24,Ran,JPN,51,18,45,8.5,44.74,114
25,Iakovlev,ROC,49,7,24,6.12,61.25,80
25,Sole,ITA,49,9,32,6.12,54.44,90
26,Milad,IRI,46,30,34,9.2,41.82,110
27,Chinenyeze,FRA,42,10,16,5.25,61.76,68
28,Zaytsev,ITA,41,22,32,8.2,43.16,95
29,Holt,USA,40,8,11,8.0,67.8,59
30,Galassi,ITA,39,4,12,6.5,70.91,55
30,Bieniek,POL,39,9,10,6.5,67.24,58
31,Willner,VEN,38,16,47,7.6,37.62,101
32,Fayola,VEN,36,16,21,7.2,49.32,73
33,Douglas,BRA,34,14,19,5.67,50.75,67
34,Emerson,VEN,33,29,20,6.6,40.24,82
34,Śliwka,POL,33,20,22,8.25,44.0,75
34,Le Goff,FRA,33,6,20,4.12,55.93,59
35,Van Berkel,CAN,32,4,10,5.33,69.57,46
36,Sclater,CAN,31,11,17,5.17,52.54,59
36,Moalla I.,TUN,31,21,20,6.2,43.06,72
37,Vernon,CAN,30,19,23,6.0,41.67,72
38,Vettori,ITA,29,8,20,5.8,50.88,57
38,Volvich,ROC,29,8,13,4.14,58.0,50
39,B.Othmen M.,TUN,28,16,34,5.6,35.9,78
40,M. Souza,BRA,27,5,19,3.86,52.94,51
41,Kochanowski,POL,26,8,9,4.33,60.47,43
42,Poglajen,ARG,25,10,15,3.12,50.0,50
43,Onodera,JPN,24,6,19,4.0,48.98,49
43,Yamauchi,JPN,24,5,13,4.0,57.14,42
43,Semeniuk,POL,24,4,11,4.8,61.54,39
44,Valencia,VEN,23,7,10,4.6,57.5,40
44,Mojarad,IRI,23,5,6,4.6,67.65,34
45,Anzani,ITA,22,6,10,4.4,57.89,38
45,Maar,CAN,22,9,17,5.5,45.83,48
45,Seyed,IRI,22,9,10,5.5,53.66,41
46,Kadhi A,TUN,21,4,20,4.2,46.67,45
47,Vigrass,CAN,20,3,11,3.33,58.82,34
47,Kazemi,IRI,20,6,14,4.0,50.0,40
47,Stahl,USA,20,3,9,5.0,62.5,32
48,Podlesnykh,ROC,19,6,13,3.17,50.0,38
48,Smith,USA,19,3,5,3.8,70.37,27
49,Maita,VEN,18,11,13,3.6,42.86,42
50,Nagga H.,TUN,16,4,8,5.33,57.14,28
51,Alan,BRA,15,4,17,2.14,41.67,36
52,Kubiak,POL,14,5,16,3.5,40.0,35
53,Piano,ITA,13,2,2,2.6,76.47,17
53,Verdi,VEN,13,2,12,2.6,48.15,27
54,Lavia,ITA,12,3,4,3.0,63.16,19
54,Boyer,FRA,12,6,6,2.0,50.0,24
55,De Cecco,ARG,10,1,9,1.25,50.0,20
56,Isac,BRA,8,4,5,1.14,47.06,17
56,Mbareki S.,TUN,8,1,5,4.0,57.14,14
56,Kurkaev,ROC,8,3,5,2.0,50.0,16
56,Takanashi,JPN,8,5,10,1.33,34.78,23
56,Nowakowski,POL,8,2,5,2.0,53.33,15
56,Kaczmarek,POL,8,3,7,1.33,44.44,18
57,Agrebi O,TUN,7,4,11,1.4,31.82,22
57,Kobzar,ROC,7,1,8,0.88,43.75,16
58,Bouguerra.A,TUN,6,4,6,1.2,37.5,16
58,Drzyzga,POL,6,1,2,1.0,66.67,9
59,Giannelli,ITA,5,0,4,1.25,55.56,9
59,Ben Slimene K,TUN,5,1,5,1.0,45.45,11
59,Pereyra L.,ARG,5,7,4,0.71,31.25,16
59,Shimizu,JPN,5,0,1,1.0,83.33,6
60,Karamosli E,TUN,4,4,4,1.0,33.33,12
60,Poletaev,ROC,4,1,1,1.0,66.67,6
60,Lee,JPN,4,0,0,1.0,100.0,4
60,Brizard,FRA,4,2,4,0.5,40.0,10
61,Szwarc,CAN,3,2,3,0.75,37.5,8
61,Ramos,ARG,3,1,2,0.6,50.0,6
61,Sekita,JPN,3,0,5,0.5,37.5,8
61,Masoud,IRI,3,2,3,1.5,37.5,8
61,Christenson,USA,3,0,3,0.6,50.0,6
61,Tillie,FRA,3,1,7,0.5,27.27,11
62,Blankenau,CAN,2,0,0,0.33,100.0,2
62,Bruno,BRA,2,0,2,0.25,50.0,4
62,Mauricio,BRA,2,2,0,0.25,50.0,4
62,Bogdan,ROC,2,0,1,1.0,66.67,3
62,Oramas,VEN,2,1,4,0.5,28.57,7
62,S. Marouf,IRI,2,2,3,0.4,28.57,7
62,Morteza,IRI,2,0,2,0.67,50.0,4
62,Louati,FRA,2,1,0,0.25,66.67,3
63,Sbertoli,ITA,1,0,0,0.17,100.0,1
63,Kovar,ITA,1,0,1,0.25,50.0,2
63,Chema,VEN,1,0,3,0.2,25.0,4
63,Armando,VEN,1,0,0,0.2,100.0,1
63,Fernando,VEN,1,1,0,0.33,50.0,2
63,Javad,IRI,1,0,0,0.25,100.0,1
63,Muagututia,USA,1,4,3,0.33,12.5,8
64,Colaci,ITA,0,0,0,,,0
64,Bann,CAN,0,0,0,,,0
64,TJ,CAN,0,0,1,0.0,0.0,1
