Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Loser Bruno,ARG,22,44,41,2.75,-20.56,107
2,Lucas,BRA,21,54,47,2.62,-27.05,122
2,Iakovlev,ROC,21,64,49,2.62,-32.09,134
3,Chinenyeze,FRA,20,59,44,2.5,-31.71,123
3,Le Goff,FRA,20,57,45,2.5,-30.33,122
4,Volkov,ROC,18,16,24,2.25,3.45,58
5,Wallace,BRA,15,29,22,1.88,-21.21,66
6,Van Berkel,CAN,14,30,25,2.33,-23.19,69
6,Mikhaylov,ROC,14,17,21,1.75,-5.77,52
6,Sole,ITA,14,53,39,1.75,-36.79,106
7,Patry,FRA,13,22,22,1.62,-15.79,57
8,Galassi,ITA,12,24,25,2.0,-19.67,61
8,Seyed,IRI,12,20,21,3.0,-15.09,53
9,Volvich,ROC,11,21,39,1.57,-14.08,71
10,Kadhi A,TUN,10,33,24,2.0,-34.33,67
10,M. Souza,BRA,10,44,28,1.43,-41.46,82
10,Lima B.,ARG,10,35,26,1.25,-35.21,71
10,Palacios,ARG,10,16,16,1.25,-14.29,42
10,Onodera,JPN,10,40,22,1.67,-41.67,72
11,Ishikawa,JPN,9,24,9,1.5,-35.71,42
11,Kurek,POL,9,20,15,1.5,-25.0,44
11,Bieniek,POL,9,38,27,1.5,-39.19,74
11,Kochanowski,POL,9,18,20,1.5,-19.15,47
11,Mojarad,IRI,9,28,25,1.8,-30.65,62
11,Clevenot,FRA,9,22,12,1.12,-30.23,43
12,Piano,ITA,8,11,9,1.6,-10.71,28
12,Juantorena,ITA,8,22,17,1.33,-29.79,47
12,Michieletto,ITA,8,21,12,1.33,-31.71,41
12,Anzani,ITA,8,33,32,1.6,-34.25,73
12,Ben Tara W,TUN,8,20,10,1.6,-31.58,38
12,Holt,USA,8,21,27,1.6,-23.21,56
13,Perrin,CAN,7,17,11,1.4,-28.57,35
13,Bruno,BRA,7,31,30,0.88,-35.29,68
13,Lucarelli,BRA,7,25,16,0.88,-37.5,48
13,Agrebi O,TUN,7,26,7,1.4,-47.5,40
13,Facu,ARG,7,33,19,0.88,-44.07,59
13,Salehi,IRI,7,17,12,1.4,-27.78,36
13,Nowakowski,POL,7,20,17,1.75,-29.55,44
13,Defalco,USA,7,10,12,1.4,-10.34,29
13,Brizard,FRA,7,20,8,0.88,-37.14,35
14,Vernon,CAN,6,8,8,1.2,-9.09,22
14,Leal,BRA,6,21,11,0.75,-39.47,38
14,Kliuka,ROC,6,18,8,0.75,-37.5,32
14,De Cecco,ARG,6,22,18,0.75,-34.78,46
14,Yamauchi,JPN,6,31,12,1.0,-51.02,49
14,Fayola,VEN,6,11,7,1.2,-20.83,24
14,Valencia,VEN,6,19,20,1.2,-28.89,45
14,Drzyzga,POL,6,20,11,1.0,-37.84,37
14,Milad,IRI,6,16,9,1.2,-32.26,31
14,T. Sander,USA,6,11,6,1.2,-21.74,23
14,Ngapeth,FRA,6,28,15,0.75,-44.9,49
15,Zaytsev,ITA,5,17,15,1.0,-32.43,37
15,Hoag,CAN,5,9,12,0.83,-15.38,26
15,Nishida,JPN,5,16,15,0.83,-30.56,36
15,Christenson,USA,5,16,13,1.0,-32.35,34
