Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Thales,BRA,72,56,15,9.0,50.35,143
2,Grebennikov,FRA,64,43,25,8.0,48.48,132
3,Danani,ARG,58,35,23,7.25,50.0,116
4,Golubev,ROC,52,60,13,6.5,41.6,125
5,Yamamoto,JPN,47,46,13,7.83,44.34,106
6,Zatorski,POL,43,31,8,7.17,52.44,82
6,E. Shoji,USA,43,28,5,8.6,56.58,76
7,Bann,CAN,42,40,12,7.0,44.68,94
8,Bruno,BRA,39,30,12,4.88,48.15,81
9,Michieletto,ITA,38,19,7,6.33,59.38,64
10,Ngapeth,FRA,36,32,13,4.5,44.44,81
11,Palacios,ARG,35,39,15,4.38,39.33,89
12,Mikhaylov,ROC,34,24,16,4.25,45.95,74
13,Juantorena,ITA,33,23,8,5.5,51.56,64
13,Lucarelli,BRA,33,28,23,4.12,39.29,84
13,Clevenot,FRA,33,21,4,4.12,56.9,58
14,Colaci,ITA,31,39,4,5.17,41.89,74
15,Facu,ARG,30,36,29,3.75,31.58,95
15,Anderson,USA,30,19,9,6.0,51.72,58
16,Marandi,IRI,29,30,5,5.8,45.31,64
17,Hoag,CAN,27,19,5,4.5,52.94,51
18,Wallace,BRA,26,32,11,3.25,37.68,69
18,Nishida,JPN,26,15,11,4.33,50.0,52
19,Kobzar,ROC,25,32,16,3.12,34.25,73
19,Kliuka,ROC,25,22,9,3.12,44.64,56
19,De Cecco,ARG,25,24,10,3.12,42.37,59
19,Leon,POL,25,10,6,5.0,60.98,41
20,TJ,CAN,24,20,6,4.0,48.0,50
20,Hmissi S,TUN,24,37,10,4.8,33.8,71
20,Ishikawa,JPN,24,26,9,4.0,40.68,59
20,Christenson,USA,24,21,7,4.8,46.15,52
20,Defalco,USA,24,21,11,4.8,42.86,56
20,T. Sander,USA,24,14,8,4.8,52.17,46
21,Perrin,CAN,23,24,4,4.6,45.1,51
21,Leal,BRA,23,23,14,2.88,38.33,60
