web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742822661-1","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","1","Facu","ARG","137","8","74","17.12","62.56","219"
"1742822661-2","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","2","Ngapeth","FRA","129","7","100","16.12","54.66","236"
"1742822661-3","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","3","Milad","IRI","127","11","38","25.40","72.16","176"
"1742822661-4","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","4","Golubev","ROC","124","12","94","15.50","53.91","230"
"1742822661-5","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","5","Thales","BRA","109","5","35","13.62","73.15","149"
"1742822661-6","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","6","Danani","ARG","108","7","46","13.50","67.08","161"
"1742822661-7","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","7","Lucarelli","BRA","104","7","71","13.00","57.14","182"
"1742822661-8","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","8","Clevenot","FRA","101","6","49","12.62","64.74","156"
"1742822661-9","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","9","Kliuka","ROC","98","8","41","12.25","66.67","147"
"1742822661-10","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","10","Juantorena","ITA","89","8","46","14.83","62.24","143"
"1742822661-11","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","11","Grebennikov","FRA","88","5","54","11.00","59.86","147"
"1742822661-12","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","12","Zatorski","POL","80","5","34","13.33","67.23","119"
"1742822661-13","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","13","Ran","JPN","73","3","44","12.17","60.83","120"
"1742822661-14","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","14","Palacios","ARG","70","5","71","8.75","47.95","146"
"1742822661-15","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","15","Michieletto","ITA","68","5","51","11.33","54.84","124"
"1742822661-16","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","15","Ishikawa","JPN","68","5","48","11.33","56.20","121"
"1742822661-17","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","15","E. Shoji","USA","68","8","27","13.60","66.02","103"
"1742822661-18","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","16","B.Othmen M.","TUN","67","2","37","13.40","63.21","106"
"1742822661-19","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","17","Colaci","ITA","65","10","32","10.83","60.75","107"
"1742822661-20","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","17","Defalco","USA","65","5","29","13.00","65.66","99"
"1742822661-21","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","18","Leal","BRA","64","6","83","8.00","41.83","153"
"1742822661-22","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","18","T. Sander","USA","64","9","26","12.80","64.65","99"
"1742822661-23","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","19","Fayola","VEN","63","10","59","12.60","47.73","132"
"1742822661-24","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","20","Yamamoto","JPN","59","4","41","9.83","56.73","104"
"1742822661-25","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","21","Volkov","ROC","58","6","37","7.25","57.43","101"
"1742822661-26","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","22","Leon","POL","57","6","35","11.40","58.16","98"
"1742822661-27","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","22","Marandi","IRI","57","3","33","11.40","61.29","93"
"1742822661-28","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","23","Hoag","CAN","54","9","43","9.00","50.94","106"
"1742822661-29","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","24","Bann","CAN","49","12","40","8.17","48.51","101"
"1742822661-30","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","24","Perrin","CAN","49","8","40","9.80","50.52","97"
"1742822661-31","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","25","Moalla I.","TUN","47","3","45","9.40","49.47","95"
"1742822661-32","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","26","Hmissi S","TUN","46","4","34","9.20","54.76","84"
"1742822661-33","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","26","Willner","VEN","46","3","29","9.20","58.97","78"
"1742822661-34","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","27","Śliwka","POL","44","1","24","11.00","63.77","69"
"1742822661-35","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","28","Mata","VEN","33","8","14","6.60","60.00","55"
"1742822661-36","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","29","Poglajen","ARG","30","1","13","3.75","68.18","44"
"1742822661-37","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","29","Kubiak","POL","30","2","17","7.50","61.22","49"
"1742822661-38","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","30","Salehi","IRI","26","6","32","5.20","40.62","64"
"1742822661-39","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","31","Douglas","BRA","24","1","20","4.00","53.33","45"
