Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Leon,POL,14,18,55,2.8,16.09,87
2,Lucarelli,BRA,12,28,95,1.5,8.89,135
3,Milad,IRI,11,14,62,2.2,12.64,87
4,Michieletto,ITA,9,17,54,1.5,11.25,80
4,Lima B.,ARG,9,33,62,1.12,8.65,104
4,Ishikawa,JPN,9,19,56,1.5,10.71,84
5,Nishida,JPN,8,31,44,1.33,9.64,83
5,Brizard,FRA,8,22,62,1.0,8.7,92
6,Hoag,CAN,7,17,47,1.17,9.86,71
6,Kliuka,ROC,7,23,84,0.88,6.14,114
6,Facu,ARG,7,29,100,0.88,5.15,136
6,Bieniek,POL,7,15,55,1.17,9.09,77
6,Patry,FRA,7,21,92,0.88,5.83,120
7,Pankov,ROC,6,12,34,0.75,11.54,52
7,Volkov,ROC,6,26,58,0.75,6.67,90
7,Mikhaylov,ROC,6,19,103,0.75,4.69,128
7,A. Ghafour,IRI,6,17,40,1.2,9.52,63
7,Semeniuk,POL,6,2,22,1.2,20.0,30
7,T. Sander,USA,6,18,50,1.2,8.11,74
7,Ngapeth,FRA,6,41,69,0.75,5.17,116
8,Wallace,BRA,5,18,83,0.62,4.72,106
8,Leal,BRA,5,13,86,0.62,4.81,104
9,Juantorena,ITA,4,12,87,0.67,3.88,103
9,M. Souza,BRA,4,13,76,0.57,4.3,93
9,Iakovlev,ROC,4,19,65,0.5,4.55,88
9,Loser Bruno,ARG,4,16,87,0.5,3.74,107
9,Kurek,POL,4,22,60,0.67,4.65,86
10,Giannelli,ITA,3,10,58,0.75,4.23,71
10,Zaytsev,ITA,3,16,31,0.6,6.0,50
10,Perrin,CAN,3,10,52,0.6,4.62,65
10,Vernon,CAN,3,8,26,0.6,8.11,37
10,Vigrass,CAN,3,7,53,0.5,4.76,63
10,Lucas,BRA,3,19,99,0.38,2.48,121
10,Kobzar,ROC,3,15,61,0.38,3.8,79
10,De Cecco,ARG,3,14,107,0.38,2.42,124
10,Sole,ITA,3,8,127,0.38,2.17,138
10,Palacios,ARG,3,21,51,0.38,4.0,75
10,Onodera,JPN,3,10,61,0.5,4.05,74
10,Willner,VEN,3,9,30,0.6,7.14,42
10,Valencia,VEN,3,14,24,0.6,7.32,41
10,Kochanowski,POL,3,11,45,0.5,5.08,59
10,Kazemi,IRI,3,6,26,0.6,8.57,35
10,Anderson,USA,3,20,62,0.6,3.53,85
10,Defalco,USA,3,11,59,0.6,4.11,73
11,Galassi,ITA,2,26,48,0.33,2.63,76
11,Sclater,CAN,2,9,33,0.33,4.55,44
11,Van Berkel,CAN,2,5,68,0.33,2.67,75
11,Maar,CAN,2,6,13,0.5,9.52,21
11,Bruno,BRA,2,7,97,0.25,1.89,106
11,Agrebi O,TUN,2,3,34,0.4,5.13,39
11,Yamauchi,JPN,2,6,66,0.33,2.7,74
11,Emerson,VEN,2,13,14,0.4,6.9,29
11,Salehi,IRI,2,16,53,0.4,2.82,71
11,Louati,FRA,2,6,24,0.25,6.25,32
11,Clevenot,FRA,2,20,92,0.25,1.75,114
11,Stahl,USA,2,9,23,0.5,5.88,34
12,Sbertoli,ITA,1,7,37,0.17,2.22,45
12,TJ,CAN,1,5,53,0.17,1.69,59
12,Anzani,ITA,1,6,49,0.2,1.79,56
12,Vettori,ITA,1,11,24,0.2,2.78,36
12,Szwarc,CAN,1,7,13,0.25,4.76,21
12,Isac,BRA,1,4,20,0.14,4.0,25
12,Ben Slimene K,TUN,1,13,46,0.2,1.67,60
12,B.Othmen M.,TUN,1,4,41,0.2,2.17,46
12,Ben Tara W,TUN,1,8,31,0.2,2.5,40
12,Moalla I.,TUN,1,12,39,0.2,1.92,52
12,Alan,BRA,1,4,12,0.14,5.88,17
12,Volvich,ROC,1,6,61,0.14,1.47,68
12,Podlesnykh,ROC,1,8,18,0.17,3.7,27
12,Poglajen,ARG,1,6,21,0.12,3.57,28
12,Poletaev,ROC,1,3,19,0.25,4.35,23
12,Ramos,ARG,1,0,10,0.2,9.09,11
12,Sekita,JPN,1,9,63,0.17,1.37,73
12,Chema,VEN,1,2,27,0.2,3.33,30
12,Verdi,VEN,1,1,40,0.2,2.38,42
12,Drzyzga,POL,1,16,55,0.17,1.39,72
12,Śliwka,POL,1,3,39,0.25,2.33,43
12,Seyed,IRI,1,17,34,0.25,1.92,52
12,Nowakowski,POL,1,5,20,0.25,3.85,26
12,Kubiak,POL,1,5,23,0.25,3.45,29
12,Javad,IRI,1,5,10,0.25,6.25,16
12,Smith,USA,1,7,18,0.2,3.85,26
12,Christenson,USA,1,16,42,0.2,1.69,59
12,Holt,USA,1,14,56,0.2,1.41,71
13,Piano,ITA,0,0,29,0.0,0.0,29
13,Colaci,ITA,0,0,0,,,0
13,Bann,CAN,0,0,0,,,0
13,Blankenau,CAN,0,1,9,0.0,0.0,10
13,Lavia,ITA,0,4,3,0.0,0.0,7
13,Kovar,ITA,0,0,0,,,0
13,Marshall,CAN,0,0,1,0.0,0.0,1
13,Thales,BRA,0,0,0,,,0
13,Hmissi S,TUN,0,0,1,0.0,0.0,1
13,Kadhi A,TUN,0,7,51,0.0,0.0,58
13,Karamosli E,TUN,0,3,9,0.0,0.0,12
13,Nagga H.,TUN,0,4,8,0.0,0.0,12
13,Douglas,BRA,0,0,28,0.0,0.0,28
13,Fernando,BRA,0,2,5,0.0,0.0,7
13,Mauricio,BRA,0,0,4,0.0,0.0,4
13,Bouguerra.A,TUN,0,4,4,0.0,0.0,8
13,Ben Cheikh M,TUN,0,0,3,0.0,0.0,3
13,Mbareki S.,TUN,0,2,14,0.0,0.0,16
13,Golubev,ROC,0,0,0,,,0
13,Danani,ARG,0,0,0,,,0
13,Sanchez Pages,ARG,0,1,9,0.0,0.0,10
13,Pereyra L.,ARG,0,5,4,0.0,0.0,9
13,Bogdan,ROC,0,3,3,0.0,0.0,6
13,Kurkaev,ROC,0,3,19,0.0,0.0,22
13,Mendez,ARG,0,0,0,,,0
13,Fujii,JPN,0,0,9,0.0,0.0,9
13,Yamamoto,JPN,0,0,0,,,0
13,Ran,JPN,0,13,56,0.0,0.0,69
13,Armando,VEN,0,1,23,0.0,0.0,24
13,Fayola,VEN,0,11,31,0.0,0.0,42
13,Maita,VEN,0,5,12,0.0,0.0,17
13,Mata,VEN,0,0,0,,,0
13,Shimizu,JPN,0,1,4,0.0,0.0,5
13,Takanashi,JPN,0,1,19,0.0,0.0,20
13,Lee,JPN,0,1,8,0.0,0.0,9
13,Fernando,VEN,0,0,3,0.0,0.0,3
13,Oramas,VEN,0,2,11,0.0,0.0,13
13,Otsuka,JPN,0,0,0,,,0
13,Canelo,VEN,0,3,3,0.0,0.0,6
13,Zatorski,POL,0,0,0,,,0
13,Łomacz,POL,0,0,0,,,0
13,S. Marouf,IRI,0,5,39,0.0,0.0,44
13,Marandi,IRI,0,0,0,,,0
13,Mojarad,IRI,0,8,53,0.0,0.0,61
13,Kaczmarek,POL,0,4,18,0.0,0.0,22
13,Morteza,IRI,0,2,0,0.0,0.0,2
13,Masoud,IRI,0,0,19,0.0,0.0,19
13,Arman,IRI,0,0,0,,,0
13,E. Shoji,USA,0,0,0,,,0
13,Chinenyeze,FRA,0,6,91,0.0,0.0,97
13,Boyer,FRA,0,5,5,0.0,0.0,10
13,Grebennikov,FRA,0,0,0,,,0
13,Tillie,FRA,0,3,18,0.0,0.0,21
13,Toniutti,FRA,0,0,44,0.0,0.0,44
13,Le Goff,FRA,0,6,83,0.0,0.0,89
13,Ensing,USA,0,0,0,,,0
13,K. Shoji,USA,0,0,0,,,0
13,Jaeschke,USA,0,1,4,0.0,0.0,5
13,Muagututia,USA,0,1,4,0.0,0.0,5
13,Bultor,FRA,0,0,0,,,0
