web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","1","Balaso","ITA","58","30","9","9.67","59.79","97"
"1741349236-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","2","Thales","BRA","56","11","7","14.00","75.68","74"
"1741349236-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","3","E. Shoji","USA","49","29","17","8.17","51.58","95"
"1741349236-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","3","Grebennikov","FRA","49","28","18","8.17","51.58","95"
"1741349236-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","4","Yamamoto","JPN","46","20","26","11.50","50.00","92"
"1741349236-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","5","Kovačič","SLO","39","16","11","9.75","59.09","66"
"1741349236-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","6","Zatorski","POL","36","27","12","6.00","48.00","75"
"1741349236-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","6","Ngapeth","FRA","36","21","16","6.00","49.32","73"
"1741349236-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","7","Romanò","ITA","34","29","7","5.67","48.57","70"
"1741349236-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","8","Defalco","USA","33","20","7","5.50","55.00","60"
"1741349236-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","9","Michieletto","ITA","32","17","10","5.33","54.24","59"
"1741349236-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","10","Christenson","USA","31","15","13","5.17","52.54","59"
"1741349236-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","11","Leon","POL","29","15","10","4.83","53.70","54"
"1741349236-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","11","Anderson","USA","29","17","5","4.83","56.86","51"
"1741349236-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","11","Urnaut","SLO","29","10","15","7.25","53.70","54"
"1741349236-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","12","Lavia","ITA","26","16","11","4.33","49.06","53"
"1741349236-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","13","T. Štern","SLO","25","10","3","6.25","65.79","38"
"1741349236-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","14","Zenger","GER","24","16","20","6.00","40.00","60"
"1741349236-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","15","Clevenot","FRA","23","14","6","4.60","53.49","43"
"1741349236-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","16","Bruno","BRA","22","13","10","5.50","48.89","45"
"1741349236-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","16","Kurek","POL","22","20","4","3.67","47.83","46"
"1741349236-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","17","Brizard","FRA","21","12","7","3.50","52.50","40"
"1741349236-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","18","Ran","JPN","20","10","19","5.00","40.82","49"
"1741349236-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","18","Sekita","JPN","20","17","13","5.00","40.00","50"
"1741349236-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","18","Giannelli","ITA","20","18","7","3.33","44.44","45"
"1741349236-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","18","Russell","USA","20","17","6","3.33","46.51","43"
"1741349236-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","19","Lucarelli","BRA","19","7","15","4.75","46.34","41"
"1741349236-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","19","Fornal","POL","19","16","9","3.17","43.18","44"
"1741349236-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","19","Holt","USA","19","8","2","3.17","65.52","29"
"1741349236-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","19","Patry","FRA","19","21","4","3.17","43.18","44"
"1741349236-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","19","Ropret","SLO","19","17","10","4.75","41.30","46"
"1741349236-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","20","Janusz","POL","18","15","13","3.00","39.13","46"
"1741349236-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","20","Kapur","SRB","18","22","8","6.00","37.50","48"
"1741349236-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","21","Nishida","JPN","17","13","11","4.25","41.46","41"
"1741349236-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","21","M. Reda","EGY","17","9","3","5.67","58.62","29"
"1741349236-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","21","Lui","CAN","17","8","14","5.67","43.59","39"
"1741349236-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","22","Ivović","SRB","15","16","9","5.00","37.50","40"
"1741349236-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","22","Čebulj","SLO","15","15","12","3.75","35.71","42"
"1741349236-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","23","Kampa","GER","14","12","9","3.50","40.00","35"
"1741349236-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","23","Galassi","ITA","14","6","0","2.33","70.00","20"
"1741349236-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","24","De Cecco","ARG","13","4","5","4.33","59.09","22"
"1741349236-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","24","Chinenyeze","FRA","13","8","3","2.17","54.17","24"
"1741349236-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","24","Loeppky","CAN","13","7","3","4.33","56.52","23"
"1741349236-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","25","Ishikawa","JPN","12","7","18","3.00","32.43","37"
"1741349236-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","25","Grozer","GER","12","12","11","3.00","34.29","35"
"1741349236-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","25","Kozamernik","SLO","12","3","6","3.00","57.14","21"
"1741349236-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","25","Szwarc","CAN","12","7","9","4.00","42.86","28"
"1741349236-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","25","Maar","CAN","12","6","5","4.00","52.17","23"
"1741349236-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Tille","GER","11","4","0","2.75","73.33","15"
"1741349236-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Karlitzek","GER","11","14","6","2.75","35.48","31"
"1741349236-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Reichert","GER","11","7","5","2.75","47.83","23"
"1741349236-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Russo","ITA","11","9","4","1.83","45.83","24"
"1741349236-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Darlan","BRA","11","10","2","2.75","47.83","23"
"1741349236-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Kochanowski","POL","11","8","5","1.83","45.83","24"
"1741349236-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Averill","USA","11","10","5","1.83","42.31","26"
"1741349236-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Danani","ARG","11","13","8","3.67","34.38","32"
