Rankr,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Leon,POL,15,23,47,2.5,17.65,85
2,Nishida,JPN,11,19,42,2.75,15.28,72
2,Brizard,FRA,11,25,52,1.83,12.5,88
3,Romanò,ITA,9,24,59,1.5,9.78,92
3,Čebulj,SLO,9,17,39,2.25,13.85,65
4,Grozer,GER,8,21,46,2.0,10.67,75
4,Huber,POL,8,16,28,1.6,15.38,52
4,Holt,USA,8,16,74,1.33,8.16,98
5,Michieletto,ITA,7,18,63,1.17,7.95,88
5,Averill,USA,7,16,70,1.17,7.53,93
5,Ngapeth,FRA,7,18,62,1.17,8.05,87
5,Pajenk,SLO,7,10,41,1.75,12.07,58
5,T. Štern,SLO,7,17,40,1.75,10.94,64
6,Karlitzek,GER,6,17,33,1.5,10.71,56
6,Bieniek,POL,6,9,46,1.5,9.84,61
6,Kurek,POL,6,20,58,1.0,7.14,84
6,Defalco,USA,6,14,58,1.0,7.69,78
6,Maar,CAN,6,7,31,2.0,13.64,44
7,Ran,JPN,5,12,49,1.25,7.58,66
7,Galassi,ITA,5,25,32,0.83,8.06,62
7,Leal,BRA,5,8,26,1.25,12.82,39
7,Russell,USA,5,21,52,0.83,6.41,78
7,Jouffroy,FRA,5,8,22,0.83,14.29,35
7,Atanasijević,SRB,5,10,20,1.67,14.29,35
7,Kozamernik,SLO,5,6,58,1.25,7.25,69
8,Kampa,GER,4,8,31,1.0,9.3,43
8,Reichert,GER,4,5,52,1.0,6.56,61
8,Giannelli,ITA,4,11,69,0.67,4.76,84
8,Lavia,ITA,4,17,75,0.67,4.17,96
8,Janusz,POL,4,2,60,0.67,6.06,66
8,Kochanowski,POL,4,11,55,0.67,5.71,70
8,Anderson,USA,4,21,81,0.67,3.77,106
8,Ivović,SRB,4,7,39,1.33,8.0,50
8,Loeppky,CAN,4,13,34,1.33,7.84,51
9,Ishikawa,JPN,3,14,38,0.75,5.45,55
9,Onodera,JPN,3,7,27,0.75,8.11,37
9,Lucarelli,BRA,3,12,43,0.75,5.17,58
9,Fornal,POL,3,16,29,0.5,6.25,48
9,Loser Bruno,ARG,3,5,29,1.0,8.11,37
9,Patry,FRA,3,15,74,0.5,3.26,92
