Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Nimir,NED,490,157,293,16.33,52.13,940
2,Leon,POL,469,107,327,13.4,51.94,903
3,Možič,SLO,460,136,356,15.33,48.32,952
4,Ngapeth,FRA,409,156,301,13.19,47.23,866
4,A. Lagumdzija,TUR,409,130,317,12.78,47.78,856
5,Kaziyski,BUL,397,72,301,12.81,51.56,770
6,Dzavoronok,CZE,392,118,330,12.25,46.67,840
7,Maar,CAN,387,112,342,12.48,46.02,841
8,Jaeschke,USA,379,90,310,12.63,48.65,779
9,Rychlicki,ITA,378,123,265,11.45,49.35,766
10,Dirlic P.,CRO,357,133,270,12.31,46.97,760
11,Leal,BRA,352,91,247,12.57,51.01,690
12,Grozer,GER,344,116,230,11.47,49.86,690
13,Michieletto,ITA,340,74,306,10.62,47.22,720
14,Weber,GER,335,120,254,13.96,47.25,709
15,Jensen,DEN,330,110,287,11.0,45.39,727
16,Lucarelli,BRA,325,105,230,9.56,49.24,660
17,Klapwijk,NED,315,131,316,13.12,41.34,762
18,Davyskiba,BLR,314,132,201,9.81,48.53,647
19,Ishikawa,JPN,305,113,303,10.17,42.3,721
20,Lavia,ITA,303,70,289,9.77,45.77,662
21,Patry,FRA,294,111,278,10.5,43.05,683
22,Simón,CUB,287,37,94,8.2,68.66,418
23,Zaytsev,ITA,280,107,193,11.2,48.28,580
24,Anderson,USA,277,62,249,8.66,47.11,588
25,Bottolo,ITA,259,121,250,10.79,41.11,630
26,Randazzo,ITA,256,88,243,8.83,43.61,587
26,Yant,CUB,256,60,165,8.0,53.22,481
27,Sabbi,ITA,250,127,196,8.62,43.63,573
28,Nishida,JPN,249,86,196,12.45,46.89,531
29,Recine,ITA,248,69,190,7.29,48.92,507
30,Russell,USA,234,76,168,7.09,48.95,478
31,Loeppky,CAN,230,71,203,9.58,45.63,504
32,João Rafael,BRA,222,85,224,9.25,41.81,531
33,Rossard T,FRA,217,81,171,6.38,46.27,469
34,Lisinac,SRB,212,25,72,7.07,68.61,309
35,Vukasinovic,MNE,210,103,203,10.0,40.7,516
36,Chinenyeze,FRA,203,28,104,7.52,60.6,335
37,Sole,ITA,196,32,96,5.6,60.49,324
38,Rinaldi,ITA,193,65,197,6.03,42.42,455
