Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Balaso,ITA,248,91,96,7.09,57.01,435
2,Scanferla,ITA,235,90,117,7.12,53.17,442
3,Cavaccini,ITA,206,119,96,6.65,48.93,421
4,Pesaresi,ITA,205,95,93,6.61,52.16,393
5,Ngapeth,FRA,197,78,68,6.35,57.43,343
6,Bruno,BRA,176,79,76,5.68,53.17,331
7,Goi,ITA,171,103,92,7.12,46.72,366
8,Bonami,ITA,167,66,59,5.76,57.19,292
9,Zenger,GER,164,73,147,5.12,42.71,384
9,Laurenzano,ITA,164,86,95,6.07,47.54,345
10,Rossini,ITA,162,63,69,5.4,55.1,294
11,Maar,CAN,158,89,70,5.1,49.84,317
12,Colaci,ITA,155,86,67,4.43,50.32,308
13,Lucarelli,BRA,154,64,76,4.53,52.38,294
14,Federici,ITA,150,96,96,4.84,43.86,342
15,Baranowicz,ITA,148,66,67,4.48,52.67,281
16,Jaeschke,USA,141,80,69,4.7,48.62,290
17,Rizzo,ITA,139,71,88,5.79,46.64,298
18,Anderson,USA,138,53,60,4.31,54.98,251
19,Porro P.,ITA,127,77,62,4.1,47.74,266
20,Leon,POL,126,66,59,3.6,50.2,251
21,Dzavoronok,CZE,125,61,59,3.91,51.02,245
21,Brizard,FRA,125,74,74,3.91,45.79,273
22,Ishikawa,JPN,122,90,75,4.07,42.51,287
23,Giannelli,ITA,121,79,57,3.56,47.08,257
24,Gottardo,ITA,120,43,77,5.0,50.0,240
25,Rychlicki,ITA,116,75,58,3.52,46.59,249
26,Nimir,NED,114,62,45,3.8,51.58,221
27,Davyskiba,BLR,112,87,76,3.5,40.73,275
28,Falaschi,ITA,111,56,64,4.11,48.05,231
29,Lavia,ITA,109,62,73,3.52,44.67,244
30,João Rafael,BRA,107,43,56,4.46,51.94,206
31,Možič,SLO,106,50,39,3.53,54.36,195
31,De Cecco,ARG,106,74,83,3.03,40.3,263
32,Michieletto,ITA,105,66,79,3.28,42.0,250
33,Leal,BRA,101,47,51,3.61,50.75,199
34,Rossard T,FRA,99,49,42,2.91,52.11,190
35,Patry,FRA,97,42,36,3.46,55.43,175
36,Recine,ITA,95,50,44,2.79,50.26,189
37,Raffaelli,ITA,90,46,45,2.73,49.72,181
38,Kaziyski,BUL,87,43,69,2.81,43.72,199
39,Orduna,ITA,83,78,104,2.59,31.32,265
39,Dirlic P.,CRO,83,75,41,2.86,41.71,199
40,Zaytsev,ITA,82,39,49,3.28,48.24,170
41,Rinaldi,ITA,80,48,50,2.5,44.94,178
42,Plotnytskyi,UKR,77,32,22,2.2,58.78,131
42,A. Lagumdzija,TUR,77,32,49,2.41,48.73,158
42,Saitta,ITA,77,58,67,3.21,38.12,202
43,Jensen,DEN,76,56,43,2.53,43.43,175
43,Bottolo,ITA,76,39,85,3.17,38.0,200
44,Spirito,ITA,75,24,30,2.5,58.14,129
45,Mauricio,BRA,74,55,51,3.08,41.11,180
46,Sabbi,ITA,73,54,44,2.52,42.69,171
47,Grozer,GER,72,50,45,2.4,43.11,167
48,Randazzo,ITA,71,35,51,2.45,45.22,157
48,Yant,CUB,71,51,24,2.22,48.63,146
49,Asparuhov,BUL,69,35,32,2.3,50.74,136
49,Vukasinovic,MNE,69,41,52,3.29,42.59,162
50,Klapwijk,NED,64,53,26,2.67,44.76,143
51,Sole,ITA,63,31,23,1.8,53.85,117
52,Sbertoli,ITA,62,76,154,1.94,21.23,292
52,Russell,USA,62,37,34,1.88,46.62,133
52,Loeppky,CAN,62,29,55,2.58,42.47,146
53,Stefani,ITA,57,34,26,2.19,48.72,117
54,Gollini,ITA,56,38,13,1.87,52.34,107
54,Zimmermann,GER,56,52,80,2.33,29.79,188
55,Raphael,BRA,54,35,23,1.8,48.21,112
55,Garcia,USA,54,29,25,1.54,50.0,108
56,Nishida,JPN,53,37,33,2.65,43.09,123
57,Donati,ITA,51,48,25,1.7,41.13,124
58,Basic,FRA,50,29,30,2.08,45.87,109
59,Piccinelli,ITA,48,31,15,1.37,51.06,94
59,Lisinac,SRB,48,7,39,1.6,51.06,94
59,Biernat,POL,48,50,39,2.0,35.04,137
60,Vitelli,ITA,46,14,41,1.92,45.54,101
60,Kovar,ITA,46,25,19,1.7,51.11,90
61,Van Garderen,NED,45,26,25,1.5,46.88,96
62,Catania,ITA,44,19,21,1.29,52.38,84
63,Anzani,ITA,43,25,43,1.26,38.74,111
64,Zingel,ITA,41,22,38,1.24,40.59,101
64,Bossi,ITA,41,25,25,1.24,45.05,91
64,Weber,GER,41,26,40,1.71,38.32,107
65,Holt,USA,40,11,16,1.25,59.7,67
65,Alletti,ITA,40,14,29,1.38,48.19,83
66,Galassi,ITA,37,17,25,1.16,46.84,79
66,Stankovic,ITA,37,20,28,1.19,43.53,85
66,Simón,CUB,37,20,34,1.06,40.66,91
67,Gaggini,ITA,36,39,18,1.12,38.71,93
67,Di Martino,ITA,36,30,41,1.24,33.64,107
68,Ulrich,SUI,34,16,14,1.42,53.12,64
68,Piano,ITA,34,16,36,1.13,39.53,86
69,Magalini,ITA,32,31,23,1.07,37.21,86
69,Pochini,ITA,32,13,12,1.33,56.14,57
70,Ricci,ITA,31,13,13,0.91,54.39,57
70,Ljaftov,MKD,31,28,15,1.29,41.89,74
71,Cortesia,ITA,30,27,20,1.03,38.96,77
71,Caneschi,ITA,30,9,25,0.88,46.88,64
72,Pinali,ITA,29,19,28,0.91,38.16,76
72,Douglas,BRA,29,15,11,2.9,52.73,55
73,Cester,ITA,27,9,21,0.79,47.37,57
73,Gironi,ITA,27,18,22,0.93,40.3,67
73,Fromm,GER,27,13,24,2.08,42.19,64
74,T. Štern,SLO,26,22,15,0.79,41.27,63
75,Mazzone,ITA,25,13,26,0.81,39.06,64
75,Antonov,ITA,25,16,17,0.74,43.1,58
75,Chinenyeze,FRA,25,30,40,0.93,26.32,95
76,Podraščanin,ITA,24,14,37,0.89,32.0,75
76,Qafarena,ALB,24,13,10,0.8,51.06,47
76,Petrov,BUL,24,11,14,1.0,48.98,49
76,Katic,SRB,24,18,8,1.2,48.0,50
77,Aguenier,FRA,23,14,11,0.96,47.92,48
78,Ter Horst,NED,22,18,15,0.63,40.0,55
78,Mengozzi,ITA,22,15,13,0.69,44.0,50
79,Juantorena,ITA,20,16,11,0.77,42.55,47
80,Szwarc,CAN,19,19,10,2.71,39.58,48
80,Cavuto,ITA,19,8,13,0.59,47.5,40
80,Ran,JPN,19,11,6,1.46,52.78,36
81,Flavio,BRA,18,21,16,0.75,32.73,55
81,Lanza,ITA,18,7,2,3.6,66.67,27
82,Travica,ITA,17,26,17,0.49,28.33,60
82,Picchio,ITA,17,22,8,0.52,36.17,47
82,Romanò,ITA,17,18,15,0.65,34.0,50
82,André,QAT,17,16,15,1.0,35.42,48
83,Grozdanov,BUL,16,10,12,0.52,42.11,38
83,Orioli,ITA,16,12,3,0.7,51.61,31
83,Volpato,ITA,16,6,5,0.67,59.26,27
84,D'heer,BEL,15,2,6,0.47,65.22,23
85,Zanotti,ITA,14,11,6,0.47,45.16,31
85,Karyagin,BUL,14,12,7,0.44,42.42,33
86,Beretta,ITA,13,15,25,0.41,24.53,53
86,Candellaro,ITA,13,11,27,0.54,25.49,51
87,Russo,ITA,12,4,2,0.36,66.67,18
87,S. Ngapeth,FRA,12,8,3,0.39,52.17,23
87,Djokic,SUI,12,9,3,0.43,50.0,24
88,Canella,ITA,11,4,9,0.46,45.83,24
89,Sanguinetti,ITA,10,1,5,0.32,62.5,16
89,Erati,ITA,10,5,9,0.59,41.67,24
89,Candeli,ITA,10,10,12,0.42,31.25,32
90,De Angelis,ITA,9,5,7,0.28,42.86,21
90,Pujol,FRA,9,9,4,0.26,40.91,22
90,Gargiulo,ITA,9,5,11,0.38,36.0,25
90,Daldello,ITA,9,7,6,0.32,40.91,22
90,Wiltenburg,NED,9,8,10,0.32,33.33,27
90,Nelli,ITA,9,7,5,0.75,42.86,21
91,Sperotto,ITA,8,3,2,0.25,61.54,13
91,Zoppellari,ITA,8,9,2,0.33,42.11,19
91,Palonsky,ARG,8,2,9,0.8,42.11,19
91,Staforini,ITA,8,2,2,0.26,66.67,12
91,Wounembaina,CMR,8,10,17,0.29,22.86,35
92,Nikolic,SRB,7,12,9,0.23,25.0,28
92,Comparoni,ITA,7,13,9,0.32,24.14,29
92,Dimitrov,BUL,7,6,3,0.3,43.75,16
