web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742809622-1","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","1","Rossini","ITA","205","56","539","6.83","25.62","800"
"1742809622-2","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","2","Bonami","ITA","203","47","392","7.00","31.62","642"
"1742809622-3","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","3","Scanferla","ITA","192","25","420","5.82","30.14","637"
"1742809622-4","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","4","Maar","CAN","184","49","489","5.94","25.48","722"
"1742809622-5","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","5","Lucarelli","BRA","176","32","386","5.18","29.63","594"
"1742809622-6","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","6","Ishikawa","JPN","166","54","505","5.53","22.90","725"
"1742809622-7","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","7","Recine","ITA","161","39","327","4.74","30.55","527"
"1742809622-8","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","8","Pesaresi","ITA","160","44","430","5.16","25.24","634"
"1742809622-9","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","9","Možič","SLO","158","54","439","5.27","24.27","651"
"1742809622-10","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","9","Vukasinovic","MNE","158","35","324","7.52","30.56","517"
"1742809622-11","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","10","Dzavoronok","CZE","157","71","561","4.91","19.90","789"
"1742809622-12","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","10","Laurenzano","ITA","157","30","299","5.81","32.30","486"
"1742809622-13","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","11","Bottolo","ITA","155","31","392","6.46","26.82","578"
"1742809622-14","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","12","Mauricio","BRA","153","25","300","6.38","32.01","478"
"1742809622-15","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","12","Jaeschke","USA","153","50","461","5.10","23.04","664"
"1742809622-16","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","13","Ngapeth","FRA","149","31","371","4.81","27.04","551"
"1742809622-17","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","14","Rossard T","FRA","146","32","259","4.29","33.41","437"
"1742809622-18","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","14","Randazzo","ITA","146","44","412","5.03","24.25","602"
"1742809622-19","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","15","João Rafael","BRA","145","41","322","6.04","28.54","508"
"1742809622-20","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","16","Balaso","ITA","144","29","372","4.11","26.42","545"
"1742809622-21","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","17","Leon","POL","126","47","465","3.60","19.75","638"
"1742809622-22","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","18","Anderson","USA","125","42","385","3.91","22.64","552"
"1742809622-23","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","19","Davyskiba","BLR","124","34","414","3.88","21.68","572"
"1742809622-24","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","20","Cavaccini","ITA","122","39","362","3.94","23.33","523"
"1742809622-25","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","20","Asparuhov","BUL","122","36","346","4.07","24.21","504"
"1742809622-26","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","21","Zenger","GER","121","57","418","3.78","20.30","596"
"1742809622-27","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","22","Colaci","ITA","118","32","320","3.37","25.11","470"
"1742809622-28","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","23","Yant","CUB","114","32","309","3.56","25.05","455"
"1742809622-29","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","24","Kaziyski","BUL","102","52","344","3.29","20.48","498"
"1742809622-30","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","24","Rizzo","ITA","102","22","331","4.25","22.42","455"
"1742809622-31","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","25","Federici","ITA","97","47","294","3.13","22.15","438"
"1742809622-32","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","25","Goi","ITA","97","25","264","4.04","25.13","386"
"1742809622-33","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","26","Raffaelli","ITA","96","44","307","2.91","21.48","447"
"1742809622-34","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","26","Lavia","ITA","96","26","236","3.10","26.82","358"
"1742809622-35","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","27","Russell","USA","94","29","222","2.85","27.25","345"
"1742809622-36","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","28","Leal","BRA","88","45","366","3.14","17.64","499"
"1742809622-37","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","29","Michieletto","ITA","87","37","343","2.72","18.63","467"
"1742809622-38","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","30","Rinaldi","ITA","85","44","329","2.66","18.56","458"
"1742809622-39","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","31","Plotnytskyi","UKR","80","7","209","2.29","27.03","296"
"1742809622-40","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","32","Gottardo","ITA","79","55","255","3.29","20.31","389"
"1742809622-41","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","33","Loeppky","CAN","69","27","398","2.88","13.97","494"
"1742809622-42","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","34","Douglas","BRA","68","18","124","6.80","32.38","210"
"1742809622-43","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","35","Ljaftov","MKD","64","28","240","2.67","19.28","332"
"1742809622-44","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","36","Ulrich","SUI","63","30","197","2.62","21.72","290"
"1742809622-45","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","37","Piccinelli","ITA","61","10","118","1.74","32.28","189"
"1742809622-46","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","38","Gironi","ITA","56","29","155","1.93","23.33","240"
"1742809622-47","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","39","Basic","FRA","54","21","118","2.25","27.98","193"
"1742809622-48","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","40","Catania","ITA","52","14","98","1.53","31.71","164"
"1742809622-49","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","41","Van Garderen","NED","51","24","175","1.70","20.40","250"
"1742809622-50","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","42","Katic","SRB","50","5","78","2.50","37.59","133"
"1742809622-51","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","43","Magalini","ITA","49","30","198","1.63","17.69","277"
"1742809622-52","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","44","Kovar","ITA","46","10","102","1.70","29.11","158"
"1742809622-53","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","44","Fromm","GER","46","25","137","3.54","22.12","208"
"1742809622-54","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","45","Antonov","ITA","40","9","110","1.18","25.16","159"
"1742809622-55","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","46","Gaggini","ITA","34","9","90","1.06","25.56","133"
"1742809622-56","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","47","Juantorena","ITA","32","25","121","1.23","17.98","178"
"1742809622-57","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","48","Orioli","ITA","25","12","70","1.09","23.36","107"
"1742809622-58","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","49","Ran","JPN","24","2","63","1.85","26.97","89"
"1742809622-59","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","50","Wounembaina","CMR","23","10","58","0.82","25.27","91"
"1742809622-60","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","51","Pochini","ITA","22","14","61","0.92","22.68","97"
"1742809622-61","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","52","Petrov","BUL","17","7","116","0.71","12.14","140"
"1742809622-62","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","53","Palonsky","ARG","14","6","53","1.40","19.18","73"
"1742809622-63","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","54","Zingel","ITA","13","4","19","0.39","36.11","36"
"1742809622-64","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","54","Cavuto","ITA","13","8","68","0.41","14.61","89"
"1742809622-65","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","54","Lanza","ITA","13","3","37","2.60","24.53","53"
"1742809622-66","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","55","Marchisio","ITA","12","3","30","0.34","26.67","45"
"1742809622-67","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","55","Anzani","ITA","12","1","20","0.35","36.36","33"
"1742809622-68","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","55","Zaytsev","ITA","12","6","51","0.48","17.39","69"
"1742809622-69","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","56","Karyagin","BUL","11","7","36","0.34","20.37","54"
"1742809622-70","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","56","Djokic","SUI","11","6","59","0.39","14.47","76"
"1742809622-71","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","57","Sole","ITA","10","3","17","0.29","33.33","30"
"1742809622-72","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","57","Caneschi","ITA","10","2","11","0.29","43.48","23"
"1742809622-73","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","58","Holt","USA","9","2","16","0.28","33.33","27"
"1742809622-74","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","58","Simón","CUB","9","2","19","0.26","30.00","30"
"1742809622-75","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","58","Piano","ITA","9","1","21","0.30","29.03","31"
"1742809622-76","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","59","Picchio","ITA","8","4","35","0.24","17.02","47"
"1742809622-77","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","59","Lisinac","SRB","8","1","25","0.27","23.53","34"
"1742809622-78","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","59","De Angelis","ITA","8","3","38","0.25","16.33","49"
