Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Leon,POL,609,469,49,91
2,Nimir,NED,576,490,26,60
3,Možič,SLO,532,460,43,29
4,Ngapeth,FRA,500,409,47,44
5,Dzavoronok,CZE,480,392,35,53
6,A. Lagumdzija,TUR,479,409,37,33
7,Maar,CAN,473,387,46,40
8,Kaziyski,BUL,461,397,20,44
9,Rychlicki,ITA,448,378,40,30
10,Jaeschke,USA,444,379,32,33
11,Dirlic P.,CRO,443,357,54,32
12,Grozer,GER,427,344,30,53
13,Simón,CUB,416,287,79,50
14,Weber,GER,414,335,28,51
15,Michieletto,ITA,413,340,28,45
15,Lucarelli,BRA,413,325,40,48
16,Davyskiba,BLR,409,314,47,48
17,Leal,BRA,401,352,20,29
18,Jensen,DEN,387,330,25,32
19,Lavia,ITA,362,303,47,12
20,Patry,FRA,359,294,38,27
21,Ishikawa,JPN,356,305,27,24
22,Klapwijk,NED,353,315,16,22
23,Bottolo,ITA,338,259,32,47
24,Anderson,USA,326,277,30,19
25,Zaytsev,ITA,325,280,8,37
26,Yant,CUB,307,256,24,27
27,Nishida,JPN,305,249,13,43
28,Lisinac,SRB,301,212,68,21
29,Recine,ITA,295,248,31,16
30,Sabbi,ITA,293,250,30,13
31,Chinenyeze,FRA,287,203,69,15
32,Randazzo,ITA,285,256,17,12
33,Sole,ITA,279,196,77,6
34,Loeppky,CAN,271,230,13,28
35,Russell,USA,267,234,13,20
36,Rossard T,FRA,258,217,13,28
37,João Rafael,BRA,254,222,19,13
38,Vukasinovic,MNE,244,210,18,16
39,Flavio,BRA,240,174,58,8
40,Rinaldi,ITA,226,193,16,17
40,Asparuhov,BUL,226,185,20,21
41,Zingel,ITA,219,131,79,9
42,Galassi,ITA,217,163,42,12
43,Holt,USA,214,147,57,10
44,Raffaelli,ITA,212,178,29,5
45,Mauricio,BRA,208,179,13,16
46,Anzani,ITA,207,157,44,6
47,Di Martino,ITA,205,140,57,8
48,Mazzone,ITA,204,135,60,9
48,Piano,ITA,204,117,83,4
49,Garcia,USA,202,162,10,30
50,Stankovic,ITA,199,138,48,13
51,Stefani,ITA,192,164,23,5
