Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Leon,POL,91,164,291,2.6,16.67,546
2,Nimir,NED,60,127,303,2.0,12.24,490
3,Dzavoronok,CZE,53,82,328,1.66,11.45,463
3,Grozer,GER,53,113,223,1.77,13.62,389
4,Weber,GER,51,116,165,2.12,15.36,332
5,Simón,CUB,50,110,287,1.43,11.19,447
6,Davyskiba,BLR,48,97,313,1.5,10.48,458
6,Lucarelli,BRA,48,75,344,1.41,10.28,467
7,Bottolo,ITA,47,89,185,1.96,14.64,321
8,Michieletto,ITA,45,59,316,1.41,10.71,420
9,Kaziyski,BUL,44,80,346,1.42,9.36,470
9,Ngapeth,FRA,44,96,327,1.42,9.42,467
10,Nishida,JPN,43,74,163,2.15,15.36,280
11,Plotnytskyi,UKR,42,67,176,1.2,14.74,285
12,Maar,CAN,40,82,345,1.29,8.57,467
13,Zaytsev,ITA,37,64,208,1.48,11.97,309
14,Porro P.,ITA,36,93,359,1.16,7.38,488
15,A. Lagumdzija,TUR,33,79,234,1.03,9.54,346
15,Jaeschke,USA,33,78,299,1.1,8.05,410
16,Jensen,DEN,32,79,287,1.07,8.04,398
16,Dirlic P.,CRO,32,37,287,1.1,8.99,356
17,Rychlicki,ITA,30,99,372,0.91,5.99,501
17,Brizard,FRA,30,111,309,0.94,6.67,450
17,Garcia,USA,30,37,162,0.86,13.1,229
18,Možič,SLO,29,101,255,0.97,7.53,385
18,Leal,BRA,29,65,302,1.04,7.32,396
19,Rossard T,FRA,28,60,269,0.82,7.84,357
19,Loeppky,CAN,28,72,216,1.17,8.86,316
20,Patry,FRA,27,67,298,0.96,6.89,392
20,Yant,CUB,27,68,182,0.84,9.75,277
21,Baranowicz,ITA,25,62,392,0.76,5.22,479
21,Sbertoli,ITA,25,51,399,0.78,5.26,475
21,Vitelli,ITA,25,92,228,1.04,7.25,345
22,Ishikawa,JPN,24,95,319,0.8,5.48,438
23,Giannelli,ITA,23,38,318,0.68,6.07,379
24,Klapwijk,NED,22,72,173,0.92,8.24,267
25,Lisinac,SRB,21,71,351,0.7,4.74,443
25,Asparuhov,BUL,21,70,157,0.7,8.47,248
25,Bruno,BRA,21,38,409,0.68,4.49,468
26,Russell,USA,20,48,186,0.61,7.87,254
27,Anderson,USA,19,82,278,0.59,5.01,379
27,Zimmermann,GER,19,55,235,0.79,6.15,309
27,De Cecco,ARG,19,48,427,0.54,3.85,494
28,Rinaldi,ITA,17,56,187,0.53,6.54,260
29,Cortesia,ITA,16,66,243,0.55,4.92,325
29,Recine,ITA,16,73,267,0.47,4.49,356
29,Vukasinovic,MNE,16,56,159,0.76,6.93,231
29,Alletti,ITA,16,29,303,0.55,4.6,348
29,Mauricio,BRA,16,50,209,0.67,5.82,275
30,T. Štern,SLO,15,59,87,0.45,9.32,161
30,Chinenyeze,FRA,15,77,290,0.56,3.93,382
31,Stankovic,ITA,13,42,281,0.42,3.87,336
31,Caneschi,ITA,13,35,225,0.38,4.76,273
31,João Rafael,BRA,13,51,248,0.54,4.17,312
31,Sabbi,ITA,13,75,150,0.45,5.46,238
32,Lavia,ITA,12,46,307,0.39,3.29,365
32,Galassi,ITA,12,85,235,0.38,3.61,332
32,Sala,ITA,12,42,150,0.44,5.88,204
32,Ljaftov,MKD,12,32,132,0.5,6.82,176
32,Randazzo,ITA,12,79,178,0.41,4.46,269
32,Romanò,ITA,12,28,76,0.46,10.34,116
33,Antonov,ITA,11,37,137,0.32,5.95,185
33,Gironi,ITA,11,37,90,0.38,7.97,138
34,Holt,USA,10,48,259,0.31,3.15,317
34,Canella,ITA,10,26,105,0.42,7.09,141
35,Zingel,ITA,9,36,365,0.27,2.2,410
35,D'heer,BEL,9,23,81,0.28,7.96,113
35,Pinali,ITA,9,37,80,0.28,7.14,126
35,Spirito,ITA,9,18,215,0.3,3.72,242
35,Mazzone,ITA,9,49,303,0.29,2.49,361
36,Bossi,ITA,8,26,320,0.24,2.26,354
36,Podraščanin,ITA,8,40,247,0.3,2.71,295
36,Nikolic,SRB,8,24,130,0.27,4.94,162
36,Falaschi,ITA,8,39,289,0.3,2.38,336
36,Di Martino,ITA,8,36,321,0.28,2.19,365
36,Flavio,BRA,8,39,268,0.33,2.54,315
37,Qafarena,ALB,7,16,60,0.23,8.43,83
37,Comparoni,ITA,7,18,100,0.32,5.6,125
37,Ulrich,SUI,7,24,123,0.29,4.55,154
37,Juantorena,ITA,7,6,93,0.27,6.6,106
37,Fromm,GER,7,33,90,0.54,5.38,130
38,Travica,ITA,6,23,120,0.17,4.03,149
38,Sole,ITA,6,42,284,0.17,1.81,332
38,Orduna,ITA,6,26,340,0.19,1.61,372
38,Anzani,ITA,6,18,339,0.18,1.65,363
39,Russo,ITA,5,11,79,0.15,5.26,95
39,Raffaelli,ITA,5,33,172,0.15,2.38,210
39,Aguenier,FRA,5,14,244,0.21,1.9,263
39,Magalini,ITA,5,24,118,0.17,3.4,147
39,Beretta,ITA,5,25,201,0.16,2.16,231
39,Van Garderen,NED,5,31,88,0.17,4.03,124
39,Orioli,ITA,5,11,75,0.22,5.49,91
39,Stefani,ITA,5,43,112,0.19,3.12,160
39,Saitta,ITA,5,37,194,0.21,2.12,236
39,Candellaro,ITA,5,36,157,0.21,2.53,198
39,Maiocchi,ITA,5,13,45,0.16,7.94,63
39,Wiltenburg,NED,5,17,147,0.18,2.96,169
40,Mengozzi,ITA,4,17,171,0.12,2.08,192
40,Grozdanov,BUL,4,31,134,0.13,2.37,169
40,Candeli,ITA,4,14,117,0.17,2.96,135
40,Fusaro,ITA,4,12,105,0.24,3.31,121
40,Petrov,BUL,4,14,41,0.17,6.78,59
40,Douglas,BRA,4,24,85,0.4,3.54,113
40,Piano,ITA,4,16,300,0.13,1.25,320
