Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Simón,CUB,88,150,129,2.84,-16.89,367
2,Podraščanin,ITA,81,179,188,2.31,-21.88,448
3,Lisinac,SRB,66,115,129,1.94,-15.81,310
4,Loser Bruno,ARG,62,134,185,1.82,-18.9,381
5,Galassi,ITA,61,150,165,1.91,-23.67,376
6,Caneschi,ITA,60,132,125,1.71,-22.71,317
7,Zingel,ITA,58,91,139,2.23,-11.46,288
8,Stankovic,ITA,55,122,116,1.72,-22.87,293
9,Piano,ITA,54,108,100,1.59,-20.61,262
10,Russo,ITA,49,81,108,1.48,-13.45,238
10,Sapozhkov,RUS,49,78,97,1.63,-12.95,224
10,Možič,SLO,49,78,78,1.58,-14.15,205
11,Michieletto,ITA,48,83,106,1.37,-14.77,237
12,Flavio,BRA,46,89,130,1.39,-16.23,265
12,Grozdanov,BUL,46,111,114,1.48,-23.99,271
12,Anzani,ITA,46,124,138,1.24,-25.32,308
13,Maar,CAN,43,86,87,1.39,-19.91,216
13,Chinenyeze,FRA,43,132,166,1.16,-26.1,341
14,Sole,ITA,42,99,102,1.31,-23.46,243
14,Beretta,ITA,42,99,106,1.31,-23.08,247
15,Mazzone,ITA,41,106,77,1.95,-29.02,224
15,Larizza,ITA,41,136,112,1.58,-32.87,289
16,Leon,POL,39,52,57,1.18,-8.78,148
16,Dirlic P.,CRO,39,67,79,1.62,-15.14,185
17,Giannelli,ITA,38,65,113,1.15,-12.5,216
17,Grozer,GER,38,51,66,1.41,-8.39,155
18,Davyskiba,BLR,37,107,99,1.16,-28.81,243
18,Sbertoli,ITA,37,104,93,1.09,-28.63,234
18,Lavia,ITA,37,100,88,1.03,-28.0,225
18,Sedlacek,CRO,37,79,71,1.48,-22.46,187
18,Ricci,ITA,37,69,92,1.76,-16.16,198
19,Rossi,ITA,36,97,112,1.38,-24.9,245
19,Yant,CUB,36,83,56,0.97,-26.86,175
19,A. Lagumdzija,TUR,36,61,65,1.12,-15.43,162
20,Leal,BRA,35,76,47,1.09,-25.95,158
21,Kaziyski,BUL,34,110,100,0.94,-31.15,244
21,Mosca,ITA,34,88,101,1.1,-24.22,223
22,Zaytsev,ITA,33,86,96,0.94,-24.65,215
22,Sanguinetti,ITA,33,107,89,1.03,-32.31,229
23,Patry,FRA,30,88,74,0.88,-30.21,192
23,Brizard,FRA,30,84,92,0.86,-26.21,206
23,Crosato,ITA,30,117,118,0.97,-32.83,265
24,Vitelli,ITA,29,69,83,0.83,-22.1,181
24,Ishikawa,JPN,29,89,60,0.83,-33.71,178
24,Rinaldi,ITA,29,87,71,0.91,-31.02,187
25,Cortesia,ITA,27,76,74,0.87,-27.68,177
26,Keita,MLI,26,79,64,0.84,-31.36,169
27,Rychlicki,ITA,24,47,65,0.73,-16.91,136
27,Mergarejo,CUB,24,86,55,0.69,-37.58,165
27,A. Nikolov,BUL,24,75,88,0.65,-27.27,187
27,Canella,ITA,24,77,77,0.8,-29.78,178
28,Romanò,ITA,23,98,102,0.66,-33.63,223
28,De Cecco,ARG,23,84,103,0.62,-29.05,210
