web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742812733-1","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","1","Balaso","ITA","282","111","126","7.62","54.34","519"
"1742812733-2","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","2","Scanferla","ITA","216","105","97","6.17","51.67","418"
"1742812733-3","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","3","Federici","ITA","209","141","114","6.53","45.04","464"
"1742812733-4","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","4","Gaggini","ITA","201","87","69","6.48","56.30","357"
"1742812733-5","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","5","Pesaresi","ITA","194","127","108","5.54","45.22","429"
"1742812733-6","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","6","Laurenzano","ITA","193","133","161","5.36","39.63","487"
"1742812733-7","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","7","Rossini","ITA","187","57","61","5.84","61.31","305"
"1742812733-8","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","8","Colaci","ITA","160","61","61","4.85","56.74","282"
"1742812733-9","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","8","Zenger","GER","160","86","119","5.33","43.84","365"
"1742812733-10","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","9","Catania","ITA","152","80","75","5.85","49.51","307"
"1742812733-11","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","10","Bonami","ITA","148","51","53","6.73","58.73","252"
"1742812733-12","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","11","Ishikawa","JPN","142","85","76","4.06","46.86","303"
"1742812733-13","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","12","Ngapeth","FRA","139","57","60","4.63","54.30","256"
"1742812733-14","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","13","Giannelli","ITA","130","66","49","3.94","53.06","245"
"1742812733-15","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","13","Maar","CAN","130","115","77","4.19","40.37","322"
"1742812733-16","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","13","Porro P.","ITA","130","78","105","3.82","41.53","313"
"1742812733-17","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","14","Bruno","BRA","127","53","88","3.97","47.39","268"
"1742812733-18","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","15","Lucarelli","BRA","125","46","61","4.17","53.88","232"
"1742812733-19","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","16","Zaytsev","ITA","124","67","50","3.54","51.45","241"
"1742812733-20","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","17","Rizzo","ITA","123","81","70","4.73","44.89","274"
"1742812733-21","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","18","Patry","FRA","122","87","57","3.59","45.86","266"
"1742812733-22","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","19","Leal","BRA","121","48","51","3.78","55.00","220"
"1742812733-23","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","20","Rinaldi","ITA","119","70","58","3.72","48.18","247"
"1742812733-24","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","21","Semeniuk","POL","118","60","31","3.58","56.46","209"
"1742812733-25","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","22","Možič","SLO","117","40","40","3.77","59.39","197"
"1742812733-26","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","23","Davyskiba","BLR","115","96","81","3.59","39.38","292"
"1742812733-27","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","24","De Cecco","ARG","113","79","97","3.05","39.10","289"
"1742812733-28","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","24","Yant","CUB","113","54","62","3.05","49.34","229"
"1742812733-29","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","25","Lavia","ITA","111","54","99","3.08","42.05","264"
"1742812733-30","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","26","Leon","POL","104","44","24","3.15","60.47","172"
"1742812733-31","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","27","Ran","JPN","99","38","59","3.19","50.51","196"
"1742812733-32","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","28","Michieletto","ITA","98","61","99","2.80","37.98","258"
"1742812733-33","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","29","Dirlic P.","CRO","97","66","36","4.04","48.74","199"
"1742812733-34","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","30","Baranowicz","ITA","96","65","67","3.69","42.11","228"
"1742812733-35","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","30","Brizard","FRA","96","72","87","2.74","37.65","255"
"1742812733-36","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","31","Mergarejo","CUB","91","50","48","2.60","48.15","189"
"1742812733-37","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","32","Milad","IRI","88","40","48","2.59","50.00","176"
"1742812733-38","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","32","Antonov","ITA","88","46","32","3.52","53.01","166"
"1742812733-39","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","33","Keita","MLI","86","52","34","2.77","50.00","172"
"1742812733-40","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","34","Romanò","ITA","84","65","37","2.40","45.16","186"
"1742812733-41","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","35","Sedlacek","CRO","83","47","37","3.32","49.70","167"
"1742812733-42","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","36","Kaziyski","BUL","82","56","62","2.28","41.00","200"
"1742812733-43","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","37","A. Nikolov","BUL","80","52","56","2.16","42.55","188"
"1742812733-44","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","38","Rychlicki","ITA","76","39","30","2.30","52.41","145"
"1742812733-45","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","38","Plotnytskyi","UKR","76","25","24","2.30","60.80","125"
"1742812733-46","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","38","Spirito","ITA","76","57","42","2.53","43.43","175"
"1742812733-47","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","39","Petric","SRB","72","45","37","3.27","46.75","154"
"1742812733-48","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","39","A. Lagumdzija","TUR","72","49","29","2.25","48.00","150"
"1742812733-49","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","40","Bayram","TUR","69","46","36","2.65","45.70","151"
"1742812733-50","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","41","Falaschi","ITA","66","67","45","2.54","37.08","178"
"1742812733-51","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","42","Loeppky","CAN","65","37","42","3.25","45.14","144"
"1742812733-52","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","43","Grozer","GER","64","31","43","2.37","46.38","138"
"1742812733-53","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","44","Loser Bruno","ARG","63","25","41","1.85","48.84","129"
"1742812733-54","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","45","Stefani","ITA","60","36","27","2.61","48.78","123"
"1742812733-55","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","45","Petkovic","SRB","60","49","57","2.61","36.14","166"
"1742812733-56","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","46","Finoli","ARG","59","60","61","2.68","32.78","180"
"1742812733-57","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","47","Saitta","ITA","57","57","89","1.84","28.08","203"
"1742812733-58","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","47","Zimmermann","GER","57","74","59","1.97","30.00","190"
