Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Balaso,ITA,181,44,462,4.89,26.35,687
2,Rossini,ITA,180,43,417,5.62,28.12,640
3,Laurenzano,ITA,170,55,524,4.72,22.7,749
4,Možič,SLO,164,69,407,5.29,25.62,640
4,Zenger,GER,164,52,395,5.47,26.84,611
4,Rinaldi,ITA,164,59,540,5.12,21.49,763
5,Davyskiba,BLR,160,54,523,5.0,21.71,737
5,Gaggini,ITA,160,64,418,5.16,24.92,642
6,Scanferla,ITA,159,39,475,4.54,23.63,673
7,Antonov,ITA,152,50,377,6.08,26.25,579
8,Lavia,ITA,148,48,462,4.11,22.49,658
9,Ishikawa,JPN,147,38,469,4.2,22.48,654
10,Maar,CAN,139,56,542,4.48,18.86,737
11,Pesaresi,ITA,135,50,550,3.86,18.37,735
12,Bonami,ITA,125,30,321,5.68,26.26,476
13,Lucarelli,BRA,124,34,367,4.13,23.62,525
13,Ngapeth,FRA,124,27,322,4.13,26.22,473
14,Michieletto,ITA,117,52,505,3.34,17.36,674
15,Plotnytskyi,UKR,116,26,271,3.52,28.09,413
16,Yant,CUB,110,35,415,2.97,19.64,560
17,Semeniuk,POL,107,38,297,3.24,24.21,442
18,Federici,ITA,106,41,363,3.31,20.78,510
18,Van Garderen,NED,106,21,225,4.82,30.11,352
19,Sedlacek,CRO,103,41,338,4.12,21.37,482
19,Leal,BRA,103,62,519,3.22,15.06,684
20,Mergarejo,CUB,100,42,425,2.86,17.64,567
21,Desmet,BEL,96,42,325,3.1,20.73,463
22,Keita,MLI,94,71,444,3.03,15.44,609
23,Milad,IRI,93,21,254,2.74,25.27,368
23,Ran,JPN,93,19,290,3.0,23.13,402
24,Leon,POL,92,42,385,2.79,17.73,519
25,A. Nikolov,BUL,88,51,274,2.38,21.31,413
26,Petric,SRB,85,24,351,3.86,18.48,460
26,Bayram,TUR,85,28,269,3.27,22.25,382
27,Colaci,ITA,83,17,196,2.52,28.04,296
28,Bottolo,ITA,77,39,242,2.08,21.51,358
29,Catania,ITA,76,37,229,2.92,22.22,342
29,Rizzo,ITA,76,25,270,2.92,20.49,371
30,Zaytsev,ITA,74,16,184,2.11,27.01,274
31,Recine,ITA,72,20,176,2.06,26.87,268
32,Loeppky,CAN,69,29,367,3.45,14.84,465
33,Piccinelli,ITA,56,18,121,1.7,28.72,195
34,Gardini,ITA,54,24,236,1.74,17.2,314
35,Gollini,ITA,45,11,113,1.45,26.63,169
36,Raffaelli,ITA,41,13,129,1.86,22.4,183
37,Asparuhov,BUL,37,37,228,1.19,12.25,302
38,Kaliberda,GER,35,15,159,1.84,16.75,209
39,Andreopoulos,GRE,34,15,134,1.36,18.58,183
40,J. Gutierrez,CUB,33,18,144,1.32,16.92,195
41,Staforini,ITA,32,12,110,1.28,20.78,154
42,Basic,FRA,26,13,107,0.74,17.81,146
43,Marttila,FIN,24,8,72,0.75,23.08,104
44,Pierri,ITA,23,8,56,0.88,26.44,87
44,Rousseaux,BEL,23,11,84,1.64,19.49,118
45,D'Amico,ITA,22,8,64,0.59,23.4,94
46,Dzavoronok,CZE,21,12,90,0.58,17.07,123
47,Magalini,ITA,17,25,82,0.55,13.71,124
48,Kaziyski,BUL,14,7,33,0.39,25.93,54
48,Podraščanin,ITA,14,5,18,0.4,37.84,37
48,Mazzone,ITA,14,3,14,0.67,45.16,31
48,Simón,CUB,14,3,19,0.45,38.89,36
49,Perrin,CAN,13,8,59,0.76,16.25,80
50,Russo,ITA,12,3,14,0.36,41.38,29
51,Lisinac,SRB,10,5,32,0.29,21.28,47
51,Loser Bruno,ARG,10,2,16,0.29,35.71,28
52,Vitelli,ITA,9,2,19,0.26,30.0,30
52,Hernandez C,FIV,9,5,22,0.75,25.0,36
53,Pace,ITA,8,3,35,0.22,17.39,46
53,Chinenyeze,FRA,8,2,25,0.22,22.86,35
53,Anzani,ITA,8,4,20,0.22,25.0,32
54,Cardenas,CUB,7,5,15,0.21,25.93,27
54,Canella,ITA,7,1,18,0.23,26.92,26
54,Marechal,FRA,7,5,29,0.24,17.07,41
55,Rychlicki,ITA,6,5,23,0.18,17.65,34
55,Beretta,ITA,6,2,15,0.19,26.09,23
55,Colombo,ITA,6,2,19,0.17,22.22,27
55,Gottardo,ITA,6,6,21,0.16,18.18,33
56,Sole,ITA,5,0,14,0.16,26.32,19
56,Galassi,ITA,5,0,28,0.16,15.15,33
56,Piano,ITA,5,2,27,0.15,14.71,34
56,Alonso,CUB,5,2,3,0.15,50.0,10
56,Cortesia,ITA,5,3,10,0.16,27.78,18
56,Grozdanov,BUL,5,0,19,0.16,20.83,24
56,Alletti,ITA,5,2,22,0.19,17.24,29
56,Ekstrand,SWE,5,5,37,0.19,10.64,47
