web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
"1742812535-1","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","1","Keita","MLI","61","130","260","1.97","13.53","451"
"1742812535-2","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","2","Davyskiba","BLR","60","110","303","1.88","12.68","473"
"1742812535-3","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","3","Kaziyski","BUL","59","117","365","1.64","10.91","541"
"1742812535-4","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","4","Rinaldi","ITA","58","137","295","1.81","11.84","490"
"1742812535-5","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","5","Romanò","ITA","57","140","328","1.63","10.86","525"
"1742812535-6","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","6","Leon","POL","55","108","190","1.67","15.58","353"
"1742812535-7","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","6","A. Nikolov","BUL","55","100","298","1.49","12.14","453"
"1742812535-8","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","7","Maar","CAN","43","86","331","1.39","9.35","460"
"1742812535-9","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","7","Porro P.","ITA","43","106","356","1.26","8.51","505"
"1742812535-10","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","7","Lucarelli","BRA","43","73","309","1.43","10.12","425"
"1742812535-11","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","8","Plotnytskyi","UKR","42","60","203","1.27","13.77","305"
"1742812535-12","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-servers/","8","Grozer","GER","42","76","211","1.56","12.77","329"
