Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Falaschi,ITA,1094,13,781,42.08,57.94,1888
2,Bruno,BRA,960,12,1579,30.0,37.63,2551
3,Giannelli,ITA,834,10,1311,25.27,38.7,2155
4,De Cecco,ARG,603,13,2323,16.3,20.52,2939
5,Saitta,ITA,521,10,1344,16.81,27.79,1875
6,Porro P.,ITA,439,11,2471,12.91,15.03,2921
7,Finoli,ARG,437,9,1442,19.86,23.15,1888
8,Baranowicz,ITA,426,18,1536,16.38,21.52,1980
9,Sbertoli,ITA,394,10,2277,11.59,14.7,2681
10,Brizard,FRA,387,12,2490,11.06,13.4,2889
11,Spirito,ITA,289,6,1613,9.63,15.15,1908
12,Cottarelli,ITA,202,1,114,7.77,63.72,317
13,Zimmermann,GER,187,18,1492,6.45,11.02,1697
14,Zoppellari,ITA,151,0,580,5.03,20.66,731
15,Fernando,BRA,130,7,545,10.0,19.06,682
16,Salsi,ITA,121,1,150,3.78,44.49,272
17,Višić,CRO,111,3,167,5.29,39.5,281
18,Laurenzano,ITA,98,2,66,2.72,59.04,166
19,Ropret,SLO,97,3,135,2.94,41.28,235
20,Lavia,ITA,70,1,28,1.94,70.71,99
21,Raphael,BRA,69,5,435,2.23,13.56,509
22,Zanni,ITA,60,5,133,2.31,30.3,198
23,Balaso,ITA,55,1,202,1.49,21.32,258
24,Michieletto,ITA,53,3,48,1.51,50.96,104
25,Kaziyski,BUL,52,2,41,1.44,54.74,95
26,Rizzo,ITA,38,0,31,1.46,55.07,69
27,Depalma,ITA,35,2,163,1.06,17.5,200
28,Pinelli,ITA,34,2,98,1.62,25.37,134
29,Scanferla,ITA,31,2,80,0.89,27.43,113
29,Antonov,ITA,31,8,30,1.24,44.93,69
30,Loeppky,CAN,29,0,15,1.45,65.91,44
31,Bonami,ITA,23,0,45,1.05,33.82,68
32,Davyskiba,BLR,20,0,116,0.62,14.71,136
32,Rossini,ITA,20,6,54,0.62,25.0,80
33,Maar,CAN,19,4,85,0.61,17.59,108
34,Lucarelli,BRA,18,3,50,0.6,25.35,71
34,Alletti,ITA,18,1,13,0.69,56.25,32
34,Ngapeth,FRA,18,3,71,0.6,19.57,92
35,Podraščanin,ITA,16,0,16,0.46,50.0,32
35,Zaytsev,ITA,16,1,67,0.46,19.05,84
36,Pesaresi,ITA,15,4,107,0.43,11.9,126
36,Catania,ITA,15,0,88,0.58,14.56,103
37,Zenger,GER,14,1,116,0.47,10.69,131
38,Semeniuk,POL,13,5,74,0.39,14.13,92
38,Federici,ITA,13,1,98,0.41,11.61,112
38,Sedlacek,CRO,13,3,72,0.52,14.77,88
39,Leal,BRA,12,2,34,0.38,25.0,48
40,Lisinac,SRB,11,0,12,0.32,47.83,23
40,Van Garderen,NED,11,0,24,0.5,31.43,35
41,Dzavoronok,CZE,10,0,9,0.28,52.63,19
41,Bottolo,ITA,10,1,19,0.27,33.33,30
41,Ran,JPN,10,1,67,0.32,12.82,78
42,Petric,SRB,9,0,18,0.41,33.33,27
42,J. Gutierrez,CUB,9,1,11,0.36,42.86,21
43,Grozer,GER,8,1,29,0.3,21.05,38
43,Simón,CUB,8,1,24,0.26,24.24,33
43,Romanò,ITA,8,3,32,0.23,18.6,43
44,Plotnytskyi,UKR,7,1,57,0.21,10.77,65
44,Vitelli,ITA,7,1,23,0.2,22.58,31
44,Caneschi,ITA,7,2,12,0.2,33.33,21
44,Larizza,ITA,7,3,5,0.27,46.67,15
44,Rinaldi,ITA,7,2,21,0.22,23.33,30
45,Colaci,ITA,6,2,76,0.18,7.14,84
