Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Michieletto,ITA,444,65,382,13.06,49.83,891
2,Rychlicki,ITA,436,84,288,13.21,53.96,808
3,Maar,CAN,433,94,338,12.74,50.06,865
4,A. Lagumdzija,TUR,416,135,368,12.24,45.27,919
5,Reggers,BEL,412,124,350,11.77,46.5,886
6,Faure,FRA,408,123,297,15.11,49.28,828
7,Ishikawa,JPN,406,120,324,11.6,47.76,850
8,Davyskiba,BLR,395,141,266,12.74,49.25,802
9,Lucarelli,BRA,388,129,270,11.76,49.3,787
10,Semeniuk,POL,369,72,299,11.18,49.86,740
11,Buchegger,AUT,364,160,250,16.55,47.03,774
11,A. Nikolov,BUL,364,102,276,11.03,49.06,742
11,Szwarc,CAN,364,106,253,10.11,50.35,723
12,Ran,JPN,361,87,300,10.31,48.26,748
13,Ben Tara W,TUN,354,75,213,10.73,55.14,642
14,Amin,IRI,326,87,240,10.19,49.92,653
14,Možič,SLO,326,78,255,10.19,49.47,659
15,Loeppky,CAN,322,57,298,8.94,47.56,677
16,Romanò,ITA,319,129,274,9.67,44.18,722
17,Plotnytskyi,UKR,318,77,229,9.64,50.96,624
18,Lavia,ITA,300,44,355,9.68,42.92,699
19,Keita,MLI,290,92,190,10.0,50.7,572
20,Sapozhkov,RUS,284,110,146,9.47,52.59,540
21,J. Gutierrez,CUB,283,89,191,12.86,50.27,563
22,Gardini,ITA,269,78,236,9.96,46.14,583
23,Leal,BRA,257,70,197,9.18,49.05,524
24,Juantorena,ITA,246,58,205,8.48,48.33,509
25,Dzavoronok,CZE,243,82,251,7.59,42.19,576
26,Rinaldi,ITA,239,101,233,7.97,41.71,573
27,Ramon,ESP,238,74,216,8.81,45.08,528
28,Lanza,ITA,232,94,225,10.55,42.11,551
29,Yant,CUB,228,77,173,6.71,47.7,478
30,Mergarejo,CUB,221,49,189,6.31,48.15,459
31,Simón,CUB,213,40,80,6.45,63.96,333
32,Kaziyski,BUL,212,61,246,6.24,40.85,519
33,Galassi,ITA,204,27,126,5.67,57.14,357
34,Loser Bruno,ARG,203,17,106,5.8,62.27,326
35,Randazzo,ITA,202,78,207,9.18,41.48,487
36,Garcia,USA,199,93,181,9.05,42.07,473
37,Chinenyeze,FRA,198,34,70,5.82,65.56,302
38,Flavio,BRA,192,26,72,5.82,66.21,290
39,Recine,ITA,189,53,157,5.73,47.37,399
40,Porro L.,ITA,176,44,127,6.52,50.72,347
41,Desmet,BEL,169,65,164,6.26,42.46,398
42,K. Russell,USA,166,74,165,7.55,40.99,405
43,Bayram,TUR,155,48,134,5.74,45.99,337
43,Perić,SRB,155,58,138,5.74,44.16,351
44,Di Martino,ITA,149,20,100,4.26,55.39,269
44,Kozamernik,SLO,149,19,77,4.38,60.82,245
45,Sanguinetti,ITA,145,36,58,4.68,60.67,239
46,Zaytsev,ITA,142,49,156,5.26,40.92,347
47,Bottolo,ITA,141,38,129,4.15,45.78,308
48,Podraščanin,ITA,140,15,68,4.12,62.78,223
49,Jendryk,USA,126,20,86,5.73,54.31,232
50,Leon,POL,125,39,82,3.79,50.81,246
51,Gargiulo,ITA,123,29,36,5.59,65.43,188
52,Massari,ITA,120,48,133,8.57,39.87,301
53,Herrera,CUB,113,38,56,3.42,54.59,207
54,Russo,ITA,112,6,44,3.5,69.14,162
54,Crosato,ITA,112,19,60,4.15,58.64,191
55,Dirlic P.,CRO,111,32,102,3.26,45.31,245
56,Basic,FRA,110,33,113,5.0,42.97,256
57,Caneschi,ITA,105,14,60,3.18,58.66,179
58,Brehme,GER,104,13,66,3.35,56.83,183
59,Mašulović N.,SRB,103,16,64,4.68,56.28,183
60,Plak,NED,102,22,54,4.08,57.3,178
61,Vitelli,ITA,99,14,53,2.83,59.64,166
61,Sala,ITA,99,63,115,4.5,35.74,277
62,Sani,ITA,94,36,96,3.36,41.59,226
63,Mazzone,ITA,93,18,55,3.44,56.02,166
64,Sole,ITA,92,10,65,2.79,55.09,167
64,Grozdanov,BUL,92,20,52,3.07,56.1,164
65,Nedeljković,SRB,90,18,65,3.33,52.02,173
66,Anzani,ITA,82,16,50,2.41,55.41,148
67,Gironi,ITA,81,34,76,2.7,42.41,191
68,Magalini,ITA,77,24,92,2.26,39.9,193
69,Cortesia,ITA,57,10,33,1.78,57.0,100
70,Giannelli,ITA,56,8,38,1.7,54.9,102
70,Mosca,ITA,56,9,38,1.75,54.37,103
71,Stankovic,ITA,54,9,45,1.8,50.0,108
71,Ricci,ITA,54,4,31,1.64,60.67,89
71,Nelli,ITA,54,11,49,1.64,47.37,114
72,Diamantini,ITA,51,11,17,1.55,64.56,79
73,Brizard,FRA,45,14,32,1.36,49.45,91
74,Guzzo,ITA,44,23,52,1.91,36.97,119
75,Tondo,ITA,43,12,45,1.95,43.0,100
76,Truocchio,ITA,40,4,21,1.48,61.54,65
77,Zingel,ITA,37,7,17,1.48,60.66,61
78,Cardenas,CUB,33,21,31,2.06,38.82,85
79,Piano,ITA,32,3,22,1.07,56.14,57
79,Rossi,ITA,32,7,26,1.19,49.23,65
79,Stefani,ITA,32,11,50,2.13,34.41,93
80,Czerwinski,AUT,31,11,21,1.24,49.21,63
80,Raffaelli,ITA,31,13,25,1.41,44.93,69
80,Porro P.,ITA,31,5,19,0.91,56.36,55
81,De Cecco,ARG,30,7,28,0.88,46.15,65
82,Bossi,ITA,26,9,24,1.18,44.07,59
83,Bruno,BRA,24,2,18,0.77,54.55,44
84,Alletti,ITA,22,8,9,1.05,56.41,39
85,Alonso,CUB,21,6,9,0.64,58.33,36
86,Spirito,ITA,20,3,15,0.62,52.63,38
87,J.Manavi,IRI,19,5,19,3.8,44.19,43
87,Cavuto,ITA,19,4,25,0.56,39.58,48
88,Fernando,BRA,17,1,28,0.47,36.96,46
88,Trinidad,ESP,17,3,15,0.77,48.57,35
89,Mujanović,SLO,15,12,14,0.52,36.59,41
90,Sbertoli,ITA,13,7,10,0.48,43.33,30
91,Orduna,ITA,12,4,12,0.55,42.86,28
91,D'heer,BEL,12,2,17,0.35,38.71,31
92,Beretta,ITA,11,1,8,0.31,55.0,20
93,Andringa,NED,10,3,14,0.3,37.04,27
94,Enrico,BRA,9,8,5,0.41,40.91,22
95,Pinali,ITA,8,2,8,0.31,44.44,18
95,Pinali,ITA,8,3,7,0.26,44.44,18
96,Acquarone,ITA,6,0,4,0.18,60.0,10
96,Leitner,AUT,6,3,6,6.0,40.0,15
97,Falaschi,ITA,5,0,7,0.19,41.67,12
97,Truhtchev,FRA,5,4,1,0.83,50.0,10
97,Baranowicz,ITA,5,4,18,0.24,18.52,27
98,Larizza,ITA,4,0,2,0.13,66.67,6
98,Saitta,ITA,4,2,7,0.67,30.77,13
98,Berger,ITA,4,1,4,0.12,44.44,9
98,Ekstrand,SWE,4,3,7,0.18,28.57,14
99,Held,ITA,3,0,2,0.09,60.0,5
99,Motzo,ITA,3,4,2,0.09,33.33,9
99,Jovović,SRB,3,0,2,0.09,60.0,5
100,Baldi,ITA,2,5,7,0.09,14.29,14
100,Santambrogio,ITA,2,1,3,0.09,33.33,6
100,Zonta,ITA,2,0,1,0.06,66.67,3
100,Zoppellari,ITA,2,1,1,0.07,50.0,4
100,Fusaro,ITA,2,0,1,0.07,66.67,3
101,Candellaro,ITA,1,0,0,0.03,100.0,1
101,Frumuselu,ITA,1,0,0,0.05,100.0,1
101,Dias,POR,1,1,0,0.03,50.0,2
101,Giani,ITA,1,1,0,0.04,50.0,2
101,Zlatanov,ITA,1,0,0,0.5,100.0,1
101,Bristot,ITA,1,0,0,1.0,100.0,1
101,Radivojevic,ITA,1,0,0,1.0,100.0,1
102,Toscani,ITA,0,0,0,,,0
102,Colaci,ITA,0,0,0,,,0
102,Ropret,SLO,0,1,2,0.0,0.0,3
102,Pierri,ITA,0,0,0,,,0
102,Cavaccini,ITA,0,1,0,0.0,0.0,1
102,Boninfante,ITA,0,2,3,0.0,0.0,5
102,Gollini,ITA,0,0,0,,,0
102,Federici,ITA,0,0,0,,,0
102,Sighinolfi,ITA,0,0,0,,,0
102,Catania,ITA,0,0,0,,,0
102,Innocenzi,ITA,0,0,0,,,0
102,Colombo,ITA,0,0,0,,,0
102,Thelle,NOR,0,0,2,0.0,0.0,2
102,Bisotto,ITA,0,0,0,,,0
102,Balaso,ITA,0,0,0,,,0
102,Višić,CRO,0,0,1,0.0,0.0,1
102,Comparoni,ITA,0,1,0,0.0,0.0,1
102,Lawani,FRA,0,0,1,0.0,0.0,1
102,Morazzini,ITA,0,0,0,,,0
102,Gaggini,ITA,0,0,0,,,0
102,Hoffer,ITA,0,0,0,,,0
102,Scanferla,ITA,0,0,0,,,0
102,Zenger,GER,0,0,0,,,0
102,Taniguchi,JPN,0,0,0,,,0
102,De Santis,ITA,0,0,0,,,0
102,Finauri,ITA,0,0,0,,,0
102,Piccinelli,ITA,0,0,0,,,0
102,Pace,ITA,0,0,0,,,0
102,Laurenzano,ITA,0,0,0,,,0
102,Luzzi,ITA,0,0,0,,,0
102,Rizzo,ITA,0,0,0,,,0
102,Bonacchi,ITA,0,0,0,,,0
102,Paglialunga,ITA,0,0,0,,,0
102,D'Amico,ITA,0,0,0,,,0
102,Bonisoli,ITA,0,0,0,,,0
102,Zanotti,ITA,0,1,2,0.0,0.0,3
102,Frascio,ITA,0,0,0,,,0
102,Brienza,ITA,0,0,0,,,0
102,Labarile,ITA,0,0,0,,,0
102,Tosti,ITA,0,0,0,,,0
102,Mariani,ITA,0,0,0,,,0
102,Beccaro,ITA,0,0,0,,,0
102,Malavasi,ITA,0,0,0,,,0
102,Patanè,ITA,0,0,0,,,0
102,Latella,ITA,0,0,0,,,0
102,Pertoldi,ITA,0,0,0,,,0
102,Melato,ITA,0,0,0,,,0
102,Giani,ITA,0,0,0,,,0
102,Italy,ITA,0,0,0,,,0
102,Menchetti,ITA,0,0,0,,,0
102,Starace,ITA,0,0,0,,,0
102,Bernardis,ITA,0,0,0,,,0
102,Beggiato,ITA,0,0,0,,,0
102,GARCIA,FRA,0,0,0,,,0
102,Menazza,ITA,0,0,0,,,0
102,Bergamasco,ITA,0,0,0,,,0
102,Zillio,ITA,0,0,0,,,0
