Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Loser Bruno,ARG,98,193,175,2.8,-20.39,466
2,Simón,CUB,84,165,152,2.55,-20.2,401
3,Kozamernik,SLO,81,154,176,2.38,-17.76,411
4,Podraščanin,ITA,80,156,168,2.35,-18.81,404
5,Grozdanov,BUL,67,132,118,2.23,-20.5,317
6,Di Martino,ITA,66,165,197,1.89,-23.13,428
7,Galassi,ITA,65,162,205,1.81,-22.45,432
8,Flavio,BRA,63,123,155,1.91,-17.6,341
9,Nedeljković,SRB,60,113,120,2.22,-18.09,293
10,Michieletto,ITA,56,100,87,1.65,-18.11,243
11,A. Lagumdzija,TUR,54,68,82,1.59,-6.86,204
12,Giannelli,ITA,53,87,120,1.61,-13.08,260
13,Vitelli,ITA,49,90,99,1.4,-17.23,238
13,Anzani,ITA,49,136,155,1.44,-25.59,340
14,Maar,CAN,48,95,111,1.41,-18.5,254
15,Rychlicki,ITA,47,115,116,1.42,-24.46,278
16,Ben Tara W,TUN,44,84,99,1.33,-17.62,227
16,Plak,NED,44,117,89,1.76,-29.2,250
17,Sole,ITA,43,85,94,1.3,-18.92,222
18,Brizard,FRA,42,70,87,1.27,-14.07,199
19,Reggers,BEL,41,68,85,1.17,-13.92,194
19,Szwarc,CAN,41,77,78,1.14,-18.37,196
20,Chinenyeze,FRA,40,133,137,1.18,-30.0,310
21,Jendryk,USA,39,108,111,1.77,-26.74,258
22,Mazzone,ITA,36,102,93,1.33,-28.57,231
22,Gargiulo,ITA,36,101,72,1.64,-31.1,209
23,Caneschi,ITA,35,103,107,1.06,-27.76,245
24,Piano,ITA,33,59,60,1.1,-17.11,152
24,Amin,IRI,33,79,94,1.03,-22.33,206
25,Lucarelli,BRA,32,81,64,0.97,-27.68,177
26,Russo,ITA,31,89,102,0.97,-26.13,222
26,Mašulović N.,SRB,31,78,118,1.41,-20.7,227
26,Sanguinetti,ITA,31,99,107,1.0,-28.69,237
26,Sapozhkov,RUS,31,54,52,1.03,-16.79,137
26,Cortesia,ITA,31,65,64,0.97,-21.25,160
27,Recine,ITA,30,50,36,0.91,-17.24,116
28,Loeppky,CAN,29,70,91,0.81,-21.58,190
28,Faure,FRA,29,66,83,1.07,-20.79,178
29,Plotnytskyi,UKR,28,88,59,0.85,-34.29,175
29,Davyskiba,BLR,28,89,69,0.9,-32.8,186
30,Semeniuk,POL,26,47,62,0.79,-15.56,135
30,Yant,CUB,26,67,40,0.76,-30.83,133
30,Lavia,ITA,26,91,71,0.84,-34.57,188
31,Ishikawa,JPN,25,86,74,0.71,-32.97,185
32,Brehme,GER,24,65,77,0.77,-24.7,166
32,Crosato,ITA,24,80,98,0.89,-27.72,202
32,Možič,SLO,24,61,50,0.75,-27.41,135
33,Spirito,ITA,23,57,80,0.72,-21.25,160
33,Mosca,ITA,23,50,60,0.72,-20.3,133
34,Mergarejo,CUB,22,65,55,0.63,-30.28,142
34,A. Nikolov,BUL,22,57,58,0.67,-25.55,137
34,Bottolo,ITA,22,51,42,0.65,-25.22,115
34,Lanza,ITA,22,57,40,1.0,-29.41,119
34,J. Gutierrez,CUB,22,53,41,1.0,-26.72,116
34,Dzavoronok,CZE,22,80,90,0.69,-30.21,192
35,Stankovic,ITA,21,59,57,0.7,-27.74,137
35,Romanò,ITA,21,80,89,0.64,-31.05,190
35,Desmet,BEL,21,40,31,0.78,-20.65,92
35,Ramon,ESP,21,58,39,0.78,-31.36,118
35,Zingel,ITA,21,54,68,0.84,-23.08,143
36,Buchegger,AUT,20,51,45,0.91,-26.72,116
36,Ran,JPN,20,80,82,0.57,-32.97,182
36,Leal,BRA,20,60,33,0.71,-35.4,113
37,De Cecco,ARG,19,78,78,0.56,-33.71,175
37,Bayram,TUR,19,40,52,0.7,-18.92,111
37,Keita,MLI,19,53,46,0.66,-28.81,118
38,Rinaldi,ITA,18,58,41,0.6,-34.19,117
38,Diamantini,ITA,18,43,80,0.55,-17.73,141
38,Fernando,BRA,18,80,83,0.5,-34.25,181
38,Gardini,ITA,18,65,37,0.67,-39.17,120
38,Porro P.,ITA,18,82,79,0.53,-35.75,179
39,Zaytsev,ITA,17,54,49,0.63,-30.83,120
40,Perić,SRB,16,45,34,0.59,-30.53,95
41,Rossi,ITA,15,39,41,0.56,-25.26,95
42,Randazzo,ITA,14,32,42,0.64,-20.45,88
42,Bruno,BRA,14,62,58,0.45,-35.82,134
42,Sbertoli,ITA,14,57,71,0.52,-30.28,142
42,Trinidad,ESP,14,68,80,0.64,-33.33,162
42,Sani,ITA,14,25,17,0.5,-19.64,56
43,Ricci,ITA,13,36,69,0.39,-19.49,118
43,Falaschi,ITA,13,54,70,0.48,-29.93,137
44,Herrera,CUB,12,26,24,0.36,-22.58,62
44,Kaziyski,BUL,12,71,65,0.35,-39.86,148
44,Gironi,ITA,12,13,18,0.4,-2.33,43
44,Garcia,USA,12,40,70,0.55,-22.95,122
45,Truocchio,ITA,11,31,21,0.41,-31.75,63
45,Sala,ITA,11,29,19,0.5,-30.51,59
45,K. Russell,USA,11,40,41,0.5,-31.52,92
46,Leon,POL,10,11,24,0.3,-2.22,45
46,Tondo,ITA,10,54,64,0.45,-34.38,128
46,Dirlic P.,CRO,10,26,33,0.29,-23.19,69
47,Bossi,ITA,9,44,36,0.41,-39.33,89
47,Juantorena,ITA,9,44,45,0.31,-35.71,98
47,Porro L.,ITA,9,38,23,0.33,-41.43,70
47,D'heer,BEL,9,16,19,0.26,-15.91,44
47,Magalini,ITA,9,12,19,0.26,-7.5,40
48,Baranowicz,ITA,8,32,62,0.38,-23.53,102
49,Orduna,ITA,7,28,42,0.32,-27.27,77
49,Alonso,CUB,7,16,22,0.21,-20.0,45
49,Acquarone,ITA,7,29,42,0.21,-28.21,78
49,Stefani,ITA,7,8,16,0.47,-3.23,31
50,Basic,FRA,6,20,17,0.27,-32.56,43
50,Cardenas,CUB,6,8,3,0.38,-11.76,17
51,Guzzo,ITA,5,20,7,0.22,-46.88,32
51,Saitta,ITA,5,16,18,0.83,-28.21,39
51,Massari,ITA,5,26,17,0.36,-43.75,48
52,Cavuto,ITA,4,6,2,0.12,-16.67,12
52,Raffaelli,ITA,4,6,9,0.18,-10.53,19
53,Enrico,BRA,3,2,3,0.14,12.5,8
53,Boninfante,ITA,3,9,6,0.1,-33.33,18
53,Nelli,ITA,3,13,22,0.09,-26.32,38
53,Alletti,ITA,3,26,17,0.14,-50.0,46
54,J.Manavi,IRI,2,9,2,0.4,-53.85,13
54,Andringa,NED,2,4,2,0.06,-25.0,8
54,Dias,POR,2,1,0,0.06,33.33,3
54,Fusaro,ITA,2,3,2,0.07,-14.29,7
54,Czerwinski,AUT,2,6,7,0.08,-26.67,15
54,Ekstrand,SWE,2,3,3,0.09,-12.5,8
54,Jovović,SRB,2,8,13,0.06,-26.09,23
54,Mujanović,SLO,2,5,5,0.07,-25.0,12
55,Candellaro,ITA,1,1,0,0.03,0.0,2
55,Ropret,SLO,1,1,3,0.03,0.0,5
55,Cavaccini,ITA,1,0,0,0.05,100.0,1
55,Santambrogio,ITA,1,9,3,0.05,-61.54,13
55,Pinali,ITA,1,4,2,0.04,-42.86,7
55,Pinali,ITA,1,2,7,0.03,-10.0,10
55,Sighinolfi,ITA,1,1,1,0.03,0.0,3
55,Zonta,ITA,1,9,8,0.03,-44.44,18
55,Innocenzi,ITA,1,0,1,0.03,50.0,2
55,Larizza,ITA,1,8,9,0.03,-38.89,18
55,Višić,CRO,1,4,2,0.03,-42.86,7
55,Comparoni,ITA,1,0,1,0.03,50.0,2
55,Hoffer,ITA,1,0,0,0.03,100.0,1
55,Truhtchev,FRA,1,2,2,0.17,-20.0,5
55,Giani,ITA,1,0,3,0.04,25.0,4
55,Leitner,AUT,1,2,0,1.0,-33.33,3
55,Bernardis,ITA,1,0,2,0.5,33.33,3
56,Held,ITA,0,0,0,,,0
56,Toscani,ITA,0,0,0,,,0
56,Colaci,ITA,0,0,0,,,0
56,Pierri,ITA,0,0,0,,,0
56,Frumuselu,ITA,0,1,0,0.0,-100.0,1
56,Baldi,ITA,0,2,1,0.0,-66.67,3
56,Gollini,ITA,0,0,0,,,0
56,Federici,ITA,0,0,0,,,0
56,Catania,ITA,0,0,0,,,0
56,Colombo,ITA,0,0,0,,,0
56,Thelle,NOR,0,2,2,0.0,-50.0,4
56,Motzo,ITA,0,1,0,0.0,-100.0,1
56,Bisotto,ITA,0,0,0,,,0
56,Balaso,ITA,0,0,0,,,0
56,Lawani,FRA,0,0,1,0.0,0.0,1
56,Morazzini,ITA,0,0,0,,,0
56,Beretta,ITA,0,8,14,0.0,-36.36,22
56,Gaggini,ITA,0,0,0,,,0
56,Scanferla,ITA,0,0,1,0.0,0.0,1
56,Zoppellari,ITA,0,9,16,0.0,-36.0,25
56,Zenger,GER,0,0,0,,,0
56,Taniguchi,JPN,0,0,0,,,0
56,De Santis,ITA,0,0,0,,,0
56,Finauri,ITA,0,0,0,,,0
56,Piccinelli,ITA,0,0,0,,,0
56,Pace,ITA,0,0,0,,,0
56,Berger,ITA,0,2,1,0.0,-66.67,3
56,Laurenzano,ITA,0,0,0,,,0
56,Luzzi,ITA,0,0,0,,,0
56,Rizzo,ITA,0,0,0,,,0
56,Bonacchi,ITA,0,1,0,0.0,-100.0,1
56,Paglialunga,ITA,0,0,0,,,0
56,D'Amico,ITA,0,0,1,0.0,0.0,1
56,Bonisoli,ITA,0,0,0,,,0
56,Zanotti,ITA,0,1,1,0.0,-50.0,2
56,Frascio,ITA,0,0,0,,,0
56,Brienza,ITA,0,0,0,,,0
56,Zlatanov,ITA,0,0,0,,,0
56,Labarile,ITA,0,0,0,,,0
56,Tosti,ITA,0,0,0,,,0
56,Mariani,ITA,0,0,0,,,0
56,Beccaro,ITA,0,0,0,,,0
56,Malavasi,ITA,0,0,0,,,0
56,Patanè,ITA,0,0,0,,,0
56,Latella,ITA,0,0,0,,,0
56,Pertoldi,ITA,0,0,0,,,0
56,Melato,ITA,0,0,0,,,0
56,Giani,ITA,0,0,0,,,0
56,Italy,ITA,0,0,0,,,0
56,Menchetti,ITA,0,0,0,,,0
56,Starace,ITA,0,0,0,,,0
56,Bristot,ITA,0,1,1,0.0,-50.0,2
56,Beggiato,ITA,0,0,0,,,0
56,GARCIA,FRA,0,1,0,0.0,-100.0,1
56,Menazza,ITA,0,0,0,,,0
56,Radivojevic,ITA,0,0,0,,,0
56,Bergamasco,ITA,0,0,0,,,0
56,Zillio,ITA,0,0,0,,,0
