Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,J. Gutierrez,CUB,208,35,424,9.45,31.18,667
2,Gaggini,ITA,184,53,583,5.11,22.44,820
3,Plotnytskyi,UKR,171,52,438,5.18,25.87,661
4,Michieletto,ITA,168,34,429,4.94,26.62,631
5,Lavia,ITA,166,42,410,5.35,26.86,618
6,Catania,ITA,162,57,512,4.63,22.16,731
7,Maar,CAN,155,56,557,4.56,20.18,768
8,Balaso,ITA,153,45,367,4.64,27.08,565
9,Rinaldi,ITA,152,62,418,5.07,24.05,632
9,Scanferla,ITA,152,45,393,4.75,25.76,590
10,Lucarelli,BRA,147,54,472,4.45,21.84,673
10,Zenger,GER,147,44,279,5.44,31.28,470
11,Semeniuk,POL,145,50,370,4.39,25.66,565
12,Laurenzano,ITA,144,39,428,4.24,23.57,611
13,Colaci,ITA,143,44,450,4.33,22.45,637
14,Dzavoronok,CZE,140,58,397,4.38,23.53,595
15,A. Nikolov,BUL,135,44,357,4.09,25.19,536
15,D'Amico,ITA,135,40,360,4.22,25.23,535
16,Rizzo,ITA,130,24,251,5.91,32.1,405
17,Kaziyski,BUL,129,51,398,3.79,22.32,578
18,Ran,JPN,126,22,318,3.6,27.04,466
19,Lanza,ITA,125,44,342,5.68,24.46,511
20,Recine,ITA,119,38,263,3.61,28.33,420
21,Cavaccini,ITA,115,23,255,5.23,29.26,393
22,Ishikawa,JPN,112,42,407,3.2,19.96,561
23,Možič,SLO,106,39,350,3.31,21.41,495
24,Yant,CUB,103,31,314,3.03,22.99,448
24,Gardini,ITA,103,58,409,3.81,18.07,570
25,Bottolo,ITA,100,33,224,2.94,28.01,357
26,Gollini,ITA,98,23,239,3.16,27.22,360
27,Ramon,ESP,96,53,444,3.56,16.19,593
28,Randazzo,ITA,94,34,358,4.27,19.34,486
29,Piccinelli,ITA,93,34,256,3.44,24.28,383
30,Davyskiba,BLR,86,29,291,2.77,21.18,406
31,Juantorena,ITA,85,25,277,2.93,21.96,387
32,Zaytsev,ITA,79,27,221,2.93,24.16,327
33,Federici,ITA,70,22,173,3.5,26.42,265
33,Sani,ITA,70,16,190,2.5,25.36,276
34,Leal,BRA,67,34,330,2.39,15.55,431
35,Desmet,BEL,64,34,239,2.37,18.99,337
36,Loeppky,CAN,63,29,299,1.75,16.11,391
37,Mergarejo,CUB,62,30,305,1.77,15.62,397
38,Porro L.,ITA,59,27,247,2.19,17.72,333
39,Perić,SRB,58,35,294,2.15,14.99,387
40,Bayram,TUR,56,35,216,2.07,18.24,307
40,Massari,ITA,56,14,186,4.0,21.88,256
41,Basic,FRA,46,21,170,2.09,19.41,237
42,Leon,POL,40,18,189,1.21,16.19,247
43,Keita,MLI,29,17,114,1.0,18.12,160
44,Cardenas,CUB,24,10,54,1.5,27.27,88
45,Caneschi,ITA,23,6,34,0.7,36.51,63
46,Magalini,ITA,22,15,95,0.65,16.67,132
47,Andringa,NED,21,4,49,0.64,28.38,74
47,Raffaelli,ITA,21,9,59,0.95,23.6,89
48,Simón,CUB,19,2,32,0.58,35.85,53
49,Pace,ITA,17,2,42,0.5,27.87,61
50,Nedeljković,SRB,16,5,40,0.59,26.23,61
51,Loser Bruno,ARG,15,4,50,0.43,21.74,69
52,Kozamernik,SLO,13,3,22,0.38,34.21,38
53,J.Manavi,IRI,12,2,30,2.4,27.27,44
53,Vitelli,ITA,12,1,31,0.34,27.27,44
53,Anzani,ITA,12,2,24,0.35,31.58,38
53,Di Martino,ITA,12,4,27,0.34,27.91,43
53,Finauri,ITA,12,12,71,0.44,12.63,95
54,Enrico,BRA,11,4,40,0.5,20.0,55
54,Sanguinetti,ITA,11,0,20,0.35,35.48,31
54,Podraščanin,ITA,11,0,24,0.32,31.43,35
55,Rychlicki,ITA,10,3,18,0.3,32.26,31
56,Sole,ITA,9,1,13,0.27,39.13,23
56,Flavio,BRA,9,2,23,0.27,26.47,34
56,Pinali,ITA,9,8,24,0.29,21.95,41
56,Plak,NED,9,2,17,0.36,32.14,28
56,Bonisoli,ITA,9,6,47,0.3,14.52,62
57,Bossi,ITA,8,3,14,0.36,32.0,25
57,Jendryk,USA,8,1,21,0.36,26.67,30
58,Reggers,BEL,7,9,60,0.2,9.21,76
58,Galassi,ITA,7,4,25,0.19,19.44,36
58,Hoffer,ITA,7,4,13,0.21,29.17,24
58,Faure,FRA,7,6,33,0.26,15.22,46
59,Pierri,ITA,6,4,24,0.29,17.65,34
59,Szwarc,CAN,6,2,16,0.17,25.0,24
59,Crosato,ITA,6,2,33,0.22,14.63,41
59,Mazzone,ITA,6,0,18,0.22,25.0,24
59,Cavuto,ITA,6,3,36,0.18,13.33,45
59,Cortesia,ITA,6,1,9,0.19,37.5,16
59,Grozdanov,BUL,6,5,16,0.2,22.22,27
60,Chinenyeze,FRA,5,5,24,0.15,14.71,34
60,Bisotto,ITA,5,3,24,0.15,15.62,32
60,Ekstrand,SWE,5,4,12,0.23,23.81,21
61,Ben Tara W,TUN,4,1,11,0.12,25.0,16
61,Russo,ITA,4,1,20,0.12,16.0,25
61,Tondo,ITA,4,0,20,0.18,16.67,24
61,Brehme,GER,4,1,16,0.13,19.05,21
61,Diamantini,ITA,4,0,7,0.12,36.36,11
61,Taniguchi,JPN,4,4,15,0.15,17.39,23
61,Rossi,ITA,4,2,11,0.15,23.53,17
62,Mašulović N.,SRB,3,0,16,0.14,15.79,19
62,Stankovic,ITA,3,0,7,0.1,30.0,10
62,Alonso,CUB,3,0,0,0.09,100.0,3
62,Ricci,ITA,3,0,6,0.09,33.33,9
62,Romanò,ITA,3,1,9,0.09,23.08,13
62,Truhtchev,FRA,3,4,11,0.5,16.67,18
62,Zingel,ITA,3,3,7,0.12,23.08,13
62,Leitner,AUT,3,3,2,3.0,37.5,8
63,Gargiulo,ITA,2,1,10,0.09,15.38,13
63,Alletti,ITA,2,0,2,0.1,50.0,4
63,Sala,ITA,2,2,3,0.09,28.57,7
63,K. Russell,USA,2,2,7,0.09,18.18,11
64,Buchegger,AUT,1,4,6,0.05,9.09,11
64,Zonta,ITA,1,0,2,0.03,33.33,3
64,Piano,ITA,1,0,9,0.03,10.0,10
64,Dirlic P.,CRO,1,3,4,0.03,12.5,8
64,Motzo,ITA,1,0,0,0.03,100.0,1
64,A. Lagumdzija,TUR,1,3,11,0.03,6.67,15
64,Gironi,ITA,1,1,0,0.03,50.0,2
64,Nelli,ITA,1,0,2,0.03,33.33,3
64,Sbertoli,ITA,1,2,10,0.04,7.69,13
64,Paglialunga,ITA,1,0,0,0.05,100.0,1
64,Mosca,ITA,1,1,2,0.03,25.0,4
65,Candellaro,ITA,0,0,0,,,0
65,Held,ITA,0,1,9,0.0,0.0,10
65,Giannelli,ITA,0,3,17,0.0,0.0,20
65,Herrera,CUB,0,0,2,0.0,0.0,2
65,Toscani,ITA,0,0,2,0.0,0.0,2
65,Ropret,SLO,0,0,0,,,0
65,Orduna,ITA,0,0,11,0.0,0.0,11
65,Frumuselu,ITA,0,0,0,,,0
65,Baldi,ITA,0,0,1,0.0,0.0,1
65,Santambrogio,ITA,0,0,0,,,0
65,Bruno,BRA,0,2,14,0.0,0.0,16
65,Boninfante,ITA,0,0,2,0.0,0.0,2
65,Pinali,ITA,0,0,0,,,0
65,Sapozhkov,RUS,0,0,7,0.0,0.0,7
65,Sighinolfi,ITA,0,0,0,,,0
65,Innocenzi,ITA,0,0,0,,,0
65,Colombo,ITA,0,0,0,,,0
65,Thelle,NOR,0,0,0,,,0
65,De Cecco,ARG,0,4,9,0.0,0.0,13
65,Larizza,ITA,0,0,1,0.0,0.0,1
65,Višić,CRO,0,0,0,,,0
65,Comparoni,ITA,0,0,0,,,0
65,Lawani,FRA,0,0,0,,,0
65,Morazzini,ITA,0,0,2,0.0,0.0,2
65,Beretta,ITA,0,0,0,,,0
65,Fernando,BRA,0,2,4,0.0,0.0,6
65,Brizard,FRA,0,2,7,0.0,0.0,9
65,Dias,POR,0,0,0,,,0
65,Falaschi,ITA,0,2,8,0.0,0.0,10
65,Zoppellari,ITA,0,0,0,,,0
65,Guzzo,ITA,0,0,3,0.0,0.0,3
65,Garcia,USA,0,2,6,0.0,0.0,8
65,Truocchio,ITA,0,1,11,0.0,0.0,12
