Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Michieletto,ITA,547,444,56,47
2,A. Lagumdzija,TUR,522,416,54,52
3,Maar,CAN,518,433,48,37
4,Rychlicki,ITA,510,436,47,27
5,Ishikawa,JPN,476,406,25,45
6,Reggers,BEL,474,412,41,21
7,Faure,FRA,472,408,29,35
8,Davyskiba,BLR,466,395,28,43
9,Lucarelli,BRA,460,388,32,40
10,Semeniuk,POL,442,369,26,47
11,Ben Tara W,TUN,436,354,44,38
12,Szwarc,CAN,421,364,41,16
13,Ran,JPN,420,361,20,39
14,A. Nikolov,BUL,419,364,22,33
15,Buchegger,AUT,407,364,20,23
16,Amin,IRI,393,326,33,34
17,Plotnytskyi,UKR,389,318,28,43
18,Romanò,ITA,388,319,21,48
19,Loeppky,CAN,387,322,29,36
20,Možič,SLO,372,326,24,22
21,Lavia,ITA,362,300,26,36
22,Sapozhkov,RUS,346,284,31,31
23,Simón,CUB,339,213,84,42
24,Keita,MLI,332,290,19,23
25,J. Gutierrez,CUB,330,283,22,25
26,Loser Bruno,ARG,324,203,98,23
27,Gardini,ITA,314,269,18,27
28,Dzavoronok,CZE,307,243,22,42
29,Ramon,ESP,304,238,21,45
30,Galassi,ITA,303,204,65,34
31,Leal,BRA,292,257,20,15
32,Rinaldi,ITA,283,239,18,26
33,Yant,CUB,279,228,26,25
34,Juantorena,ITA,270,246,9,15
35,Lanza,ITA,269,232,22,15
36,Kaziyski,BUL,262,212,12,38
37,Flavio,BRA,261,192,63,6
38,Mergarejo,CUB,258,221,22,15
39,Kozamernik,SLO,255,149,81,25
40,Chinenyeze,FRA,252,198,40,14
41,Recine,ITA,239,189,30,20
41,Garcia,USA,239,199,12,28
42,Podraščanin,ITA,230,140,80,10
43,Randazzo,ITA,228,202,14,12
44,Di Martino,ITA,223,149,66,8
45,Sanguinetti,ITA,209,145,31,33
46,Porro L.,ITA,206,176,9,21
47,K. Russell,USA,204,166,11,27
48,Desmet,BEL,200,169,21,10
49,Bayram,TUR,194,155,19,20
50,Perić,SRB,190,155,16,19
51,Bottolo,ITA,179,141,22,16
52,Jendryk,USA,174,126,39,9
53,Plak,NED,172,102,44,26
54,Grozdanov,BUL,171,92,67,12
55,Zaytsev,ITA,170,142,17,11
56,Gargiulo,ITA,167,123,36,8
57,Leon,POL,164,125,10,29
57,Russo,ITA,164,112,31,21
57,Vitelli,ITA,164,99,49,16
58,Caneschi,ITA,162,105,35,22
59,Nedeljković,SRB,160,90,60,10
60,Brehme,GER,143,104,24,15
60,Crosato,ITA,143,112,24,7
61,Anzani,ITA,141,82,49,10
62,Sole,ITA,140,92,43,5
63,Massari,ITA,139,120,5,14
64,Herrera,CUB,137,113,12,12
64,Mašulović N.,SRB,137,103,31,3
65,Mazzone,ITA,136,93,36,7
66,Giannelli,ITA,124,56,53,15
66,Dirlic P.,CRO,124,111,10,3
67,Basic,FRA,121,110,6,5
67,Sala,ITA,121,99,11,11
68,Brizard,FRA,113,45,42,26
68,Sani,ITA,113,94,14,5
69,Gironi,ITA,110,81,12,17
70,Cortesia,ITA,96,57,31,8
71,Magalini,ITA,90,77,9,4
72,Porro P.,ITA,88,31,18,39
73,Mosca,ITA,80,56,23,1
74,Stankovic,ITA,78,54,21,3
75,Diamantini,ITA,70,51,18,1
76,Tondo,ITA,68,43,10,15
76,Piano,ITA,68,32,33,3
76,Ricci,ITA,68,54,13,1
77,Nelli,ITA,62,54,3,5
78,Zingel,ITA,61,37,21,3
79,De Cecco,ARG,60,30,19,11
80,Spirito,ITA,57,20,23,14
81,Guzzo,ITA,54,44,5,5
82,Bruno,BRA,53,24,14,15
82,Truocchio,ITA,53,40,11,2
82,Sbertoli,ITA,53,13,14,26
83,Fernando,BRA,51,17,18,16
84,Rossi,ITA,50,32,15,3
85,Cardenas,CUB,42,33,6,3
86,Stefani,ITA,41,32,7,2
87,Trinidad,ESP,38,17,14,7
88,Czerwinski,AUT,37,31,2,4
89,Bossi,ITA,36,26,9,1
89,Raffaelli,ITA,36,31,4,1
90,Alonso,CUB,28,21,7,0
91,Alletti,ITA,27,22,3,2
91,Baranowicz,ITA,27,5,8,14
92,Cavuto,ITA,24,19,4,1
93,Falaschi,ITA,23,5,13,5
94,J.Manavi,IRI,22,19,2,1
94,D'heer,BEL,22,12,9,1
95,Orduna,ITA,20,12,7,1
96,Mujanović,SLO,18,15,2,1
97,Acquarone,ITA,15,6,7,2
98,Andringa,NED,14,10,2,2
99,Held,ITA,13,3,0,10
99,Enrico,BRA,13,9,3,1
100,Beretta,ITA,11,11,0,0
101,Pinali,ITA,10,8,1,1
102,Pinali,ITA,9,8,1,0
102,Saitta,ITA,9,4,5,0
102,Leitner,AUT,9,6,1,2
103,Motzo,ITA,7,3,0,4
104,Ekstrand,SWE,6,4,2,0
104,Truhtchev,FRA,6,5,1,0
105,Boninfante,ITA,5,0,3,2
105,Larizza,ITA,5,4,1,0
105,Dias,POR,5,1,2,2
105,Zoppellari,ITA,5,2,0,3
105,Berger,ITA,5,4,0,1
105,Jovović,SRB,5,3,2,0
106,Ropret,SLO,4,0,1,3
106,Baldi,ITA,4,2,0,2
106,Zonta,ITA,4,2,1,1
106,Thelle,NOR,4,0,0,4
106,Fusaro,ITA,4,2,2,0
107,Santambrogio,ITA,3,2,1,0
108,Candellaro,ITA,2,1,1,0
108,Comparoni,ITA,2,0,1,1
108,Giani,ITA,2,1,1,0
109,Cavaccini,ITA,1,0,1,0
109,Frumuselu,ITA,1,1,0,0
109,Sighinolfi,ITA,1,0,1,0
109,Innocenzi,ITA,1,0,1,0
109,Višić,CRO,1,0,1,0
109,Hoffer,ITA,1,0,1,0
109,Bonacchi,ITA,1,0,0,1
109,Zlatanov,ITA,1,1,0,0
109,Bernardis,ITA,1,0,1,0
109,Bristot,ITA,1,1,0,0
109,Radivojevic,ITA,1,1,0,0
110,Toscani,ITA,0,0,0,0
110,Colaci,ITA,0,0,0,0
110,Pierri,ITA,0,0,0,0
110,Gollini,ITA,0,0,0,0
110,Federici,ITA,0,0,0,0
110,Catania,ITA,0,0,0,0
110,Colombo,ITA,0,0,0,0
110,Bisotto,ITA,0,0,0,0
110,Balaso,ITA,0,0,0,0
110,Lawani,FRA,0,0,0,0
110,Morazzini,ITA,0,0,0,0
110,Gaggini,ITA,0,0,0,0
110,Scanferla,ITA,0,0,0,0
110,Zenger,GER,0,0,0,0
110,Taniguchi,JPN,0,0,0,0
110,De Santis,ITA,0,0,0,0
110,Finauri,ITA,0,0,0,0
110,Piccinelli,ITA,0,0,0,0
110,Pace,ITA,0,0,0,0
110,Laurenzano,ITA,0,0,0,0
110,Luzzi,ITA,0,0,0,0
110,Rizzo,ITA,0,0,0,0
110,Paglialunga,ITA,0,0,0,0
110,D'Amico,ITA,0,0,0,0
110,Bonisoli,ITA,0,0,0,0
110,Zanotti,ITA,0,0,0,0
110,Frascio,ITA,0,0,0,0
110,Brienza,ITA,0,0,0,0
110,Labarile,ITA,0,0,0,0
110,Tosti,ITA,0,0,0,0
110,Mariani,ITA,0,0,0,0
110,Beccaro,ITA,0,0,0,0
110,Malavasi,ITA,0,0,0,0
110,Patanè,ITA,0,0,0,0
110,Latella,ITA,0,0,0,0
110,Pertoldi,ITA,0,0,0,0
110,Melato,ITA,0,0,0,0
110,Giani,ITA,0,0,0,0
110,Italy,ITA,0,0,0,0
110,Menchetti,ITA,0,0,0,0
110,Starace,ITA,0,0,0,0
110,Beggiato,ITA,0,0,0,0
110,GARCIA,FRA,0,0,0,0
110,Menazza,ITA,0,0,0,0
110,Bergamasco,ITA,0,0,0,0
110,Zillio,ITA,0,0,0,0
