Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,TotalTA
1,Loser Bruno,ARG,,193,,2.8,,
2,Simón,CUB,,165,,2.55,,
3,Kozamernik,SLO,,154,,2.38,,
4,Podraščanin,ITA,,156,,2.35,,
5,Grozdanov,BUL,,132,,2.23,,
6,Di Martino,ITA,,165,,1.89,,
7,Galassi,ITA,,162,,1.81,,
8,Flavio,BRA,,123,,1.91,,
9,Nedeljković,SRB,,113,,2.22,,
10,Michieletto,ITA,,100,,1.65,,
11,A. Lagumdzija,TUR,,68,,1.59,,
12,Giannelli,ITA,,87,,1.61,,
13,Vitelli,ITA,,90,,1.4,,
13,Anzani,ITA,,136,,1.44,,
14,Maar,CAN,,95,,1.41,,
15,Rychlicki,ITA,,115,,1.42,,
16,Ben Tara W,TUN,,84,,1.33,,
16,Plak,NED,,117,,1.76,,
17,Sole,ITA,,85,,1.3,,
18,Brizard,FRA,,70,,1.27,,
19,Reggers,BEL,,68,,1.17,,
19,Szwarc,CAN,,77,,1.14,,
20,Chinenyeze,FRA,,133,,1.18,,
21,Jendryk,USA,,108,,1.77,,
22,Mazzone,ITA,,102,,1.33,,
22,Gargiulo,ITA,,101,,1.64,,
23,Caneschi,ITA,,103,,1.06,,
24,Piano,ITA,,59,,1.1,,
24,Amin,IRI,,79,,1.03,,
25,Lucarelli,BRA,,81,,0.97,,
26,Russo,ITA,,89,,0.97,,
26,Mašulović N.,SRB,,78,,1.41,,
26,Sanguinetti,ITA,,99,,1.0,,
26,Sapozhkov,RUS,,54,,1.03,,
26,Cortesia,ITA,,65,,0.97,,
27,Recine,ITA,,50,,0.91,,
28,Loeppky,CAN,,70,,0.81,,
28,Faure,FRA,,66,,1.07,,
29,Plotnytskyi,UKR,,88,,0.85,,
29,Davyskiba,BLR,,89,,0.9,,
30,Semeniuk,POL,,47,,0.79,,
30,Yant,CUB,,67,,0.76,,
30,Lavia,ITA,,91,,0.84,,
31,Ishikawa,JPN,,86,,0.71,,
32,Brehme,GER,,65,,0.77,,
32,Crosato,ITA,,80,,0.89,,
32,Možič,SLO,,61,,0.75,,
33,Spirito,ITA,,57,,0.72,,
33,Mosca,ITA,,50,,0.72,,
