Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Trinidad,ESP,1076,12,932,48.91,53.27,2020
2,Giannelli,ITA,911,11,1579,27.61,36.43,2501
3,De Cecco,ARG,647,16,2095,19.03,23.46,2758
4,Fernando,BRA,635,15,2356,17.64,21.12,3006
5,Spirito,ITA,589,8,1740,18.41,25.2,2337
6,Falaschi,ITA,409,10,1275,15.15,24.14,1694
7,Orduna,ITA,383,5,1310,17.41,22.56,1698
8,Porro P.,ITA,380,9,2226,11.18,14.53,2615
9,Brizard,FRA,320,11,2431,9.7,11.59,2762
10,Bruno,BRA,266,15,1969,8.58,11.82,2250
11,Baranowicz,ITA,240,14,1305,11.43,15.39,1559
12,Sbertoli,ITA,176,5,1603,6.52,9.87,1784
13,Acquarone,ITA,133,4,782,4.03,14.47,919
14,Saitta,ITA,127,3,408,21.17,23.61,538
15,Zoppellari,ITA,122,2,364,4.52,25.0,488
16,Laurenzano,ITA,65,4,57,1.91,51.59,126
17,Cavaccini,ITA,60,1,38,2.73,60.61,99
18,Michieletto,ITA,53,0,48,1.56,52.48,101
18,Lavia,ITA,53,1,42,1.71,55.21,96
19,Rizzo,ITA,45,0,27,2.05,62.5,72
20,Ropret,SLO,32,0,104,0.97,23.53,136
21,Zonta,ITA,29,3,351,0.83,7.57,383
21,Catania,ITA,29,2,132,0.83,17.79,163
22,Bonacchi,ITA,28,1,48,1.27,36.36,77
23,Ran,JPN,27,2,68,0.77,27.84,97
23,Rychlicki,ITA,27,1,15,0.82,62.79,43
24,Balaso,ITA,25,0,239,0.76,9.47,264
25,Piccinelli,ITA,24,1,111,0.89,17.65,136
25,Lanza,ITA,24,0,17,1.09,58.54,41
25,D'Amico,ITA,24,0,152,0.75,13.64,176
26,Buchegger,AUT,22,2,13,1.0,59.46,37
27,Boninfante,ITA,20,1,295,0.67,6.33,316
27,Višić,CRO,20,1,116,0.56,14.6,137
27,Kozamernik,SLO,20,1,16,0.59,54.05,37
27,J. Gutierrez,CUB,20,3,29,0.91,38.46,52
28,Ishikawa,JPN,19,1,80,0.54,19.0,100
28,Giani,ITA,19,1,73,0.76,20.43,93
29,Gaggini,ITA,18,2,81,0.5,17.82,101
29,Podraščanin,ITA,18,0,13,0.53,58.06,31
29,Jovović,SRB,18,1,343,0.56,4.97,362
30,Juantorena,ITA,17,0,92,0.59,15.6,109
30,Maar,CAN,17,3,111,0.5,12.98,131
