web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1741286261-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","1","Ishikawa","JPN","60","12","41","20.00","53.10","113"
"1741286261-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","2","Anderson","USA","46","9","29","15.33","54.76","84"
"1741286261-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","3","Kaczmarek","POL","40","7","21","13.33","58.82","68"
"1741286261-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","4","Śliwka","POL","37","7","18","12.33","59.68","62"
"1741286261-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","5","Jaeschke","USA","33","11","27","11.00","46.48","71"
"1741286261-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","5","Michieletto","ITA","33","8","26","11.00","49.25","67"
"1741286261-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","6","Ran","JPN","32","15","24","10.67","45.07","71"
"1741286261-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","7","Defalco","USA","31","12","20","10.33","49.21","63"
"1741286261-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","8","Lavia","ITA","30","8","38","10.00","39.47","76"
"1741286261-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","8","Leon","POL","30","8","24","10.00","48.39","62"
"1741286261-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","9","Romanò","ITA","28","13","36","9.33","36.36","77"
"1741286261-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","10","Miyaura","JPN","26","13","18","8.67","45.61","57"
"1741286261-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","11","Russo","ITA","17","5","8","5.67","56.67","30"
"1741286261-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","12","Onodera","JPN","15","0","17","5.00","46.88","32"
"1741286261-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","13","Yamauchi","JPN","14","2","13","4.67","48.28","29"
"1741286261-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","13","Bieniek","POL","14","2","8","4.67","58.33","24"
"1741286261-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","13","Alan","BRA","14","5","10","14.00","48.28","29"
"1741286261-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","14","Holt","USA","13","3","10","4.33","50.00","26"
"1741286261-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","14","Patry","FRA","13","6","10","13.00","44.83","29"
"1741286261-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","15","Galassi","ITA","12","1","10","4.00","52.17","23"
"1741286261-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","15","Nishida","JPN","12","3","10","6.00","48.00","25"
"1741286261-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","15","Urnaut","SLO","12","4","14","12.00","40.00","30"
"1741286261-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","16","Smith","USA","11","0","10","3.67","52.38","21"
"1741286261-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","16","Tillie","FRA","11","6","6","11.00","47.83","23"
"1741286261-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","16","Le Goff","FRA","11","2","5","11.00","61.11","18"
"1741286261-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","16","Pajenk","SLO","11","0","5","11.00","68.75","16"
"1741286261-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","17","Chinenyeze","FRA","10","1","6","10.00","58.82","17"
"1741286261-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","17","Giannelli","ITA","10","1","2","3.33","76.92","13"
"1741286261-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","17","Huber","POL","10","1","3","3.33","71.43","14"
"1741286261-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","18","Kochanowski","POL","9","0","5","3.00","64.29","14"
"1741286261-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","18","Russell","USA","9","5","4","4.50","50.00","18"
"1741286261-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","19","Čebulj","SLO","8","2","12","8.00","36.36","22"
"1741286261-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","19","Možič","SLO","8","2","11","8.00","38.10","21"
"1741286261-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","20","Loser Bruno","ARG","7","2","5","7.00","50.00","14"
"1741286261-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","20","Fornal","POL","7","2","5","2.33","50.00","14"
"1741286261-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","20","Lucarelli","BRA","7","4","9","7.00","35.00","20"
"1741286261-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","21","Averill","USA","6","2","4","2.00","50.00","12"
"1741286261-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","21","Clevenot","FRA","6","0","20","6.00","23.08","26"
"1741286261-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","21","Kurek","POL","6","5","4","2.00","40.00","15"
"1741286261-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","22","Muagututia","USA","5","1","6","1.67","41.67","12"
"1741286261-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","22","Palonsky","ARG","5","2","8","5.00","33.33","15"
"1741286261-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","22","Kukartsev","ARG","5","6","12","5.00","21.74","23"
"1741286261-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","23","Boyer","FRA","4","1","10","4.00","26.67","15"
"1741286261-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","23","Honorato","BRA","4","4","5","4.00","30.77","13"
"1741286261-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","23","Flavio","BRA","4","1","2","4.00","57.14","7"
"1741286261-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-attackers/","24","Vicentin","ARG","3","3","7","3.00","23.08","13"
