Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Russo,ITA,9,10,16,3.0,-2.86,35
2,Galassi,ITA,7,15,14,2.33,-22.22,36
2,Leon,POL,7,7,8,2.33,0.0,22
3,Holt,USA,6,13,15,2.0,-20.59,34
3,Jaeschke,USA,6,3,2,2.0,27.27,11
3,Kaczmarek,POL,6,10,9,2.0,-16.0,25
3,Kochanowski,POL,6,13,6,2.0,-28.0,25
4,Defalco,USA,5,9,15,1.67,-13.79,29
4,Chinenyeze,FRA,5,4,3,5.0,8.33,12
4,Lavia,ITA,5,12,12,1.67,-24.14,29
4,Ishikawa,JPN,5,14,6,1.67,-36.0,25
5,Śliwka,POL,4,9,2,1.33,-33.33,15
6,Smith,USA,3,11,10,1.0,-33.33,24
6,Romanò,ITA,3,10,11,1.0,-29.17,24
6,Onodera,JPN,3,14,10,1.0,-40.74,27
6,Yamauchi,JPN,3,8,13,1.0,-20.83,24
7,Christenson,USA,2,6,9,0.67,-23.53,17
7,Patry,FRA,2,1,3,2.0,16.67,6
7,Le Goff,FRA,2,5,0,2.0,-42.86,7
7,Michieletto,ITA,2,3,6,0.67,-9.09,11
7,Giannelli,ITA,2,4,9,0.67,-13.33,15
7,Loser Bruno,ARG,2,1,4,2.0,14.29,7
7,Ran,JPN,2,9,9,0.67,-35.0,20
7,Možič,SLO,2,7,0,2.0,-55.56,9
7,Honorato,BRA,2,1,1,2.0,25.0,4
7,Russell,USA,2,3,3,1.0,-12.5,8
8,Ma'a,USA,1,1,0,0.33,0.0,2
8,Averill,USA,1,8,5,0.33,-50.0,14
8,Brizard,FRA,1,4,2,1.0,-42.86,7
8,Clevenot,FRA,1,5,6,1.0,-33.33,12
8,Kukartsev,ARG,1,2,1,1.0,-25.0,4
8,Ramos,ARG,1,4,3,1.0,-37.5,8
8,Miyaura,JPN,1,2,8,0.33,-9.09,11
8,Pajenk,SLO,1,10,8,1.0,-47.37,19
8,Kozamernik,SLO,1,3,3,1.0,-28.57,7
8,Čebulj,SLO,1,0,0,1.0,100.0,1
8,Kurek,POL,1,3,0,0.33,-50.0,4
8,Janusz,POL,1,5,6,0.33,-33.33,12
8,Bieniek,POL,1,9,14,0.33,-33.33,24
8,Fornal,POL,1,0,1,0.33,50.0,2
8,Huber,POL,1,6,4,0.33,-45.45,11
8,Lucas,BRA,1,3,2,1.0,-33.33,6
8,Lucarelli,BRA,1,2,3,1.0,-16.67,6
8,Flavio,BRA,1,1,4,1.0,0.0,6
9,Anderson,USA,0,6,6,0.0,-50.0,12
9,Jendryk,USA,0,0,0,,,0
9,Hanes,USA,0,0,0,,,0
9,Dagostino,USA,0,0,0,,,0
9,Muagututia,USA,0,0,3,0.0,0.0,3
9,E. Shoji,USA,0,0,0,,,0
9,Grebennikov,FRA,0,0,0,,,0
9,Toniutti,FRA,0,0,1,0.0,0.0,1
9,Tillie,FRA,0,3,3,0.0,-50.0,6
9,Boyer,FRA,0,1,1,0.0,-50.0,2
9,Bultor,FRA,0,0,0,,,0
9,Louati,FRA,0,0,0,,,0
9,Diez,FRA,0,0,0,,,0
9,Carle,FRA,0,0,0,,,0
9,Jouffroy,FRA,0,0,0,,,0
9,Balaso,ITA,0,0,0,,,0
9,Sbertoli,ITA,0,0,0,,,0
9,Scanferla,ITA,0,0,0,,,0
9,Bottolo,ITA,0,0,0,,,0
9,Gironi,ITA,0,0,0,,,0
9,Rinaldi,ITA,0,0,0,,,0
9,Sanguinetti,ITA,0,0,0,,,0
9,Mosca,ITA,0,0,0,,,0
9,Sanchez Pages,ARG,0,0,0,,,0
9,Martinez Franchi,ARG,0,0,0,,,0
9,Gallego,ARG,0,0,0,,,0
9,Palonsky,ARG,0,2,0,0.0,-100.0,2
9,Danani,ARG,0,0,0,,,0
9,Zelayeta,ARG,0,0,0,,,0
9,Armoa Morel,ARG,0,1,0,0.0,-100.0,1
9,Lima B.,ARG,0,0,0,,,0
9,De Cecco,ARG,0,0,0,,,0
9,Vicentin,ARG,0,3,1,0.0,-75.0,4
9,Zerba,ARG,0,0,0,,,0
