web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741286129-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","1","Ishikawa","JPN","70","60","5","5"
"1741286129-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","2","Anderson","USA","49","46","0","3"
"1741286129-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","3","Kaczmarek","POL","47","40","6","1"
"1741286129-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","4","Śliwka","POL","44","37","4","3"
"1741286129-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","5","Jaeschke","USA","41","33","6","2"
"1741286129-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","5","Leon","POL","41","30","7","4"
"1741286129-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","6","Michieletto","ITA","40","33","2","5"
"1741286129-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","7","Defalco","USA","37","31","5","1"
"1741286129-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","7","Ran","JPN","37","32","2","3"
"1741286129-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","8","Lavia","ITA","35","30","5","0"
"1741286129-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","9","Miyaura","JPN","34","26","1","7"
"1741286129-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","10","Romanò","ITA","32","28","3","1"
"1741286129-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","11","Russo","ITA","29","17","9","3"
"1741286129-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","12","Galassi","ITA","24","12","7","5"
"1741286129-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","13","Bieniek","POL","23","14","1","8"
"1741286129-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","14","Holt","USA","20","13","6","1"
"1741286129-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","15","Onodera","JPN","19","15","3","1"
"1741286129-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","16","Yamauchi","JPN","18","14","3","1"
"1741286129-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","17","Patry","FRA","17","13","2","2"
"1741286129-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","17","Kochanowski","POL","17","9","6","2"
"1741286129-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","18","Smith","USA","16","11","3","2"
