web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
"1741286439-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","1","Bieniek","POL","8","6","33","2.67","17.02","47"
"1741286439-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","2","Miyaura","JPN","7","7","27","2.33","17.07","41"
"1741286439-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","3","Michieletto","ITA","5","5","35","1.67","11.11","45"
"1741286439-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","3","Galassi","ITA","5","9","22","1.67","13.89","36"
"1741286439-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","3","Ishikawa","JPN","5","10","28","1.67","11.63","43"
"1741286439-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","4","Leon","POL","4","8","26","1.33","10.53","38"
"1741286439-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","5","Anderson","USA","3","5","31","1.00","7.69","39"
"1741286439-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","5","Russo","ITA","3","3","41","1.00","6.38","47"
"1741286439-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","5","Ran","JPN","3","7","31","1.00","7.32","41"
"1741286439-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","5","Śliwka","POL","3","6","38","1.00","6.38","47"
"1741286439-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Jaeschke","USA","2","7","35","0.67","4.55","44"
"1741286439-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Smith","USA","2","3","32","0.67","5.41","37"
"1741286439-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Patry","FRA","2","4","5","2.00","18.18","11"
"1741286439-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Brizard","FRA","2","4","11","2.00","11.76","17"
"1741286439-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Giannelli","ITA","2","5","33","0.67","5.00","40"
"1741286439-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Kochanowski","POL","2","6","18","0.67","7.69","26"
"1741286439-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-servers/","6","Lucas","BRA","2","4","9","2.00","13.33","15"
