Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Nimir,NED,218,77,113,18.17,53.43,408
2,Čebulj,SLO,200,56,168,11.76,47.17,424
3,Mikhaylov,RUS,167,45,111,11.93,51.7,323
4,Ivović,SRB,158,35,111,10.53,51.97,304
5,T. Štern,SLO,154,61,97,10.27,49.36,312
6,Kazemi,IRI,152,47,141,10.86,44.71,340
6,Michieletto,ITA,152,27,125,10.13,50.0,304
7,Urnaut,SLO,150,39,128,8.82,47.32,317
7,Wallace,BRA,150,39,69,8.82,58.14,258
8,Ishikawa,JPN,149,28,93,10.64,55.19,270
9,Leal,BRA,139,39,94,9.27,51.1,272
10,Salehi,IRI,138,44,68,9.2,55.2,250
11,Luburić,SRB,133,46,81,8.87,51.15,260
12,Kliuka,RUS,132,37,119,9.43,45.83,288
13,Lucarelli,BRA,131,38,79,8.73,52.82,248
14,Weber,GER,128,49,107,9.85,45.07,284
15,Patry,FRA,127,42,104,9.07,46.52,273
16,Kovačević,SRB,126,44,86,12.6,49.22,256
16,Defalco,USA,126,38,106,8.4,46.67,270
17,Pereyra L.,ARG,125,56,73,8.33,49.21,254
18,Tuinstra,NED,118,46,132,8.43,39.86,296
19,Recine,ITA,117,43,122,7.8,41.49,282
20,Smith,AUS,115,37,113,9.58,43.4,265
21,Atanasijević,SRB,114,52,67,7.6,48.93,233
22,Boyer,FRA,113,37,75,7.53,50.22,225
23,Ngapeth,FRA,111,43,71,9.25,49.33,225
24,Perrin,CAN,109,20,106,8.38,46.38,235
25,Nelli,ITA,108,38,96,8.31,44.63,242
26,Asparuhov,BUL,106,31,86,7.07,47.53,223
26,Ran,JPN,106,35,72,7.07,49.77,213
26,Krsmanović,SRB,106,21,32,7.07,66.67,159
27,Shimizu,JPN,103,40,75,7.92,47.25,218
27,Vernon,CAN,103,37,74,6.87,48.13,214
28,Pajenk,SLO,102,15,41,6.0,64.56,158
29,Douglas,BRA,101,34,59,5.94,52.06,194
30,Ter Horst,NED,99,26,64,9.0,52.38,189
31,Kurek,POL,97,27,67,8.82,50.79,191
32,Tillie,FRA,96,19,68,6.0,52.46,183
32,Graham,AUS,96,60,94,6.4,38.4,250
33,Hoag,CAN,95,45,81,6.33,42.99,221
34,Volkov,RUS,93,28,64,6.64,50.27,185
35,Clevenot,FRA,92,30,68,6.57,48.42,190
35,Pinali,ITA,92,23,65,6.13,51.11,180
35,Facu,ARG,92,43,100,6.13,39.15,235
36,Podraščanin,ITA,87,15,27,5.8,67.44,129
37,Leon,POL,86,18,73,6.62,48.59,177
37,Loser Bruno,ARG,86,8,32,7.17,68.25,126
38,Schott,GER,85,30,94,5.67,40.67,209
38,Sclater,CAN,85,30,66,5.67,46.96,181
38,Alan,BRA,85,18,49,5.31,55.92,152
39,Chinenyeze,FRA,84,15,53,4.94,55.26,152
40,Krick,GER,83,15,32,5.93,63.85,130
41,Parapunov,BUL,82,54,62,5.47,41.41,198
41,Milad,IRI,82,38,84,6.31,40.2,204
42,Reichert,GER,78,29,91,5.2,39.39,198
42,Muagututia,USA,78,19,71,5.2,46.43,168
42,Kubiak,POL,78,26,75,6.5,43.58,179
43,Anderson,USA,77,20,44,8.56,54.61,141
44,Lima B.,ARG,76,31,33,10.86,54.29,140
45,Mote,AUS,74,15,53,5.29,52.11,142
46,Takanashi,JPN,73,26,47,5.21,50.0,146
47,Ensing,USA,70,25,63,5.0,44.3,158
48,Sokolov,BUL,68,26,46,8.5,48.57,140
48,Bottolo,ITA,68,36,86,4.53,35.79,190
48,Saadat,IRI,68,28,39,4.86,50.37,135
49,Volvich,RUS,67,11,21,4.47,67.68,99
49,Bieniek,POL,67,8,43,5.15,56.78,118
50,Fromm,GER,66,18,66,4.4,44.0,150
50,Otsuka,JPN,66,23,97,4.4,35.48,186
50,Seyed,IRI,66,18,37,4.71,54.55,121
50,Možič,SLO,66,16,34,3.88,56.9,116
50,Isac,BRA,66,9,40,4.12,57.39,115
51,Kozamernik,SLO,65,16,30,4.06,58.56,111
52,Hirsch,GER,63,25,68,4.5,40.38,156
53,Semeniuk,POL,61,14,47,4.69,50.0,122
54,Esfandiar,IRI,60,21,45,4.29,47.62,126
55,O'Dea,AUS,59,18,47,3.93,47.58,124
55,Kurkaev,RUS,59,7,22,3.93,67.05,88
55,Sole,ITA,59,6,39,5.36,56.73,104
56,Loeppky,CAN,58,23,47,4.14,45.31,128
56,Andringa,NED,58,25,68,4.14,38.41,151
57,Karyagin,BUL,57,28,57,3.8,40.14,142
58,Poletaev,RUS,56,16,35,3.73,52.34,107
59,Patch,USA,55,23,37,6.11,47.83,115
60,Podlesnykh,RUS,54,18,49,3.86,44.63,121
61,Bultor,FRA,52,15,25,3.06,56.52,92
62,Le Goff,FRA,51,13,30,3.0,54.26,94
62,van Tilburg,NED,51,22,52,3.4,40.8,125
62,Martinez Franchi,ARG,51,13,57,4.25,42.15,121
62,Azeez,AUS,51,24,59,4.25,38.06,134
63,Krage,GER,50,14,26,3.85,55.56,90
63,Vlasov,RUS,50,4,30,3.33,59.52,84
63,Ramos,ARG,50,10,23,3.33,60.24,83
64,Onodera,JPN,49,8,42,3.77,49.49,99
64,Parkinson,NED,49,5,16,3.77,70.0,70
64,Galassi,ITA,49,3,17,6.12,71.01,69
64,Cortesia,ITA,49,6,32,3.5,56.32,87
64,Otake,JPN,49,14,35,8.17,50.0,98
65,Kaczmarek,POL,48,16,42,4.0,45.28,106
66,Rossard T,FRA,47,15,34,4.7,48.96,96
66,Kolev,BUL,47,6,28,3.13,58.02,81
66,Kaliberda,GER,47,12,44,3.62,45.63,103
66,Szwarc,CAN,47,14,22,3.13,56.63,83
66,Mosca,ITA,47,9,28,3.36,55.95,84
67,Plak,NED,46,10,23,3.54,58.23,79
68,Atanasov,BUL,45,27,56,3.0,35.16,128
68,Yamauchi,JPN,45,8,34,3.0,51.72,87
68,Kochanowski,POL,45,9,19,3.75,61.64,73
68,Cavuto,ITA,45,18,35,3.0,45.92,98
68,Flavio,BRA,45,14,32,2.65,49.45,91
