web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741285702-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","1","Balaso","ITA","161","48","25","10.73","68.80","234"
"1741285702-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","2","Kovačič","SLO","150","60","7","8.82","69.12","217"
"1741285702-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","3","Zenger","GER","141","58","23","9.40","63.51","222"
"1741285702-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","4","Grebennikov","FRA","137","50","19","9.79","66.50","206"
"1741285702-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","5","Perry","AUS","129","39","14","8.60","70.88","182"
"1741285702-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","6","Thales","BRA","103","30","9","6.06","72.54","142"
"1741285702-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","7","E. Shoji","USA","101","37","3","6.73","71.63","141"
"1741285702-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","8","Yamamoto","JPN","100","36","9","6.67","68.97","145"
"1741285702-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","9","Arman","IRI","97","39","6","6.47","68.31","142"
"1741285702-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","10","Bann","CAN","96","27","7","8.73","73.85","130"
"1741285702-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","11","V. Ivanov","BUL","93","39","8","6.64","66.43","140"
"1741285702-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","11","Golubev","RUS","93","37","4","6.20","69.40","134"
"1741285702-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","12","Dronkers","NED","90","36","5","6.00","68.70","131"
"1741285702-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","13","Ropret","SLO","87","28","20","5.12","64.44","135"
"1741285702-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","14","Bruno","BRA","82","22","17","4.82","67.77","121"
"1741285702-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","15","Pekovic","SRB","79","38","8","5.27","63.20","125"
"1741285702-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","15","Čebulj","SLO","79","31","13","4.65","64.23","123"
"1741285702-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","16","Ivović","SRB","75","27","8","5.00","68.18","110"
"1741285702-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","17","Zatorski","POL","74","25","11","4.35","67.27","110"
"1741285702-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","18","Zimmermann","GER","73","39","10","4.87","59.84","122"
"1741285702-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","18","Jovović","SRB","73","29","13","4.87","63.48","115"
"1741285702-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","19","Michieletto","ITA","72","18","6","4.80","75.00","96"
"1741285702-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","20","Lucarelli","BRA","69","23","6","4.60","70.41","98"
"1741285702-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","21","Schott","GER","68","34","9","4.53","61.26","111"
"1741285702-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","21","Facu","ARG","68","25","6","4.53","68.69","99"
"1741285702-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","22","Mikhaylov","RUS","64","12","5","4.57","79.01","81"
"1741285702-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","23","Dosanjh","AUS","63","43","15","4.20","52.07","121"
"1741285702-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","24","Urnaut","SLO","62","27","7","3.65","64.58","96"
"1741285702-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","25","Kliuka","RUS","59","12","7","4.21","75.64","78"
"1741285702-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","26","Ishikawa","JPN","57","21","7","4.07","67.06","85"
"1741285702-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","26","Nimir","NED","57","21","3","4.75","70.37","81"
"1741285702-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","26","Sbertoli","ITA","57","24","13","3.80","60.64","94"
"1741285702-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","27","Defalco","USA","56","21","8","3.73","65.88","85"
"1741285702-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","27","Andringa","NED","56","9","4","4.00","81.16","69"
"1741285702-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","27","Ngapeth","FRA","56","17","8","4.67","69.14","81"
