web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1741285794-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","1","Ivović","SRB","123","23","161","8.20","40.07","307"
"1741285794-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","1","Čebulj","SLO","123","21","218","7.24","33.98","362"
"1741285794-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","2","Zenger","GER","121","20","190","8.07","36.56","331"
"1741285794-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","3","Schott","GER","113","19","150","7.53","40.07","282"
"1741285794-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","4","Kovačič","SLO","109","18","163","6.41","37.59","290"
"1741285794-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","5","Milad","IRI","107","13","130","8.23","42.80","250"
"1741285794-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","6","Balaso","ITA","105","27","179","7.00","33.76","311"
"1741285794-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","7","Thales","BRA","103","8","122","6.06","44.21","233"
"1741285794-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","8","Arman","IRI","101","7","114","6.73","45.50","222"
"1741285794-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","9","Perry","AUS","99","11","114","6.60","44.20","224"
"1741285794-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","10","Grebennikov","FRA","96","8","142","6.86","39.02","246"
"1741285794-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","11","Ishikawa","JPN","95","7","117","6.79","43.38","219"
"1741285794-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","12","Dronkers","NED","94","24","143","6.27","36.02","261"
"1741285794-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","13","Pekovic","SRB","93","24","183","6.20","31.00","300"
"1741285794-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","14","Yamamoto","JPN","89","12","89","5.93","46.84","190"
"1741285794-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","15","Smith","AUS","86","24","198","7.17","27.92","308"
"1741285794-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","16","Kliuka","RUS","85","22","175","6.07","30.14","282"
"1741285794-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","17","Andringa","NED","83","5","108","5.93","42.35","196"
"1741285794-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","18","Asparuhov","BUL","80","29","163","5.33","29.41","272"
"1741285794-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","18","E. Shoji","USA","80","7","114","5.33","39.80","201"
"1741285794-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","18","Recine","ITA","80","11","153","5.33","32.79","244"
"1741285794-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-receivers/","19","Urnaut","SLO","79","17","184","4.65","28.21","280"
