Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Nimir,NED,264,218,10,36
2,Čebulj,SLO,234,200,19,15
3,Mikhaylov,RUS,201,167,17,17
4,Ivović,SRB,190,158,12,20
5,T. Štern,SLO,182,154,15,13
6,Michieletto,ITA,181,152,19,10
7,Kazemi,IRI,177,152,10,15
8,Ishikawa,JPN,169,149,11,9
8,Wallace,BRA,169,150,10,9
9,Leal,BRA,162,139,11,12
10,Salehi,IRI,160,138,14,8
10,Urnaut,SLO,160,150,7,3
10,Lucarelli,BRA,160,131,12,17
11,Luburić,SRB,159,133,7,19
12,Weber,GER,154,128,14,12
12,Kliuka,RUS,154,132,12,10
13,Kovačević,SRB,149,126,16,7
14,Krsmanović,SRB,148,106,32,10
14,Defalco,USA,148,126,18,4
15,Pereyra L.,ARG,147,125,12,10
16,Patry,FRA,146,127,8,11
17,Podraščanin,ITA,140,87,44,9
17,Pajenk,SLO,140,102,20,18
18,Tuinstra,NED,135,118,6,11
19,Ngapeth,FRA,134,111,5,18
20,Recine,ITA,133,117,13,3
21,Smith,AUS,132,115,13,4
22,Vernon,CAN,129,103,16,10
23,Atanasijević,SRB,128,114,6,8
23,Perrin,CAN,128,109,12,7
24,Boyer,FRA,127,113,10,4
24,Leon,POL,127,86,9,32
25,Asparuhov,BUL,125,106,8,11
25,Nelli,ITA,125,108,5,12
26,Hoag,CAN,121,95,9,17
27,Douglas,BRA,119,101,8,10
28,Ran,JPN,118,106,5,7
29,Krick,GER,115,83,28,4
30,Clevenot,FRA,114,92,15,7
30,Volkov,RUS,114,93,10,11
31,Kurek,POL,112,97,13,2
31,Facu,ARG,112,92,18,2
32,Chinenyeze,FRA,111,84,23,4
32,Shimizu,JPN,111,103,5,3
32,Loser Bruno,ARG,111,86,16,9
33,Tillie,FRA,110,96,9,5
34,Ter Horst,NED,107,99,5,3
35,Schott,GER,106,85,3,18
35,Bieniek,POL,106,67,22,17
35,Pinali,ITA,106,92,5,9
36,Seyed,IRI,103,66,30,7
37,Graham,AUS,101,96,2,3
38,Volvich,RUS,100,67,28,5
39,Milad,IRI,99,82,11,6
39,Kozamernik,SLO,99,65,27,7
40,Parapunov,BUL,97,82,12,3
40,Sclater,CAN,97,85,6,6
40,Isac,BRA,97,66,21,10
41,Alan,BRA,96,85,8,3
42,Mote,AUS,94,74,18,2
43,Muagututia,USA,90,78,4,8
44,Reichert,GER,89,78,7,4
44,Bottolo,ITA,89,68,10,11
44,Anderson,USA,89,77,7,5
45,Ensing,USA,88,70,14,4
45,Kubiak,POL,88,78,7,3
46,Cortesia,ITA,86,49,28,9
47,Kurkaev,RUS,84,59,21,4
48,Le Goff,FRA,82,51,28,3
49,Lima B.,ARG,81,76,2,3
50,Sokolov,BUL,80,68,5,7
51,Vlasov,RUS,79,50,27,2
52,Esfandiar,IRI,77,60,5,12
52,Szwarc,CAN,77,47,20,10
