Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Nimir,NED,36,55,94,3.0,19.46,185
2,Leon,POL,32,36,69,2.46,23.36,137
3,Ivović,SRB,20,35,168,1.33,8.97,223
4,Luburić,SRB,19,44,62,1.27,15.2,125
5,Schott,GER,18,40,120,1.2,10.11,178
5,Pajenk,SLO,18,48,191,1.06,7.0,257
5,Ngapeth,FRA,18,42,100,1.5,11.25,160
6,Mikhaylov,RUS,17,34,135,1.21,9.14,186
6,Hoag,CAN,17,32,98,1.13,11.56,147
6,Bieniek,POL,17,30,106,1.31,11.11,153
6,Lucarelli,BRA,17,35,126,1.13,9.55,178
7,Kazemi,IRI,15,39,105,1.07,9.43,159
7,Čebulj,SLO,15,52,140,0.88,7.25,207
8,Atanasov,BUL,13,17,52,0.87,15.85,82
8,T. Štern,SLO,13,46,126,0.87,7.03,185
8,Ropret,SLO,13,28,179,0.76,5.91,220
8,Kobzar,RUS,13,28,120,0.87,8.07,161
8,Christenson,USA,13,18,129,1.08,8.12,160
9,Weber,GER,12,47,82,0.92,8.51,141
9,Esfandiar,IRI,12,27,72,0.86,10.81,111
9,Drzyzga,POL,12,27,112,0.71,7.95,151
9,Nelli,ITA,12,37,77,0.92,9.52,126
9,Leal,BRA,12,21,115,0.8,8.11,148
10,Patry,FRA,11,27,108,0.79,7.53,146
10,Asparuhov,BUL,11,30,88,0.73,8.53,129
10,Tuinstra,NED,11,37,132,0.79,6.11,180
10,Volkov,RUS,11,29,87,0.79,8.66,127
10,Bottolo,ITA,11,26,73,0.73,10.0,110
11,Krsmanović,SRB,10,31,198,0.67,4.18,239
11,Kliuka,RUS,10,34,128,0.71,5.81,172
11,Vernon,CAN,10,38,66,0.67,8.77,114
11,Szwarc,CAN,10,25,81,0.67,8.62,116
11,Michieletto,ITA,10,31,133,0.67,5.75,174
11,Isac,BRA,10,36,104,0.62,6.67,150
11,Douglas,BRA,10,20,85,0.59,8.7,115
11,Pereyra L.,ARG,10,32,70,0.67,8.93,112
11,Stahl,USA,10,32,58,0.77,10.0,100
12,Ishikawa,JPN,9,32,112,0.64,5.88,153
12,Podraščanin,ITA,9,34,183,0.6,3.98,226
12,Smith,USA,9,23,84,0.64,7.76,116
12,Muzaj,POL,9,14,40,0.82,14.29,63
12,Pinali,ITA,9,24,67,0.6,9.0,100
12,Cortesia,ITA,9,12,157,0.64,5.06,178
12,Wallace,BRA,9,27,127,0.53,5.52,163
12,Andringa,NED,9,38,69,0.64,7.76,116
12,Loser Bruno,ARG,9,35,109,0.75,5.88,153
13,Bultor,FRA,8,27,69,0.47,7.69,104
13,Rossard T,FRA,8,21,62,0.8,8.79,91
13,Seganov,BUL,8,19,109,0.53,5.88,136
13,Dosanjh,AUS,8,30,120,0.53,5.06,158
13,Salehi,IRI,8,39,125,0.53,4.65,172
13,Atanasijević,SRB,8,29,84,0.53,6.61,121
13,Muagututia,USA,8,21,97,0.53,6.35,126
13,Fornal,POL,8,9,31,0.67,16.67,48
13,Bednorz,POL,8,8,24,0.89,20.0,40
14,Clevenot,FRA,7,16,105,0.5,5.47,128
14,Sokolov,BUL,7,16,33,0.88,12.5,56
14,Zimmermann,GER,7,28,146,0.47,3.87,181
14,Ran,JPN,7,29,105,0.47,4.96,141
14,Seyed,IRI,7,35,82,0.5,5.65,124
14,Kovačević,SRB,7,31,103,0.7,4.96,141
14,Kozamernik,SLO,7,23,167,0.44,3.55,197
14,Wiltenburg,NED,7,13,97,0.5,5.98,117
14,van Tilburg,NED,7,11,53,0.47,9.86,71
14,Podlesnykh,RUS,7,20,76,0.5,6.8,103
