Rank,Player Name,Team,Successfu,Errors,Attempts,Average Per Match,Success,Total
1,Ropret,SLO,407,6,803,23.94,33.47,1216
2,Jovović,SRB,315,5,663,21.0,32.04,983
3,Zimmermann,GER,311,10,842,20.73,26.74,1163
4,De Cecco,ARG,286,5,564,19.07,33.45,855
5,Bruno,BRA,282,3,624,16.59,31.02,909
6,Christenson,USA,271,2,488,22.58,35.61,761
7,Kobzar,RUS,249,8,503,16.6,32.76,760
8,Brizard,FRA,239,3,559,14.94,29.84,801
9,Drzyzga,POL,236,1,556,13.88,29.76,793
10,Sbertoli,ITA,228,7,621,15.2,26.64,856
11,Dosanjh,AUS,225,12,786,15.0,21.99,1023
12,Seganov,BUL,192,6,592,12.8,24.3,790
12,S. Marouf,IRI,192,11,513,14.77,26.82,716
13,De Weijer,NED,186,5,424,16.91,30.24,615
14,Toniutti,FRA,179,3,428,11.93,29.34,610
15,Sekita,JPN,166,3,476,11.86,25.74,645
16,Pankov,RUS,154,3,298,10.27,33.85,455
17,Blankenau,CAN,153,3,418,10.93,26.66,574
18,Fujii,JPN,150,2,404,16.67,26.98,556
19,Łomacz,POL,137,2,208,8.06,39.48,347
20,Keemink,NED,119,0,402,11.9,22.84,521
21,Fernando,BRA,112,2,292,6.59,27.59,406
22,TJ,CAN,111,6,286,13.88,27.54,403
23,Spirito,ITA,104,4,369,6.93,21.8,477
24,K. Shoji,USA,98,1,224,7.54,30.34,323
24,Todorović,SRB,98,3,222,7.54,30.34,323
25,Vadi,IRI,88,2,215,9.78,28.85,305
26,Uriarte,ARG,78,1,157,7.8,33.05,236
27,Sanchez Pages,ARG,72,0,80,10.29,47.37,152
28,Vinčić,SLO,66,3,84,4.71,43.14,153
29,V.Stankov,BUL,61,3,235,6.1,20.4,299
30,Oya,JPN,60,3,118,7.5,33.15,181
31,Walsh,CAN,47,1,132,4.7,26.11,180
32,Tuaniga,USA,39,0,83,7.8,31.97,122
33,Javad,IRI,37,2,134,6.17,21.39,173
34,Van Solkema,NED,31,2,131,2.58,18.9,164
35,Butler,AUS,12,0,44,0.8,21.43,56
36,Meyer,FRA,11,0,16,3.67,40.74,27
37,Burggräf,GER,6,1,27,0.4,17.65,34
38,Stankov,BUL,5,0,29,0.56,14.71,34
38,Maique,BRA,5,0,2,0.29,71.43,7
39,Komenda,POL,4,0,3,1.33,57.14,7
40,Wallace,BRA,3,0,11,0.18,21.43,14
40,Pernuš,SLO,3,1,10,0.75,21.43,14
41,Chinenyeze,FRA,2,1,16,0.12,10.53,19
41,Ishikawa,JPN,2,0,35,0.14,5.41,37
41,Klobucar,SLO,2,0,2,0.15,50.0,4
41,M. Souza,BRA,2,0,10,0.15,16.67,12
42,Grozdanov,BUL,1,1,2,0.33,25.0,4
42,Reichert,GER,1,1,16,0.07,5.56,18
42,Sossenheimer,GER,1,0,11,0.08,8.33,12
42,Zenger,GER,1,1,61,0.07,1.59,63
42,Mote,AUS,1,2,13,0.07,6.25,16
42,Smith,AUS,1,0,13,0.08,7.14,14
42,Senica,AUS,1,0,6,0.07,14.29,7
42,Shimizu,JPN,1,1,4,0.08,16.67,6
42,Ran,JPN,1,0,24,0.07,4.0,25
42,P. Fayazi,IRI,1,1,1,0.09,33.33,3
42,Masoud,IRI,1,2,10,0.07,7.69,13
42,A. Ghafour,IRI,1,0,13,0.2,7.14,14
42,Ivović,SRB,1,1,41,0.07,2.33,43
42,Batak,SRB,1,0,1,0.2,50.0,2
42,Kozamernik,SLO,1,1,20,0.06,4.55,22
42,Kovačič,SLO,1,1,68,0.06,1.43,70
42,Videčnik,SLO,1,0,4,0.07,20.0,5
42,Urnaut,SLO,1,1,46,0.06,2.08,48
42,Kliuka,RUS,1,0,37,0.07,2.63,38
42,Holt,USA,1,0,10,0.08,9.09,11
42,Vernon,CAN,1,0,14,0.07,6.67,15
42,Mauricio,BRA,1,0,14,0.06,6.67,15
42,Sole,ITA,1,0,4,0.09,20.0,5
42,Van Berkel,CAN,1,0,6,0.07,14.29,7
42,Grebennikov,FRA,1,0,62,0.07,1.59,63
42,T. Sander,USA,1,0,12,0.17,7.69,13
43,Patry,FRA,0,0,15,0.0,0.0,15
43,Tillie,FRA,0,0,16,0.0,0.0,16
43,Lyneel,FRA,0,0,5,0.0,0.0,5
43,Boyer,FRA,0,0,7,0.0,0.0,7
43,Le Goff,FRA,0,0,13,0.0,0.0,13
43,Bultor,FRA,0,0,0,,,0
43,Clevenot,FRA,0,0,13,0.0,0.0,13
43,Rossard T,FRA,0,0,7,0.0,0.0,7
43,Louati,FRA,0,1,5,0.0,0.0,6
43,Diez,FRA,0,0,12,0.0,0.0,12
43,Gueye,FRA,0,0,0,,,0
43,Karyagin,BUL,0,2,10,0.0,0.0,12
43,Chavdarov,BUL,0,0,1,0.0,0.0,1
43,Kolev,BUL,0,0,13,0.0,0.0,13
43,Atanasov,BUL,0,0,7,0.0,0.0,7
43,Petrov,BUL,0,0,4,0.0,0.0,4
43,Asparuhov,BUL,0,0,22,0.0,0.0,22
43,V. Ivanov,BUL,0,0,66,0.0,0.0,66
43,Sokolov,BUL,0,0,1,0.0,0.0,1
43,Kartev,BUL,0,0,4,0.0,0.0,4
43,M. Ivanov,BUL,0,0,6,0.0,0.0,6
43,Parapunov,BUL,0,0,6,0.0,0.0,6
43,Fromm,GER,0,1,14,0.0,0.0,15
43,Schott,GER,0,3,41,0.0,0.0,44
43,Kaliberda,GER,0,0,14,0.0,0.0,14
43,Böhme,GER,0,0,0,,,0
43,Hirsch,GER,0,0,11,0.0,0.0,11
43,Baxpöhler,GER,0,1,0,0.0,0.0,1
43,Krage,GER,0,0,2,0.0,0.0,2
43,Weber,GER,0,0,5,0.0,0.0,5
43,Krick,GER,0,1,2,0.0,0.0,3
43,Graham,AUS,0,2,12,0.0,0.0,14
43,Weir,AUS,0,0,5,0.0,0.0,5
43,O'Dea,AUS,0,0,14,0.0,0.0,14
43,Perry,AUS,0,0,134,0.0,0.0,134
43,Taylor,AUS,0,0,3,0.0,0.0,3
43,Garrett,AUS,0,1,9,0.0,0.0,10
43,Aubrey,AUS,0,0,0,,,0
43,Flowerday,AUS,0,0,0,,,0
43,Greber,AUS,0,0,0,,,0
43,Onodera,JPN,0,0,3,0.0,0.0,3
43,Fukuzawa,JPN,0,0,5,0.0,0.0,5
43,Yamauchi,JPN,0,1,10,0.0,0.0,11
43,Lee,JPN,0,0,2,0.0,0.0,2
43,Kentaro,JPN,0,0,3,0.0,0.0,3
43,Takanashi,JPN,0,0,16,0.0,0.0,16
43,Otsuka,JPN,0,0,10,0.0,0.0,10
43,Yamamoto,JPN,0,0,34,0.0,0.0,34
43,Ogawa,JPN,0,0,21,0.0,0.0,21
43,Milad,IRI,0,0,29,0.0,0.0,29
43,Reza,IRI,0,0,3,0.0,0.0,3
43,Seyed,IRI,0,1,17,0.0,0.0,18
43,Hazrat,IRI,0,0,28,0.0,0.0,28
43,Kazemi,IRI,0,0,10,0.0,0.0,10
43,Mojarad,IRI,0,0,4,0.0,0.0,4
43,A. Shafiei,IRI,0,0,0,,,0
43,Salehi,IRI,0,1,12,0.0,0.0,13
43,Arman,IRI,0,1,57,0.0,0.0,58
43,Esfandiar,IRI,0,1,3,0.0,0.0,4
43,Kovačević,SRB,0,0,26,0.0,0.0,26
43,Kapur,SRB,0,0,7,0.0,0.0,7
43,Pekovic,SRB,0,1,64,0.0,0.0,65
43,Krsmanović,SRB,0,1,23,0.0,0.0,24
43,Perić,SRB,0,0,4,0.0,0.0,4
43,Simic,SRB,0,0,1,0.0,0.0,1
43,Atanasijević,SRB,0,0,16,0.0,0.0,16
43,Luburić,SRB,0,0,13,0.0,0.0,13
43,Podraščanin,ITA,0,0,20,0.0,0.0,20
43,Lisinac,SRB,0,0,1,0.0,0.0,1
43,Kovač,SRB,0,0,3,0.0,0.0,3
43,T. Štern,SLO,0,0,20,0.0,0.0,20
43,Pajenk,SLO,0,0,13,0.0,0.0,13
43,Gasparini,SLO,0,0,3,0.0,0.0,3
43,Štalekar,SLO,0,1,1,0.0,0.0,2
43,Z. Štern,SLO,0,0,10,0.0,0.0,10
43,Čebulj,SLO,0,1,48,0.0,0.0,49
43,Možič,SLO,0,1,10,0.0,0.0,11
