web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1741288323-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","1","Ran","JPN","16","5","42","5.33","25.40","63"
"1741288323-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","2","Balaso","ITA","15","3","35","5.00","28.30","53"
"1741288323-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","2","Yamamoto","JPN","15","2","36","5.00","28.30","53"
"1741288323-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","3","Defalco","USA","13","5","42","4.33","21.67","60"
"1741288323-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","4","E. Shoji","USA","12","4","34","4.00","24.00","50"
"1741288323-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","4","Lavia","ITA","12","7","35","4.00","22.22","54"
"1741288323-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","4","Zatorski","POL","12","3","38","4.00","22.64","53"
"1741288323-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","5","Jaeschke","USA","11","7","31","3.67","22.45","49"
"1741288323-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","6","Ishikawa","JPN","10","3","65","3.33","12.82","78"
"1741288323-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","7","Tillie","FRA","7","3","27","7.00","18.92","37"
"1741288323-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","7","Leon","POL","7","5","41","2.33","13.21","53"
"1741288323-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","7","Śliwka","POL","7","7","52","2.33","10.61","66"
"1741288323-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","8","Grebennikov","FRA","6","1","14","6.00","28.57","21"
"1741288323-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","8","Michieletto","ITA","6","2","60","2.00","8.82","68"
"1741288323-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","9","Kovačič","SLO","5","1","4","5.00","50.00","10"
"1741288323-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","9","Russell","USA","5","0","14","2.50","26.32","19"
"1741288323-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","10","Danani","ARG","4","1","9","4.00","28.57","14"
"1741288323-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","10","Čebulj","SLO","4","1","12","4.00","23.53","17"
"1741288323-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","10","Honorato","BRA","4","3","10","4.00","23.53","17"
"1741288323-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","11","Možič","SLO","3","0","6","3.00","33.33","9"
"1741288323-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","11","Fornal","POL","3","1","11","1.00","20.00","15"
"1741288323-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Holt","USA","2","0","3","0.67","40.00","5"
"1741288323-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Muagututia","USA","2","0","8","0.67","20.00","10"
"1741288323-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Clevenot","FRA","2","1","24","2.00","7.41","27"
"1741288323-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Martinez Franchi","ARG","2","0","4","2.00","33.33","6"
"1741288323-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Vicentin","ARG","2","2","10","2.00","14.29","14"
"1741288323-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Onodera","JPN","2","0","2","0.67","50.00","4"
"1741288323-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Pajenk","SLO","2","0","3","2.00","40.00","5"
"1741288323-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Z. Štern","SLO","2","0","6","2.00","25.00","8"
"1741288323-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Urnaut","SLO","2","0","12","2.00","14.29","14"
"1741288323-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Thales","BRA","2","2","7","2.00","18.18","11"
"1741288323-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","12","Lucarelli","BRA","2","3","16","2.00","9.52","21"
"1741288323-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","13","Carle","FRA","1","0","0","1.00","100.00","1"
"1741288323-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","13","Russo","ITA","1","0","6","0.33","14.29","7"
"1741288323-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","13","Armoa Morel","ARG","1","0","6","1.00","14.29","7"
"1741288323-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","13","Otsuka","JPN","1","1","8","0.33","10.00","10"
"1741288323-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","13","Yamauchi","JPN","1","0","4","0.33","20.00","5"
"1741288323-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Anderson","USA","0","1","7","0.00","0.00","8"
"1741288323-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Jendryk","USA","0","0","0","","","0"
"1741288323-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Hanes","USA","0","0","0","","","0"
"1741288323-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Dagostino","USA","0","0","0","","","0"
"1741288323-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Christenson","USA","0","0","3","0.00","0.00","3"
"1741288323-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Ma'a","USA","0","0","0","","","0"
"1741288323-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Averill","USA","0","0","0","","","0"
"1741288323-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Smith","USA","0","0","2","0.00","0.00","2"
"1741288323-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Chinenyeze","FRA","0","0","0","","","0"
"1741288323-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Patry","FRA","0","0","0","","","0"
"1741288323-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Toniutti","FRA","0","0","0","","","0"
"1741288323-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Brizard","FRA","0","0","0","","","0"
"1741288323-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Boyer","FRA","0","0","1","0.00","0.00","1"
"1741288323-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Le Goff","FRA","0","0","0","","","0"
"1741288323-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Bultor","FRA","0","0","0","","","0"
"1741288323-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Louati","FRA","0","0","0","","","0"
"1741288323-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Diez","FRA","0","0","0","","","0"
"1741288323-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Jouffroy","FRA","0","0","0","","","0"
"1741288323-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Giannelli","ITA","0","0","2","0.00","0.00","2"
"1741288323-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Sbertoli","ITA","0","0","0","","","0"
"1741288323-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Scanferla","ITA","0","0","0","","","0"
"1741288323-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Bottolo","ITA","0","0","0","","","0"
"1741288323-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Galassi","ITA","0","0","1","0.00","0.00","1"
"1741288323-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Romanò","ITA","0","0","0","","","0"
"1741288323-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Gironi","ITA","0","0","0","","","0"
"1741288323-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Rinaldi","ITA","0","2","1","0.00","0.00","3"
"1741288323-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Sanguinetti","ITA","0","0","0","","","0"
"1741288323-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Mosca","ITA","0","0","0","","","0"
"1741288323-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Sanchez Pages","ARG","0","0","0","","","0"
"1741288323-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Gallego","ARG","0","0","0","","","0"
"1741288323-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Palonsky","ARG","0","1","19","0.00","0.00","20"
"1741288323-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Loser Bruno","ARG","0","0","2","0.00","0.00","2"
"1741288323-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Zelayeta","ARG","0","0","0","","","0"
"1741288323-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Lima B.","ARG","0","0","0","","","0"
"1741288323-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","De Cecco","ARG","0","0","0","","","0"
"1741288323-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kukartsev","ARG","0","0","0","","","0"
"1741288323-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Ramos","ARG","0","1","1","0.00","0.00","2"
"1741288323-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Zerba","ARG","0","0","0","","","0"
"1741288323-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Nishida","JPN","0","0","0","","","0"
"1741288323-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Miyaura","JPN","0","0","1","0.00","0.00","1"
"1741288323-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Sekita","JPN","0","0","1","0.00","0.00","1"
"1741288323-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kentaro","JPN","0","0","0","","","0"
"1741288323-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Tomita","JPN","0","0","2","0.00","0.00","2"
"1741288323-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Ogawa","JPN","0","0","0","","","0"
"1741288323-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Nishiyama","JPN","0","0","0","","","0"
"1741288323-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Eiro","JPN","0","0","1","0.00","0.00","1"
"1741288323-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Planinšič","SLO","0","0","0","","","0"
"1741288323-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kozamernik","SLO","0","0","0","","","0"
"1741288323-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kök","SLO","0","0","0","","","0"
"1741288323-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Toman","SLO","0","0","0","","","0"
"1741288323-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Štalekar","SLO","0","0","0","","","0"
"1741288323-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Koncilja","SLO","0","0","0","","","0"
"1741288323-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Ropret","SLO","0","0","0","","","0"
"1741288323-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Mujanović","SLO","0","0","0","","","0"
"1741288323-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Popiwczak","POL","0","0","0","","","0"
"1741288323-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kaczmarek","POL","0","0","4","0.00","0.00","4"
"1741288323-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kurek","POL","0","0","0","","","0"
"1741288323-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Bednorz","POL","0","0","2","0.00","0.00","2"
"1741288323-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Łomacz","POL","0","0","0","","","0"
"1741288323-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Kochanowski","POL","0","0","0","","","0"
"1741288323-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Semeniuk","POL","0","0","3","0.00","0.00","3"
"1741288323-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Janusz","POL","0","0","1","0.00","0.00","1"
"1741288323-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Bieniek","POL","0","0","2","0.00","0.00","2"
"1741288323-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Huber","POL","0","0","1","0.00","0.00","1"
"1741288323-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-receivers/","14","Bruno","BRA","0","0","0","","","0"
