web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741284222-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","1","Russo","ITA","9","10","16","3.00","-2.86","35"
"1741284222-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","2","Galassi","ITA","7","15","14","2.33","-22.22","36"
"1741284222-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","2","Leon","POL","7","7","8","2.33","0.00","22"
"1741284222-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","3","Holt","USA","6","13","15","2.00","-20.59","34"
"1741284222-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","3","Jaeschke","USA","6","3","2","2.00","27.27","11"
"1741284222-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","3","Kaczmarek","POL","6","10","9","2.00","-16.00","25"
"1741284222-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","3","Kochanowski","POL","6","13","6","2.00","-28.00","25"
"1741284222-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","4","Defalco","USA","5","9","15","1.67","-13.79","29"
"1741284222-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","4","Chinenyeze","FRA","5","4","3","5.00","8.33","12"
"1741284222-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","4","Lavia","ITA","5","12","12","1.67","-24.14","29"
"1741284222-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","4","Ishikawa","JPN","5","14","6","1.67","-36.00","25"
"1741284222-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","5","Śliwka","POL","4","9","2","1.33","-33.33","15"
"1741284222-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","6","Smith","USA","3","11","10","1.00","-33.33","24"
"1741284222-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","6","Romanò","ITA","3","10","11","1.00","-29.17","24"
"1741284222-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","6","Onodera","JPN","3","14","10","1.00","-40.74","27"
"1741284222-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","6","Yamauchi","JPN","3","8","13","1.00","-20.83","24"
"1741284222-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Christenson","USA","2","6","9","0.67","-23.53","17"
"1741284222-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Patry","FRA","2","1","3","2.00","16.67","6"
"1741284222-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Le Goff","FRA","2","5","0","2.00","-42.86","7"
"1741284222-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Michieletto","ITA","2","3","6","0.67","-9.09","11"
"1741284222-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Giannelli","ITA","2","4","9","0.67","-13.33","15"
"1741284222-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Loser Bruno","ARG","2","1","4","2.00","14.29","7"
"1741284222-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Ran","JPN","2","9","9","0.67","-35.00","20"
"1741284222-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Možič","SLO","2","7","0","2.00","-55.56","9"
"1741284222-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Honorato","BRA","2","1","1","2.00","25.00","4"
"1741284222-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","7","Russell","USA","2","3","3","1.00","-12.50","8"
"1741284222-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Ma'a","USA","1","1","0","0.33","0.00","2"
"1741284222-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Averill","USA","1","8","5","0.33","-50.00","14"
"1741284222-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Brizard","FRA","1","4","2","1.00","-42.86","7"
"1741284222-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Clevenot","FRA","1","5","6","1.00","-33.33","12"
"1741284222-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Kukartsev","ARG","1","2","1","1.00","-25.00","4"
"1741284222-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Ramos","ARG","1","4","3","1.00","-37.50","8"
"1741284222-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Miyaura","JPN","1","2","8","0.33","-9.09","11"
"1741284222-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Pajenk","SLO","1","10","8","1.00","-47.37","19"
