Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Yamamoto,JPN,35,13,1,11.67,71.43,49
2,Zatorski,POL,27,8,3,9.0,71.05,38
3,Jaeschke,USA,24,8,2,8.0,70.59,34
3,E. Shoji,USA,24,16,2,8.0,57.14,42
3,Michieletto,ITA,24,6,2,8.0,75.0,32
4,Balaso,ITA,23,10,0,7.67,69.7,33
5,Defalco,USA,19,8,3,6.33,63.33,30
5,Ran,JPN,19,7,1,6.33,70.37,27
6,Anderson,USA,18,7,1,6.0,69.23,26
6,Giannelli,ITA,18,6,0,6.0,75.0,24
7,Christenson,USA,17,7,2,5.67,65.38,26
8,Sekita,JPN,16,9,7,5.33,50.0,32
9,Romanò,ITA,14,3,3,4.67,70.0,20
10,Tillie,FRA,13,3,0,13.0,81.25,16
10,Lavia,ITA,13,6,0,4.33,68.42,19
10,Miyaura,JPN,13,5,0,4.33,72.22,18
10,Śliwka,POL,13,5,0,4.33,72.22,18
11,Ishikawa,JPN,12,8,4,4.0,50.0,24
12,Janusz,POL,11,10,3,3.67,45.83,24
13,Grebennikov,FRA,10,5,2,10.0,58.82,17
14,Russo,ITA,9,1,1,3.0,81.82,11
14,Onodera,JPN,9,2,0,3.0,81.82,11
14,Kovačič,SLO,9,7,1,9.0,52.94,17
15,Brizard,FRA,8,3,0,8.0,72.73,11
15,Nishida,JPN,8,3,0,4.0,72.73,11
15,Kaczmarek,POL,8,9,1,2.67,44.44,18
16,Urnaut,SLO,7,2,1,7.0,70.0,10
16,Možič,SLO,7,2,1,7.0,70.0,10
16,Leon,POL,7,2,4,2.33,53.85,13
17,Smith,USA,6,3,4,2.0,46.15,13
17,Thales,BRA,6,3,0,6.0,66.67,9
18,Holt,USA,5,2,1,1.67,62.5,8
18,Clevenot,FRA,5,5,1,5.0,45.45,11
18,Danani,ARG,5,5,0,5.0,50.0,10
18,Kochanowski,POL,5,2,0,1.67,71.43,7
18,Bieniek,POL,5,5,4,1.67,35.71,14
18,Fornal,POL,5,1,1,1.67,71.43,7
19,Honorato,BRA,4,1,1,4.0,66.67,6
20,Averill,USA,3,1,1,1.0,60.0,5
20,Patry,FRA,3,0,0,3.0,100.0,3
20,Boyer,FRA,3,0,1,3.0,75.0,4
20,Galassi,ITA,3,1,0,1.0,75.0,4
20,Palonsky,ARG,3,1,2,3.0,50.0,6
20,De Cecco,ARG,3,5,0,3.0,37.5,8
20,Vicentin,ARG,3,0,0,3.0,100.0,3
20,Otsuka,JPN,3,2,1,1.0,50.0,6
20,Yamauchi,JPN,3,1,1,1.0,60.0,5
20,Pajenk,SLO,3,0,0,3.0,100.0,3
20,Ropret,SLO,3,3,0,3.0,50.0,6
20,Čebulj,SLO,3,4,1,3.0,37.5,8
20,Kurek,POL,3,1,0,1.0,75.0,4
20,Fernando,BRA,3,2,2,3.0,42.86,7
20,Lucarelli,BRA,3,3,0,3.0,50.0,6
20,Alan,BRA,3,2,0,3.0,60.0,5
21,Ma'a,USA,2,0,0,0.67,100.0,2
21,Muagututia,USA,2,1,1,0.67,50.0,4
21,Nishiyama,JPN,2,0,0,0.67,100.0,2
21,Huber,POL,2,2,0,0.67,50.0,4
21,Russell,USA,2,2,0,1.0,50.0,4
22,Hanes,USA,1,0,0,0.33,100.0,1
22,Le Goff,FRA,1,1,0,1.0,50.0,2
22,Sanchez Pages,ARG,1,0,0,1.0,100.0,1
22,Loser Bruno,ARG,1,0,0,1.0,100.0,1
22,Tomita,JPN,1,0,0,0.33,100.0,1
22,Planinšič,SLO,1,0,0,1.0,100.0,1
22,Bednorz,POL,1,0,0,0.33,100.0,1
22,Bruno,BRA,1,2,0,1.0,33.33,3
22,Lucas,BRA,1,0,0,1.0,100.0,1
22,Flavio,BRA,1,0,1,1.0,50.0,2
23,Jendryk,USA,0,0,0,,,0
23,Dagostino,USA,0,0,0,,,0
23,Chinenyeze,FRA,0,1,1,0.0,0.0,2
23,Toniutti,FRA,0,3,1,0.0,0.0,4
23,Bultor,FRA,0,0,0,,,0
23,Louati,FRA,0,0,0,,,0
23,Diez,FRA,0,0,0,,,0
23,Carle,FRA,0,1,0,0.0,0.0,1
23,Jouffroy,FRA,0,0,0,,,0
23,Sbertoli,ITA,0,0,0,,,0
23,Scanferla,ITA,0,0,0,,,0
23,Bottolo,ITA,0,0,0,,,0
23,Gironi,ITA,0,2,0,0.0,0.0,2
23,Rinaldi,ITA,0,0,0,,,0
23,Sanguinetti,ITA,0,0,0,,,0
23,Mosca,ITA,0,0,0,,,0
23,Martinez Franchi,ARG,0,0,0,,,0
23,Gallego,ARG,0,0,0,,,0
23,Zelayeta,ARG,0,0,0,,,0
23,Armoa Morel,ARG,0,0,1,0.0,0.0,1
23,Lima B.,ARG,0,0,0,,,0
23,Kukartsev,ARG,0,0,0,,,0
23,Ramos,ARG,0,2,0,0.0,0.0,2
23,Zerba,ARG,0,0,0,,,0
23,Kentaro,JPN,0,0,0,,,0
23,Ogawa,JPN,0,0,0,,,0
23,Eiro,JPN,0,1,0,0.0,0.0,1
23,Kozamernik,SLO,0,0,0,,,0
23,Kök,SLO,0,0,0,,,0
23,Toman,SLO,0,0,0,,,0
23,Štalekar,SLO,0,0,0,,,0
23,Koncilja,SLO,0,0,0,,,0
23,Z. Štern,SLO,0,1,0,0.0,0.0,1
23,Mujanović,SLO,0,0,0,,,0
23,Popiwczak,POL,0,0,0,,,0
23,Łomacz,POL,0,0,0,,,0
23,Semeniuk,POL,0,1,0,0.0,0.0,1
23,Otávio,BRA,0,0,0,,,0
23,Adriano,BRA,0,0,0,,,0
23,Leal,BRA,0,0,0,,,0
23,Maique,BRA,0,0,0,,,0
23,Roque,BRA,0,0,0,,,0
23,Judson,BRA,0,0,0,,,0
23,Larry,JPN,0,0,0,,,0
