web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","1","Ishikawa","JPN","237","56","155","15.80","52.90","448"
"1741279003-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","2","Romanò","ITA","185","64","167","12.33","44.47","416"
"1741279003-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","3","Nimir","NED","184","66","105","15.33","51.83","355"
"1741279003-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","4","Herrera","CUB","180","83","87","15.00","51.43","350"
"1741279003-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","5","Ran","JPN","173","46","94","11.53","55.27","313"
"1741279003-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","6","Luburić","SRB","172","62","118","14.33","48.86","352"
"1741279003-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","7","Urnaut","SLO","164","47","138","12.62","46.99","349"
"1741279003-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","8","Zhang J.Y.","CHN","162","60","112","13.50","48.50","334"
"1741279003-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","8","Alan","BRA","162","40","106","12.46","52.60","308"
"1741279003-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","9","Lucarelli","BRA","154","51","107","11.85","49.36","312"
"1741279003-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","10","Palonsky","ARG","151","42","113","11.62","49.35","306"
"1741279003-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","11","Lopez","CUB","148","49","97","12.33","50.34","294"
"1741279003-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","12","Čebulj","SLO","145","54","127","11.15","44.48","326"
"1741279003-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","13","Defalco","USA","143","45","91","9.53","51.25","279"
"1741279003-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","14","Možič","SLO","140","31","118","10.77","48.44","289"
"1741279003-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","15","Anderson","USA","136","35","97","9.07","50.75","268"
"1741279003-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","16","Weber","GER","125","53","66","10.42","51.23","244"
"1741279003-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","17","Kujundžić","SRB","124","39","92","10.33","48.63","255"
"1741279003-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","18","Nishida","JPN","119","50","70","8.50","49.79","239"
"1741279003-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","18","Lima B.","ARG","119","34","73","9.15","52.65","226"
"1741279003-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","19","Maar","CAN","117","41","124","9.75","41.49","282"
"1741279003-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","20","Miyaura","JPN","116","42","50","7.73","55.77","208"
"1741279003-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","21","Michieletto","ITA","115","25","90","10.45","50.00","230"
"1741279003-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","22","A. Nikolov","BUL","114","25","86","14.25","50.67","225"
"1741279003-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","22","Sclater","CAN","114","35","93","9.50","47.11","242"
"1741279003-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","23","Vicentin","ARG","112","47","131","8.62","38.62","290"
"1741279003-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","24","Leon","POL","109","23","86","9.91","50.00","218"
"1741279003-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","25","Lavia","ITA","108","22","140","9.82","40.00","270"
"1741279003-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","26","Reichert","GER","104","43","91","8.67","43.70","238"
"1741279003-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","27","Loser Bruno","ARG","103","11","47","7.92","63.98","161"
"1741279003-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","27","Van Garderen","NED","103","37","90","8.58","44.78","230"
"1741279003-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","28","Atanasov","BUL","100","33","69","8.33","49.50","202"
"1741279003-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","29","Amin","IRI","96","31","69","12.00","48.98","196"
"1741279003-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","30","Jiang C.","CHN","94","50","67","7.83","44.55","211"
"1741279003-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","31","Brehme","GER","93","17","42","7.75","61.18","152"
"1741279003-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","32","Tillie","FRA","86","35","67","9.56","45.74","188"
"1741279003-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","32","Clevenot","FRA","86","23","82","9.56","45.03","191"
"1741279003-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","33","Yant","CUB","85","26","69","7.08","47.22","180"
"1741279003-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Morteza","IRI","84","30","67","7.64","46.41","181"
"1741279003-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Hoag","CAN","84","31","84","7.00","42.21","199"
"1741279003-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Russell","USA","84","24","77","6.00","45.41","185"
"1741279003-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","35","Yu Y.T.","CHN","83","23","57","6.92","50.92","163"
"1741279003-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","36","Kukartsev","ARG","81","30","77","6.23","43.09","188"
"1741279003-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","37","Szwarc","CAN","80","33","46","6.67","50.31","159"
"1741279003-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","37","Jaeschke","USA","80","20","71","7.27","46.78","171"
"1741279003-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","38","Onodera","JPN","78","9","44","5.20","59.54","131"
"1741279003-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","39","Honorato","BRA","77","31","75","5.92","42.08","183"
"1741279003-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","40","Kurek","POL","76","30","54","6.91","47.50","160"
