Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Loser Bruno,ARG,53,62,48,4.08,-5.52,163
2,Seyed,IRI,35,55,38,2.92,-15.62,128
3,Concepcion,CUB,29,61,49,2.42,-23.02,139
3,Krsmanović,SRB,29,41,28,2.42,-12.24,98
3,Nedeljković,SRB,29,43,56,2.42,-10.94,128
4,Plak,NED,25,55,37,2.08,-25.64,117
5,Kozamernik,SLO,24,45,65,1.85,-15.67,134
5,Russo,ITA,24,42,48,2.18,-15.79,114
6,Grozdanov,BUL,23,35,38,1.92,-12.5,96
7,Zhang J.Y.,CHN,22,24,23,1.83,-2.9,69
7,Smith,USA,22,33,37,1.47,-11.96,92
7,Flavio,BRA,22,42,46,1.69,-18.18,110
7,Galassi,ITA,22,43,43,2.0,-19.44,108
8,Mohammad,IRI,21,35,39,1.75,-14.74,95
9,Wiltenburg,NED,20,30,35,1.67,-11.76,85
9,Lavia,ITA,20,31,32,1.82,-13.25,83
9,Kochanowski,POL,20,41,40,1.82,-20.79,101
10,Li Y.Z.,CHN,18,35,40,1.5,-18.28,93
10,Onodera,JPN,18,53,41,1.2,-31.25,112
10,Pajenk,SLO,18,41,55,1.38,-20.18,114
10,Čebulj,SLO,18,31,22,1.38,-18.31,71
11,Ishikawa,JPN,17,49,42,1.13,-29.63,108
11,Michieletto,ITA,17,17,21,1.55,0.0,55
11,Huber,POL,17,27,25,1.55,-14.49,69
12,Romanò,ITA,16,49,53,1.07,-27.97,118
12,Demyanenko,CAN,16,41,42,1.33,-25.25,99
12,Kłos,POL,16,27,18,2.0,-18.03,61
13,Peng S.K.,CHN,15,34,30,1.25,-24.05,79
13,Vicentin,ARG,15,30,32,1.15,-19.48,77
13,Maar,CAN,15,35,23,1.25,-27.4,73
13,Christenson,USA,15,25,29,1.0,-14.49,69
13,Van Garderen,NED,15,18,10,1.25,-6.98,43
13,Honorato,BRA,15,33,16,1.15,-28.12,64
13,Chinenyeze,FRA,15,34,25,1.67,-25.68,74
14,Taboada,CUB,14,24,23,1.17,-16.39,61
14,Možič,SLO,14,36,17,1.08,-32.84,67
14,Giannelli,ITA,14,29,37,1.27,-18.75,80
14,Leon,POL,14,19,17,1.27,-10.0,50
15,Atanasov,BUL,13,26,14,1.08,-24.53,53
15,Palonsky,ARG,13,34,22,1.0,-30.43,69
15,Defalco,USA,13,35,36,0.87,-26.19,84
15,Otávio,BRA,13,29,38,1.0,-20.0,80
15,Brehme,GER,13,50,40,1.08,-35.92,103
15,Krick,GER,13,28,23,1.08,-23.44,64
16,Yamauchi,JPN,12,37,29,0.8,-32.05,78
16,Hajipour,IRI,12,8,13,1.09,12.12,33
16,Faure,FRA,12,10,12,3.0,5.88,34
16,Holt,USA,12,39,47,0.8,-27.55,98
16,Lucarelli,BRA,12,36,25,0.92,-32.88,73
16,Parkinson,NED,12,15,4,3.0,-9.68,31
17,Sclater,CAN,11,18,16,0.92,-15.56,45
17,Herrera,CUB,11,28,23,0.92,-27.42,62
17,Pedroso,CUB,11,18,10,0.92,-17.95,39
17,Yant,CUB,11,20,18,0.92,-18.37,49
17,Kujundžić,SRB,11,26,17,0.92,-27.78,54
17,Jaeschke,USA,11,10,8,1.0,3.45,29
18,Ran,JPN,10,34,28,0.67,-33.33,72
18,Bultor,FRA,10,22,29,0.77,-19.67,61
18,Russell,USA,10,21,16,0.71,-23.4,47
18,Patry,FRA,10,9,9,1.11,3.57,28
18,Kaczmarek,POL,10,19,19,1.43,-18.75,48
19,Kolev,BUL,9,26,36,0.75,-23.94,71
19,Gotsev,BUL,9,13,10,0.75,-12.5,32
19,Esfandiar,IRI,9,12,9,0.75,-10.0,30
19,Zerba,ARG,9,31,46,0.69,-25.58,86
19,Van Berkel,CAN,9,39,38,0.75,-34.88,86
19,Masso,CUB,9,38,44,0.75,-31.87,91
19,Bieniek,POL,9,24,45,0.82,-19.23,78
19,Weber,GER,9,29,22,0.75,-33.33,60
19,Lucas,BRA,9,23,32,1.0,-21.88,64
20,Dimitrov,BUL,8,9,14,0.67,-3.23,31
20,Wang D.C.,CHN,8,16,12,0.67,-22.22,36
20,Wang H.B.,CHN,8,19,20,0.67,-23.4,47
20,Amin,IRI,8,17,22,1.0,-19.15,47
20,Ramos,ARG,8,13,11,0.62,-15.62,32
20,Herr,CAN,8,13,23,0.67,-11.36,44
20,Perić,SRB,8,4,11,0.67,17.39,23
20,Todorović,SRB,8,23,21,0.67,-28.85,52
20,Semeniuk,POL,8,7,11,0.73,3.85,26
20,Anderson,USA,8,29,37,0.53,-28.38,74
20,Keemink,NED,8,26,22,0.67,-32.14,56
20,Nimir,NED,8,20,17,0.67,-26.67,45
20,Alan,BRA,8,38,43,0.62,-33.71,89
20,Reichert,GER,8,20,17,0.67,-26.67,45
20,Krage,GER,8,26,16,0.67,-36.0,50
20,Le Goff,FRA,8,12,6,1.6,-15.38,26
21,Mosca,ITA,7,10,7,0.64,-12.5,24
21,Lima B.,ARG,7,29,25,0.54,-36.07,61
21,Szwarc,CAN,7,13,9,0.58,-20.69,29
21,Lopez,CUB,7,33,25,0.58,-40.0,65
21,Luburić,SRB,7,19,30,0.58,-21.43,56
21,Averill,USA,7,20,19,0.47,-28.26,46
21,Jorna,NED,7,26,13,0.58,-41.3,46
21,Tille,GER,7,13,16,0.58,-16.67,36
21,Clevenot,FRA,7,27,15,0.78,-40.82,49
22,Asparuhov,BUL,6,13,15,0.5,-20.59,34
22,Jiang C.,CHN,6,15,22,0.5,-20.93,43
22,Kentaro,JPN,6,26,14,0.4,-43.48,46
22,Gallego,ARG,6,11,14,0.46,-16.13,31
22,Kukartsev,ARG,6,12,11,0.46,-20.69,29
22,Eshenko,CAN,6,30,29,0.5,-36.92,65
22,Ropret,SLO,6,18,31,0.46,-21.82,55
22,Szalpuk,POL,6,6,14,0.75,0.0,26
