Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Yamamoto,JPN,131,43,19,8.73,67.88,193
2,Kovačič,SLO,128,38,16,9.85,70.33,182
3,Danani,ARG,113,63,14,8.69,59.47,190
4,Grebennikov,FRA,103,40,13,11.44,66.03,156
5,Ran,JPN,96,26,11,6.4,72.18,133
6,E. Shoji,USA,84,44,14,5.6,59.15,142
7,Andringa,NED,83,35,13,6.92,63.36,131
8,Qu Z.S.,CHN,79,34,14,6.58,62.2,127
9,Kapur,SRB,78,40,11,6.5,60.47,129
9,Zatorski,POL,78,25,8,7.09,70.27,111
10,Urnaut,SLO,76,22,8,5.85,71.7,106
11,Palonsky,ARG,73,33,12,5.62,61.86,118
11,Giannelli,ITA,73,19,8,6.64,73.0,100
12,Ishikawa,JPN,72,24,15,4.8,64.86,111
12,Vicentin,ARG,72,28,11,5.54,64.86,111
12,Currie,CAN,72,61,8,6.0,51.06,141
13,Sekita,JPN,71,38,18,4.73,55.91,127
13,Hazrat,IRI,71,14,11,5.92,73.96,96
13,Graven,GER,71,49,7,5.92,55.91,127
14,Balaso,ITA,70,18,7,10.0,73.68,95
14,Lucarelli,BRA,70,29,9,5.38,64.81,108
15,Anderson,USA,67,26,10,4.47,65.05,103
16,Maique,BRA,66,34,8,5.08,61.11,108
17,Kujundžić,SRB,65,19,6,5.42,72.22,90
18,Ropret,SLO,63,32,13,4.85,58.33,108
18,Defalco,USA,63,15,8,4.2,73.26,86
19,Christenson,USA,62,26,10,4.13,63.27,98
20,Čebulj,SLO,61,32,13,4.69,57.55,106
21,Michieletto,ITA,60,24,3,5.45,68.97,87
22,Romanò,ITA,58,29,12,3.87,58.59,99
23,De Cecco,ARG,57,20,7,6.33,67.86,84
23,Tillie,FRA,57,14,5,6.33,75.0,76
24,Maar,CAN,56,30,13,4.67,56.57,99
25,Thales,BRA,55,22,5,4.23,67.07,82
26,Alan,BRA,54,32,3,4.15,60.67,89
27,Bruno,BRA,53,36,12,4.08,52.48,101
28,Reichert,GER,52,33,9,4.33,55.32,94
29,Sclater,CAN,51,20,7,4.25,65.38,78
29,Garcia,CUB,51,37,8,4.25,53.12,96
29,Luburić,SRB,51,19,7,4.25,66.23,77
30,Todorović,SRB,50,25,3,4.17,64.1,78
30,Jaeschke,USA,50,16,4,4.55,71.43,70
30,Lavia,ITA,50,17,4,4.55,70.42,71
31,Hoag,CAN,49,23,11,4.08,59.04,83
32,Herr,CAN,48,27,1,4.0,63.16,76
32,Lopez,CUB,48,29,10,4.0,55.17,87
32,Scanferla,ITA,48,17,8,4.36,65.75,73
33,Možič,SLO,43,13,7,3.31,68.25,63
33,Van Garderen,NED,43,18,7,3.58,63.24,68
34,Honorato,BRA,42,20,4,3.23,63.64,66
35,Zhang J.Y.,CHN,41,15,9,3.42,63.08,65
35,Nishida,JPN,41,19,7,2.93,61.19,67
36,Herrera,CUB,40,37,9,3.33,46.51,86
36,Salparov,BUL,40,15,7,5.0,64.52,62
37,Atanasov,BUL,38,16,6,3.17,63.33,60
37,Dimitrov,BUL,38,10,2,3.17,76.0,50
37,Nimir,NED,38,20,6,3.17,59.38,64
38,Yu Y.T.,CHN,37,21,8,3.08,56.06,66
38,Łomacz,POL,37,12,9,2.47,63.79,58
39,Seganov,BUL,36,21,5,3.0,58.06,62
