Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Kovačič,SLO,87,12,137,6.69,36.86,236
2,Ishikawa,JPN,84,18,247,5.6,24.07,349
3,Danani,ARG,80,9,160,6.15,32.13,249
4,Ran,JPN,76,17,210,5.07,25.08,303
5,Yamamoto,JPN,72,14,140,4.8,31.86,226
6,Reichert,GER,69,15,172,5.75,26.95,256
7,Urnaut,SLO,65,15,188,5.0,24.25,268
8,Atanasov,BUL,63,18,124,5.25,30.73,205
9,Lavia,ITA,61,19,155,5.55,25.96,235
10,Tillie,FRA,59,9,117,6.56,31.89,185
11,Defalco,USA,58,19,196,3.87,21.25,273
12,Palonsky,ARG,57,13,195,4.38,21.51,265
12,Maar,CAN,57,13,163,4.75,24.46,233
12,E. Shoji,USA,57,13,145,3.8,26.51,215
13,Vicentin,ARG,56,22,199,4.31,20.22,277
14,Yu Y.T.,CHN,55,14,153,4.58,24.77,222
14,Kujundžić,SRB,55,11,157,4.58,24.66,223
15,Lopez,CUB,53,15,228,4.42,17.91,296
16,Zhang J.Y.,CHN,48,22,214,4.0,16.9,284
16,Jorna,NED,48,13,143,4.0,23.53,204
17,Qu Z.S.,CHN,47,17,141,3.92,22.93,205
17,Tuinstra,NED,47,8,113,3.92,27.98,168
17,Lucarelli,BRA,47,25,244,3.62,14.87,316
18,Esfandiar,IRI,46,15,131,3.83,23.96,192
19,Andringa,NED,45,8,164,3.75,20.74,217
20,Grebennikov,FRA,43,7,118,4.78,25.6,168
21,Hoag,CAN,42,15,166,3.5,18.83,223
22,Hazrat,IRI,39,17,100,3.25,25.0,156
22,Garcia,CUB,39,10,118,3.25,23.35,167
22,Van Garderen,NED,39,21,151,3.25,18.48,211
22,Honorato,BRA,39,12,131,3.0,21.43,182
22,Louati,FRA,39,10,73,4.33,31.97,122
23,Yant,CUB,38,9,189,3.17,16.1,236
23,Kapur,SRB,38,15,146,3.17,19.1,199
23,Ivović,SRB,38,19,137,4.75,19.59,194
24,A. Nikolov,BUL,37,21,112,4.62,21.76,170
24,Clevenot,FRA,37,9,129,4.11,21.14,175
25,Schott,GER,36,14,94,3.0,25.0,144
25,Jaeschke,USA,36,9,99,3.27,25.0,144
26,Balaso,ITA,35,6,86,5.0,27.56,127
27,Morteza,IRI,33,12,128,3.0,19.08,173
27,Možič,SLO,33,8,97,2.54,23.91,138
27,Carle,FRA,33,8,92,2.54,24.81,133
28,Szalpuk,POL,32,7,73,4.0,28.57,112
28,Maique,BRA,32,10,105,2.46,21.77,147
28,Zatorski,POL,32,8,122,2.91,19.75,162
29,Russell,USA,31,11,107,2.21,20.81,149
29,Michieletto,ITA,31,10,165,2.82,15.05,206
30,Semeniuk,POL,30,11,54,2.73,31.58,95
30,Salparov,BUL,30,10,104,3.75,20.83,144
31,Čebulj,SLO,28,3,91,2.15,22.95,122
32,Martinez Franchi,ARG,25,3,54,1.92,30.49,82
32,Szymura,POL,25,5,39,3.12,36.23,69
32,Śliwka,POL,25,9,107,3.57,17.73,141
33,Bozhilov,BUL,24,5,52,3.0,29.63,81
33,Shahrooz,IRI,24,3,55,2.0,29.27,82
33,Scanferla,ITA,24,3,49,2.18,31.58,76
34,Diez,FRA,23,9,43,1.77,30.67,75
34,Graven,GER,23,9,98,1.92,17.69,130
35,Poriya,IRI,22,19,101,2.2,15.49,142
35,Currie,CAN,22,15,133,1.83,12.94,170
35,Perić,SRB,22,13,139,1.83,12.64,174
35,Brand,GER,22,1,33,1.83,39.29,56
36,Thales,BRA,21,5,71,1.62,21.65,97
37,Z. Štern,SLO,20,3,38,1.54,32.79,61
38,Leon,POL,19,14,141,1.73,10.92,174
39,M. Elser,CAN,18,7,44,1.5,26.09,69
39,Fornal,POL,18,7,51,2.57,23.68,76
40,Zhai D.J.,CHN,17,3,71,1.42,18.68,91
41,N. Penchev,BUL,16,2,35,2.0,30.19,53
41,Katic,SRB,16,3,24,2.0,37.21,43
42,Gorguet,CUB,14,5,37,1.17,25.0,56
43,Karyagin,BUL,13,5,83,1.08,12.87,101
43,Bednorz,POL,13,1,58,1.18,18.06,72
44,Röhrs,GER,12,4,55,1.5,16.9,71
44,Otsuka,JPN,12,6,60,0.86,15.38,78
44,Popiwczak,POL,12,3,39,1.71,22.22,54
45,J.Manavi,IRI,11,4,13,2.75,39.29,28
45,Szymanski,POL,11,0,24,2.75,31.43,35
45,Adriano,BRA,11,5,63,0.85,13.92,79
45,Piccinelli,ITA,11,1,38,2.75,22.0,50
45,Fromm,GER,11,2,66,2.75,13.92,79
46,Lui,CAN,10,4,42,0.83,17.86,56
47,Onodera,JPN,9,2,10,0.6,42.86,21
47,Loser Bruno,ARG,9,1,15,0.69,36.0,25
47,Hofer,CAN,9,3,23,0.75,25.71,35
47,V. Bratoev,BUL,9,3,25,2.25,24.32,37
48,Tomita,JPN,8,0,20,0.53,28.57,28
48,Ogawa,JPN,8,2,12,0.53,36.36,22
48,Mergarejo,CUB,8,5,71,0.67,9.52,84
48,Muagututia,USA,8,1,42,0.73,15.69,51
49,Rinaldi,ITA,7,8,70,0.47,8.24,85
49,Pajenk,SLO,7,0,10,0.54,41.18,17
49,Kaliberda,GER,7,4,58,0.58,10.14,69
49,M. R. Moazzen,IRI,7,3,17,1.75,25.93,27
50,Seyed,IRI,6,1,11,0.5,33.33,18
50,Recine,ITA,6,5,35,1.5,13.04,46
50,Bottolo,ITA,6,7,52,0.55,9.23,65
50,Concepcion,CUB,6,2,25,0.5,18.18,33
50,Cooper,CAN,6,1,34,0.75,14.63,41
50,Ter Horst,NED,6,2,33,0.75,14.63,41
