web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Serve Points,Errors,Attemps,Average Per Match,Success,Total
"1741279271-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","1","Nimir","NED","25","53","101","2.08","13.97","179"
"1741279271-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","2","Romanò","ITA","22","49","121","1.47","11.46","192"
"1741279271-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","3","Ishikawa","JPN","21","58","152","1.40","9.09","231"
"1741279271-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","3","Herrera","CUB","21","52","123","1.75","10.71","196"
"1741279271-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","4","Palonsky","ARG","19","48","137","1.46","9.31","204"
"1741279271-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","4","Lucarelli","BRA","19","32","156","1.46","9.18","207"
"1741279271-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","5","Urnaut","SLO","18","37","137","1.38","9.38","192"
"1741279271-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","6","Zhang J.Y.","CHN","17","28","104","1.42","11.41","149"
"1741279271-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","6","Anderson","USA","17","28","119","1.13","10.37","164"
"1741279271-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","7","Lopez","CUB","16","46","112","1.33","9.20","174"
"1741279271-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","7","Kujundžić","SRB","16","34","117","1.33","9.58","167"
"1741279271-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","7","Defalco","USA","16","46","109","1.07","9.36","171"
"1741279271-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","8","Miyaura","JPN","15","30","75","1.00","12.50","120"
"1741279271-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","8","Ran","JPN","15","34","153","1.00","7.43","202"
"1741279271-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","9","Amin","IRI","14","15","67","1.75","14.58","96"
"1741279271-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","9","Leon","POL","14","33","63","1.27","12.73","110"
"1741279271-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","10","Luburić","SRB","13","41","120","1.08","7.47","174"
"1741279271-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","10","Russell","USA","13","26","65","0.93","12.50","104"
"1741279271-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","10","Michieletto","ITA","13","19","120","1.18","8.55","152"
"1741279271-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","10","Russo","ITA","13","17","131","1.18","8.07","161"
"1741279271-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","10","Kochanowski","POL","13","19","89","1.18","10.74","121"
"1741279271-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","11","Nishida","JPN","12","51","62","0.86","9.60","125"
"1741279271-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","11","Loser Bruno","ARG","12","31","173","0.92","5.56","216"
"1741279271-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","11","Bieniek","POL","12","21","95","1.09","9.38","128"
"1741279271-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","12","Tuinstra","NED","11","22","66","0.92","11.11","99"
