Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Christenson,USA,325,3,562,21.67,36.52,890
2,Sekita,JPN,296,3,912,19.73,24.44,1211
3,Giannelli,ITA,277,2,559,25.18,33.05,838
4,De Cecco,ARG,242,4,541,26.89,30.75,787
5,Bruno,BRA,239,6,620,18.38,27.63,865
6,Ropret,SLO,223,6,681,17.15,24.51,910
7,Seganov,BUL,215,6,596,17.92,26.32,817
8,Keemink,NED,205,6,662,17.08,23.48,873
9,Todorović,SRB,197,2,585,16.42,25.13,784
10,Herr,CAN,192,6,604,16.0,23.94,802
11,Tille,GER,184,3,492,15.33,27.1,679
12,Taboada,CUB,183,7,590,15.25,23.46,780
13,Brizard,FRA,156,3,400,17.33,27.91,559
14,Wang H.B.,CHN,150,6,607,12.5,19.66,763
15,Sanchez Pages,ARG,129,3,240,9.92,34.68,372
16,Janusz,POL,125,1,358,17.86,25.83,484
17,Łomacz,POL,115,2,366,7.67,23.81,483
18,Vadi,IRI,91,1,258,11.38,26.0,350
19,Javad,IRI,83,3,356,6.92,18.78,442
19,Fernando,BRA,83,1,173,6.38,32.3,257
20,Porro P.,ITA,82,2,198,20.5,29.08,282
21,Corre,FRA,63,2,288,15.75,17.85,353
22,Toniutti,FRA,62,0,122,12.4,33.7,184
23,Kampa,GER,59,3,236,7.38,19.8,298
24,Thondike,CUB,52,1,176,4.33,22.71,229
25,Walsh,CAN,49,0,126,6.12,28.0,175
26,Ma'a,USA,44,2,127,4.0,25.43,173
27,Firlej,POL,42,3,216,5.25,16.09,261
28,A. Ramezani,IRI,40,0,113,10.0,26.14,153
29,Batak,SRB,39,1,176,3.25,18.06,216
30,Raev,BUL,34,0,44,4.25,43.59,78
31,Meijs,NED,27,2,88,2.25,23.08,117
32,Planinšič,SLO,26,0,140,2.0,15.66,166
33,Tuaniga,USA,25,1,29,6.25,45.45,55
34,Chen L.Y.,CHN,24,2,148,3.0,13.79,174
35,Eiro,JPN,20,1,79,2.86,20.0,100
36,G. Bratoev,BUL,14,1,49,3.5,21.88,64
36,Giraudo,ARG,14,2,38,3.5,25.93,54
37,Zimmermann,GER,12,0,21,3.0,36.36,33
38,Falaschi,ITA,6,1,16,1.5,26.09,23
38,Blankenau,CAN,6,0,48,1.5,11.11,54
39,Guo C.,CHN,5,0,21,0.42,19.23,26
39,Fukatsu,JPN,5,0,30,0.62,14.29,35
40,Sbertoli,ITA,4,0,8,0.36,33.33,12
41,Maar,CAN,2,1,40,0.17,4.65,43
41,Goide,CUB,2,0,2,0.17,50.0,4
41,Lucarelli,BRA,2,2,55,0.15,3.39,59
41,Ivović,SRB,2,1,26,0.25,6.9,29
42,Gotsev,BUL,1,0,4,0.08,20.0,5
42,Li Y.Z.,CHN,1,0,8,0.08,11.11,9
42,Nishida,JPN,1,0,13,0.07,7.14,14
42,Ran,JPN,1,0,47,0.07,2.08,48
42,Ishikawa,JPN,1,2,48,0.07,1.96,51
42,Kujundžić,SRB,1,0,34,0.08,2.86,35
42,Carle,FRA,1,0,18,0.08,5.26,19
42,Śliwka,POL,1,0,28,0.14,3.45,29
43,Kolev,BUL,0,1,7,0.0,0.0,8
43,Atanasov,BUL,0,0,28,0.0,0.0,28
43,Asparuhov,BUL,0,0,9,0.0,0.0,9
43,Karyagin,BUL,0,0,7,0.0,0.0,7
43,Grozdanov,BUL,0,0,17,0.0,0.0,17
43,Dimitrov,BUL,0,0,8,0.0,0.0,8
43,Bozhilov,BUL,0,0,20,0.0,0.0,20
43,N. Penchev,BUL,0,0,9,0.0,0.0,9
43,Dobrev,BUL,0,0,2,0.0,0.0,2
43,A. Nikolov,BUL,0,0,15,0.0,0.0,15
43,Petkov,BUL,0,0,1,0.0,0.0,1
43,Wang D.C.,CHN,0,1,5,0.0,0.0,6
43,Jiang C.,CHN,0,2,5,0.0,0.0,7
43,Yu Y.T.,CHN,0,1,19,0.0,0.0,20
43,Liu M.,CHN,0,1,22,0.0,0.0,23
43,Chen J.J.,CHN,0,0,0,,,0
43,Zhai D.J.,CHN,0,0,10,0.0,0.0,10
43,Peng S.K.,CHN,0,0,4,0.0,0.0,4
43,Qu Z.S.,CHN,0,0,50,0.0,0.0,50
43,Zhang G.H.,CHN,0,0,0,,,0
43,Zhang J.Y.,CHN,0,1,30,0.0,0.0,31
43,Wang B.,CHN,0,0,2,0.0,0.0,2
43,Onodera,JPN,0,0,12,0.0,0.0,12
43,Miyaura,JPN,0,2,6,0.0,0.0,8
43,Yamauchi,JPN,0,0,8,0.0,0.0,8
43,Kentaro,JPN,0,0,4,0.0,0.0,4
43,Tomita,JPN,0,0,4,0.0,0.0,4
43,Ogawa,JPN,0,0,7,0.0,0.0,7
43,Yamamoto,JPN,0,0,63,0.0,0.0,63
43,Kai,JPN,0,0,0,,,0
43,Jelveh,IRI,0,0,1,0.0,0.0,1
43,Seyed,IRI,0,1,20,0.0,0.0,21
43,Hazrat,IRI,0,0,60,0.0,0.0,60
43,Amin,IRI,0,1,7,0.0,0.0,8
43,Esfandiar,IRI,0,0,10,0.0,0.0,10
43,J.Manavi,IRI,0,0,2,0.0,0.0,2
43,Hajipour,IRI,0,0,6,0.0,0.0,6
43,Poriya,IRI,0,0,12,0.0,0.0,12
43,Shahrooz,IRI,0,0,5,0.0,0.0,5
43,Arman,IRI,0,0,5,0.0,0.0,5
43,Mohammad,IRI,0,0,6,0.0,0.0,6
43,Morteza,IRI,0,1,11,0.0,0.0,12
43,Balaso,ITA,0,1,53,0.0,0.0,54
43,Recine,ITA,0,0,1,0.0,0.0,1
43,Gardini,ITA,0,0,0,,,0
43,Bottolo,ITA,0,0,5,0.0,0.0,5
43,Cortesia,ITA,0,0,0,,,0
43,Romanò,ITA,0,2,19,0.0,0.0,21
43,Gironi,ITA,0,1,1,0.0,0.0,2
43,Rinaldi,ITA,0,0,6,0.0,0.0,6
43,Vitelli,ITA,0,0,3,0.0,0.0,3
43,Federici,ITA,0,0,1,0.0,0.0,1
43,Sanguinetti,ITA,0,0,2,0.0,0.0,2
43,Mosca,ITA,0,1,4,0.0,0.0,5
43,Martinez Franchi,ARG,0,0,12,0.0,0.0,12
43,Gallego,ARG,0,0,3,0.0,0.0,3
43,Palonsky,ARG,0,2,35,0.0,0.0,37
43,Loser Bruno,ARG,0,0,13,0.0,0.0,13
43,Danani,ARG,0,0,70,0.0,0.0,70
43,Zelayeta,ARG,0,0,0,,,0
43,Armoa Morel,ARG,0,0,6,0.0,0.0,6
43,Lima B.,ARG,0,2,11,0.0,0.0,13
43,Kukartsev,ARG,0,1,5,0.0,0.0,6
43,Vicentin,ARG,0,0,20,0.0,0.0,20
43,Ramos,ARG,0,0,4,0.0,0.0,4
43,Zerba,ARG,0,0,7,0.0,0.0,7
43,Eshenko,CAN,0,0,4,0.0,0.0,4
43,Hoag,CAN,0,0,47,0.0,0.0,47
43,Hofer,CAN,0,1,10,0.0,0.0,11
43,Demyanenko,CAN,0,0,11,0.0,0.0,11
43,Sclater,CAN,0,0,15,0.0,0.0,15
43,Van Berkel,CAN,0,2,16,0.0,0.0,18
43,Szwarc,CAN,0,0,9,0.0,0.0,9
43,Schnitzer,CAN,0,0,1,0.0,0.0,1
43,Lui,CAN,0,0,7,0.0,0.0,7
43,Currie,CAN,0,0,22,0.0,0.0,22
43,M. Elser,CAN,0,0,4,0.0,0.0,4
43,Masso,CUB,0,0,8,0.0,0.0,8
