Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Ishikawa,JPN,60,12,41,20.0,53.1,113
2,Anderson,USA,46,9,29,15.33,54.76,84
3,Kaczmarek,POL,40,7,21,13.33,58.82,68
4,Śliwka,POL,37,7,18,12.33,59.68,62
5,Jaeschke,USA,33,11,27,11.0,46.48,71
5,Michieletto,ITA,33,8,26,11.0,49.25,67
6,Ran,JPN,32,15,24,10.67,45.07,71
7,Defalco,USA,31,12,20,10.33,49.21,63
8,Lavia,ITA,30,8,38,10.0,39.47,76
8,Leon,POL,30,8,24,10.0,48.39,62
9,Romanò,ITA,28,13,36,9.33,36.36,77
10,Miyaura,JPN,26,13,18,8.67,45.61,57
11,Russo,ITA,17,5,8,5.67,56.67,30
12,Onodera,JPN,15,0,17,5.0,46.88,32
13,Yamauchi,JPN,14,2,13,4.67,48.28,29
13,Bieniek,POL,14,2,8,4.67,58.33,24
13,Alan,BRA,14,5,10,14.0,48.28,29
14,Holt,USA,13,3,10,4.33,50.0,26
14,Patry,FRA,13,6,10,13.0,44.83,29
15,Galassi,ITA,12,1,10,4.0,52.17,23
15,Nishida,JPN,12,3,10,6.0,48.0,25
15,Urnaut,SLO,12,4,14,12.0,40.0,30
16,Smith,USA,11,0,10,3.67,52.38,21
16,Tillie,FRA,11,6,6,11.0,47.83,23
16,Le Goff,FRA,11,2,5,11.0,61.11,18
16,Pajenk,SLO,11,0,5,11.0,68.75,16
17,Chinenyeze,FRA,10,1,6,10.0,58.82,17
17,Giannelli,ITA,10,1,2,3.33,76.92,13
17,Huber,POL,10,1,3,3.33,71.43,14
18,Kochanowski,POL,9,0,5,3.0,64.29,14
18,Russell,USA,9,5,4,4.5,50.0,18
19,Čebulj,SLO,8,2,12,8.0,36.36,22
19,Možič,SLO,8,2,11,8.0,38.1,21
20,Loser Bruno,ARG,7,2,5,7.0,50.0,14
20,Fornal,POL,7,2,5,2.33,50.0,14
20,Lucarelli,BRA,7,4,9,7.0,35.0,20
21,Averill,USA,6,2,4,2.0,50.0,12
21,Clevenot,FRA,6,0,20,6.0,23.08,26
21,Kurek,POL,6,5,4,2.0,40.0,15
22,Muagututia,USA,5,1,6,1.67,41.67,12
22,Palonsky,ARG,5,2,8,5.0,33.33,15
22,Kukartsev,ARG,5,6,12,5.0,21.74,23
23,Boyer,FRA,4,1,10,4.0,26.67,15
23,Honorato,BRA,4,4,5,4.0,30.77,13
23,Flavio,BRA,4,1,2,4.0,57.14,7
24,Vicentin,ARG,3,3,7,3.0,23.08,13
