Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Ran,JPN,16,5,42,5.33,25.4,63
2,Balaso,ITA,15,3,35,5.0,28.3,53
2,Yamamoto,JPN,15,2,36,5.0,28.3,53
3,Defalco,USA,13,5,42,4.33,21.67,60
4,E. Shoji,USA,12,4,34,4.0,24.0,50
4,Lavia,ITA,12,7,35,4.0,22.22,54
4,Zatorski,POL,12,3,38,4.0,22.64,53
5,Jaeschke,USA,11,7,31,3.67,22.45,49
6,Ishikawa,JPN,10,3,65,3.33,12.82,78
7,Tillie,FRA,7,3,27,7.0,18.92,37
7,Leon,POL,7,5,41,2.33,13.21,53
7,Śliwka,POL,7,7,52,2.33,10.61,66
8,Grebennikov,FRA,6,1,14,6.0,28.57,21
8,Michieletto,ITA,6,2,60,2.0,8.82,68
9,Kovačič,SLO,5,1,4,5.0,50.0,10
9,Russell,USA,5,0,14,2.5,26.32,19
10,Danani,ARG,4,1,9,4.0,28.57,14
10,Čebulj,SLO,4,1,12,4.0,23.53,17
10,Honorato,BRA,4,3,10,4.0,23.53,17
11,Možič,SLO,3,0,6,3.0,33.33,9
11,Fornal,POL,3,1,11,1.0,20.0,15
12,Holt,USA,2,0,3,0.67,40.0,5
12,Muagututia,USA,2,0,8,0.67,20.0,10
12,Clevenot,FRA,2,1,24,2.0,7.41,27
12,Martinez Franchi,ARG,2,0,4,2.0,33.33,6
12,Vicentin,ARG,2,2,10,2.0,14.29,14
12,Onodera,JPN,2,0,2,0.67,50.0,4
12,Pajenk,SLO,2,0,3,2.0,40.0,5
12,Z. Štern,SLO,2,0,6,2.0,25.0,8
12,Urnaut,SLO,2,0,12,2.0,14.29,14
12,Thales,BRA,2,2,7,2.0,18.18,11
12,Lucarelli,BRA,2,3,16,2.0,9.52,21
13,Carle,FRA,1,0,0,1.0,100.0,1
13,Russo,ITA,1,0,6,0.33,14.29,7
13,Armoa Morel,ARG,1,0,6,1.0,14.29,7
13,Otsuka,JPN,1,1,8,0.33,10.0,10
13,Yamauchi,JPN,1,0,4,0.33,20.0,5
14,Anderson,USA,0,1,7,0.0,0.0,8
14,Jendryk,USA,0,0,0,,,0
14,Hanes,USA,0,0,0,,,0
14,Dagostino,USA,0,0,0,,,0
14,Christenson,USA,0,0,3,0.0,0.0,3
14,Ma'a,USA,0,0,0,,,0
14,Averill,USA,0,0,0,,,0
14,Smith,USA,0,0,2,0.0,0.0,2
14,Chinenyeze,FRA,0,0,0,,,0
14,Patry,FRA,0,0,0,,,0
14,Toniutti,FRA,0,0,0,,,0
14,Brizard,FRA,0,0,0,,,0
14,Boyer,FRA,0,0,1,0.0,0.0,1
14,Le Goff,FRA,0,0,0,,,0
14,Bultor,FRA,0,0,0,,,0
14,Louati,FRA,0,0,0,,,0
14,Diez,FRA,0,0,0,,,0
14,Jouffroy,FRA,0,0,0,,,0
14,Giannelli,ITA,0,0,2,0.0,0.0,2
14,Sbertoli,ITA,0,0,0,,,0
14,Scanferla,ITA,0,0,0,,,0
14,Bottolo,ITA,0,0,0,,,0
14,Galassi,ITA,0,0,1,0.0,0.0,1
14,Romanò,ITA,0,0,0,,,0
14,Gironi,ITA,0,0,0,,,0
14,Rinaldi,ITA,0,2,1,0.0,0.0,3
14,Sanguinetti,ITA,0,0,0,,,0
14,Mosca,ITA,0,0,0,,,0
14,Sanchez Pages,ARG,0,0,0,,,0
14,Gallego,ARG,0,0,0,,,0
14,Palonsky,ARG,0,1,19,0.0,0.0,20
14,Loser Bruno,ARG,0,0,2,0.0,0.0,2
14,Zelayeta,ARG,0,0,0,,,0
14,Lima B.,ARG,0,0,0,,,0
14,De Cecco,ARG,0,0,0,,,0
14,Kukartsev,ARG,0,0,0,,,0
14,Ramos,ARG,0,1,1,0.0,0.0,2
14,Zerba,ARG,0,0,0,,,0
14,Nishida,JPN,0,0,0,,,0
14,Miyaura,JPN,0,0,1,0.0,0.0,1
14,Sekita,JPN,0,0,1,0.0,0.0,1
14,Kentaro,JPN,0,0,0,,,0
14,Tomita,JPN,0,0,2,0.0,0.0,2
14,Ogawa,JPN,0,0,0,,,0
14,Nishiyama,JPN,0,0,0,,,0
14,Eiro,JPN,0,0,1,0.0,0.0,1
