Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
1,T. Štern,SLO,265,68,153,17.67,54.53,486
2,Nimir,NED,235,81,138,19.58,51.76,454
3,Maar,CAN,194,59,150,14.92,48.14,403
4,Čebulj,SLO,179,63,149,11.93,45.78,391
5,Yant,CUB,167,49,98,13.92,53.18,314
5,Amin,IRI,167,49,121,13.92,49.55,337
6,Patry,FRA,164,41,123,10.93,50.00,328
7,Loeppky,CAN,157,37,145,12.08,46.31,339
8,Nishida,JPN,156,41,88,10.40,54.74,285
9,Ishikawa,JPN,155,49,96,14.09,51.67,300
10,Lima B.,ARG,154,60,90,11.85,50.66,304
10,Lopez,CUB,154,54,94,12.83,50.99,302
11,Van Garderen,NED,146,54,125,12.17,44.92,325
12,Clevenot,FRA,142,29,93,10.14,53.79,264
13,Darlan,BRA,141,52,89,10.85,50.00,282
14,Luburić,SRB,139,37,74,11.58,55.60,250
15,Mandıracı,TUR,133,34,119,12.09,46.50,286
15,Urnaut,SLO,133,57,133,8.87,41.18,323
16,Szwarc,CAN,129,43,80,9.92,51.19,252
17,Louati,FRA,124,47,91,8.27,47.33,262
18,Palonsky,ARG,121,34,114,9.31,44.98,269
19,Lucarelli,BRA,114,30,83,10.36,50.22,227
20,Faure,FRA,109,21,69,7.27,54.77,199
20,Leal,BRA,109,28,74,9.91,51.66,211
21,Brand,GER,107,33,89,8.92,46.72,229
22,Facu,ARG,101,28,82,7.77,47.87,211
23,Karlitzek,GER,98,36,74,12.25,47.12,208
24,Concepcion,CUB,96,15,40,8.00,63.58,151
24,Defalco,USA,96,29,56,12.00,53.04,181
25,A. Lagumdzija,TUR,94,46,82,7.83,42.34,222
25,Michieletto,ITA,94,21,82,11.75,47.72,197
26,Gürbüz,TUR,93,31,86,7.75,44.29,210
26,Sánchez B.,CUB,93,30,69,7.75,48.44,192
27,Milad,IRI,92,46,101,7.67,38.49,239
28,Tatarov,BUL,88,36,96,7.33,40.00,220
29,Miyaura,JPN,87,42,80,5.80,41.63,209
30,Romanò,ITA,86,28,59,10.75,49.71,173
31,Ivović,SRB,85,38,50,7.08,49.13,173
32,Dimitrov,BUL,83,41,64,6.92,44.15,188
33,Alan,BRA,81,28,68,6.23,45.76,177
34,Reichert,GER,78,21,67,9.75,46.99,166
35,Pajenk,SLO,77,10,36,5.50,62.60,123
36,Loser Bruno,ARG,75,15,42,5.77,56.82,132
37,Asparuhov,BUL,74,37,88,6.17,37.19,199
37,Poriya,IRI,74,25,50,6.17,49.66,149
37,Kurek,POL,74,22,50,7.40,50.68,146
38,Kozamernik,SLO,73,18,32,4.87,59.35,123
39,Otsuka,JPN,70,28,79,5.38,39.55,177
39,Anderson,USA,70,18,97,8.75,37.84,185
40,Lavia,ITA,69,17,71,8.62,43.95,157
40,Kujundžić,SRB,69,17,46,5.75,52.27,132
41,Parkinson,NED,66,7,31,5.50,63.46,104
42,Bovolenta,ITA,65,22,44,5.00,49.62,131
42,Salehi,IRI,65,20,43,5.91,50.78,128
43,Bołądź,POL,63,17,27,6.30,58.88,107
43,Maase,GER,63,19,37,5.25,52.94,119
43,Leon,POL,63,7,35,9.00,60.00,105
44,Zerba,ARG,62,9,44,4.77,53.91,115
45,Tillie,FRA,61,23,60,4.07,42.36,144
45,Bednorz,POL,61,15,29,4.36,58.10,105
45,Porro L.,ITA,61,15,45,4.69,50.41,121
46,Semeniuk,POL,60,17,49,4.29,47.62,126
47,Le Goff,FRA,59,13,35,3.93,55.14,107
47,Lucas,BRA,59,14,32,5.36,56.19,105
47,Śliwka,POL,59,12,49,4.21,49.17,120
47,Morteza,IRI,59,28,33,5.36,49.17,120
47,Atanasijević,SRB,59,25,31,4.92,51.30,115
47,Fornal,POL,59,16,37,5.36,52.68,112
48,Grozdanov,BUL,58,16,36,4.83,52.73,110
48,Petkov,BUL,58,13,27,4.83,59.18,98
48,Simón,CUB,58,10,16,4.83,69.05,84
49,Onodera,JPN,57,10,29,3.80,59.38,96
49,Flavio,BRA,57,7,26,4.75,63.33,90
50,McCarthy,CAN,56,11,24,4.31,61.54,91
50,Kai,JPN,56,27,47,3.73,43.08,130
51,Perić,SRB,54,17,54,4.50,43.20,125
52,Kovačević,SRB,53,33,36,4.42,43.44,122
52,Ran,JPN,53,14,41,10.60,49.07,108
53,Bayram,TUR,52,21,55,4.33,40.62,128
53,Hanes,USA,52,13,30,7.43,54.74,95
53,Ewert,USA,52,22,60,6.50,38.81,134
53,Kochanowski,POL,52,5,19,3.47,68.42,76
53,Bottolo,ITA,52,16,31,10.40,52.53,99
54,Seddik,FRA,49,11,26,3.27,56.98,86
55,Yamauchi,JPN,48,9,31,3.20,54.55,88
55,Nedeljković,SRB,48,7,24,4.00,60.76,79
56,Van Berkel,CAN,46,2,20,3.54,67.65,68
56,Huber,POL,46,5,17,4.18,67.65,68
57,Bedirhan,TUR,45,7,30,3.75,54.88,82
57,Vicentin,ARG,45,24,56,3.46,36.00,125
57,Adriano,BRA,45,15,31,3.75,49.45,91
57,Mohammad,IRI,45,13,34,3.75,48.91,92
58,M. Lagumdzija,TUR,44,24,62,3.67,33.85,130
59,Grozer,GER,43,21,37,5.38,42.57,101
60,Karyagin,BUL,42,28,38,3.50,38.89,108
61,Masso,CUB,40,12,23,3.33,53.33,75
62,Galassi,ITA,38,2,20,4.75,63.33,60
62,Jaeschke,USA,38,6,29,9.50,52.05,73
63,Kukartsev,ARG,37,8,26,2.85,52.11,71
63,Russo,ITA,37,7,16,4.62,61.67,60
64,Wassenaar Ketrzynski,CAN,35,12,27,2.69,47.30,74
64,Holt,USA,35,5,21,5.00,57.38,61
65,John,GER,34,11,25,8.50,48.57,70
65,Krsmanović,SRB,34,4,14,2.83,65.38,52
65,Krick,GER,34,3,17,4.25,62.96,54
66,Kentaro,JPN,33,3,20,2.36,58.93,56
66,Krage,GER,33,4,11,2.75,68.75,48
67,Averill,USA,31,2,17,3.88,62.00,50
67,Antov,BUL,31,5,16,7.75,59.62,52
67,Bieniek,POL,31,0,18,5.17,63.27,49
68,Ter Horst,NED,30,8,31,7.50,43.48,69
68,Moslehabadi,IRI,30,9,10,2.73,61.22,49
69,Matić,TUR,29,2,11,2.42,69.05,42
70,Plak,NED,28,14,18,2.33,46.67,60
71,Tomita,JPN,27,18,39,2.08,32.14,84
72,S. Nikolov,BUL,26,11,22,2.17,44.07,59
