Rank,Player,Team,Points,Attack Points,Block Points,Serve Points
1,T. Štern,SLO,320,265,24,31
2,Nimir,NED,284,235,9,40
3,Maar,CAN,225,194,17,14
4,Čebulj,SLO,218,179,21,18
5,Yant,CUB,196,167,15,14
6,Patry,FRA,195,164,17,14
6,Amin,IRI,195,167,18,10
7,Lima B.,ARG,185,154,21,10
7,Nishida,JPN,185,156,10,19
8,Loeppky,CAN,180,157,11,12
9,Lopez,CUB,178,154,17,7
9,Ishikawa,JPN,178,155,13,10
10,Van Garderen,NED,170,146,15,9
10,Luburić,SRB,170,139,7,24
11,Mandıracı,TUR,167,133,20,14
12,Darlan,BRA,164,141,13,10
13,Clevenot,FRA,161,142,11,8
14,Szwarc,CAN,153,129,14,10
15,Urnaut,SLO,152,133,6,13
16,Louati,FRA,150,124,15,11
17,Palonsky,ARG,139,121,10,8
18,Lucarelli,BRA,137,114,10,13
19,Concepcion,CUB,127,96,24,7
20,Leal,BRA,125,109,8,8
21,Michieletto,ITA,123,94,15,14
22,Brand,GER,122,107,5,10
23,Facu,ARG,121,101,11,9
24,Faure,FRA,120,109,4,7
25,Loser Bruno,ARG,116,75,34,7
26,Gürbüz,TUR,114,93,11,10
27,Karlitzek,GER,113,98,7,8
28,Kozamernik,SLO,112,73,26,13
29,Milad,IRI,111,92,13,6
29,Defalco,USA,111,96,7,8
30,A. Lagumdzija,TUR,108,94,9,5
31,Alan,BRA,107,81,19,7
32,Tatarov,BUL,105,88,9,8
33,Romanò,ITA,104,86,10,8
34,Pajenk,SLO,103,77,16,10
35,Miyaura,JPN,101,87,2,12
36,Sánchez B.,CUB,98,93,2,3
37,Le Goff,FRA,95,59,34,2
38,Grozdanov,BUL,93,58,29,6
38,Ivović,SRB,93,85,4,4
39,Asparuhov,BUL,92,74,9,9
39,Zerba,ARG,92,62,30,0
39,Simón,CUB,92,58,22,12
40,Dimitrov,BUL,91,83,4,4
40,Flavio,BRA,91,57,33,1
41,McCarthy,CAN,89,56,25,8
41,Maase,GER,89,63,18,8
42,Parkinson,NED,86,66,19,1
42,Kochanowski,POL,86,52,21,13
43,Reichert,GER,84,78,3,3
43,Kujundžić,SRB,84,69,6,9
43,Kurek,POL,84,74,6,4
43,Anderson,USA,84,70,7,7
44,Poriya,IRI,83,74,5,4
45,Onodera,JPN,82,57,19,6
45,Fornal,POL,82,59,15,8
46,Leon,POL,80,63,7,10
47,Otsuka,JPN,79,70,2,7
47,Lucas,BRA,79,59,11,9
47,Lavia,ITA,79,69,5,5
48,Petkov,BUL,77,58,10,9
49,Seddik,FRA,76,49,20,7
49,Bołądź,POL,76,63,1,12
49,Salehi,IRI,76,65,7,4
50,Bednorz,POL,74,61,10,3
51,Morteza,IRI,73,59,7,7
52,Tillie,FRA,71,61,7,3
53,Bovolenta,ITA,70,65,3,2
54,Bedirhan,TUR,69,45,16,8
54,Śliwka,POL,69,59,6,4
54,Semeniuk,POL,69,60,4,5
55,Mohammad,IRI,68,45,17,6
55,Perić,SRB,68,54,5,9
56,Porro L.,ITA,67,61,2,4
57,Bayram,TUR,66,52,4,10
57,Atanasijević,SRB,66,59,1,6
57,Nedeljković,SRB,66,48,13,5
58,Yamauchi,JPN,65,48,13,4
58,Kai,JPN,65,56,1,8
59,Van Berkel,CAN,64,46,18,0
60,Vicentin,ARG,62,45,9,8
61,Ewert,USA,61,52,4,5
61,Kovačević,SRB,61,53,5,3
62,Huber,POL,60,46,9,5
63,Hanes,USA,59,52,4,3
63,Galassi,ITA,59,38,19,2
63,Russo,ITA,59,37,18,4
63,Ran,JPN,59,53,3,3
63,Bottolo,ITA,59,52,2,5
64,M. Lagumdzija,TUR,57,44,9,4
65,S. Nikolov,BUL,55,26,16,13
65,Plak,NED,55,28,20,7
66,Podraščanin,ITA,54,26,26,2
67,Moslehabadi,IRI,52,30,15,7
68,Grozer,GER,50,43,3,4
68,Holt,USA,50,35,13,2
69,Karyagin,BUL,48,42,6,0
69,Masso,CUB,48,40,6,2
70,Adriano,BRA,47,45,0,2
71,Kentaro,JPN,46,33,11,2
72,Krick,GER,43,34,8,1
72,Jaeschke,USA,43,38,1,4
73,Matić,TUR,42,29,12,1
73,Kukartsev,ARG,42,37,4,1
73,Bieniek,POL,42,31,7,4
74,Krage,GER,41,33,7,1
75,Wassenaar Ketrzynski,CAN,40,35,2,3
75,Giannelli,ITA,40,21,12,7
75,Averill,USA,40,31,9,0
76,Mosca,ITA,39,25,11,3
77,Ter Horst,NED,38,30,4,4
77,Krsmanović,SRB,38,34,4,0
78,John,GER,37,34,1,2
79,Thondike,CUB,36,12,21,3
80,Tomita,JPN,35,27,3,5
80,Kaczmarek,POL,35,25,8,2
81,Güneş,TUR,33,20,12,1
81,Mergarejo,CUB,33,23,5,5
81,Jelveh,IRI,33,23,7,3
81,Antov,BUL,33,31,0,2
82,Ter Maat,NED,32,25,3,4
83,Poręba,POL,31,21,10,0
83,Fromm,GER,31,25,2,4
84,Eshenko,CAN,30,21,7,2
84,Isac,BRA,30,23,3,4
84,Ropret,SLO,30,6,6,18
84,Böhme,GER,30,25,4,1
84,L. Bergmann,BRA,30,25,2,3
84,Jendryk,USA,30,21,8,1
84,Jorna,NED,30,23,5,2
85,Knigge,USA,29,20,3,6
85,Sanguinetti,ITA,29,23,4,2
85,Schott,GER,29,24,1,4
85,Russell,USA,29,25,3,1
86,Carle,FRA,28,26,2,0
87,Ramos,ARG,27,23,2,2
87,Mašulović N.,SRB,27,18,7,2
87,Ensing,USA,27,21,4,2
88,Ngapeth,FRA,26,18,5,3
88,Brizard,FRA,26,9,7,10
88,Bultor,FRA,26,19,4,3
88,Demyanenko,CAN,26,18,7,1
88,Jouffroy,FRA,26,14,7,5
88,Brehme,GER,26,24,2,0
89,Mauricio,BRA,25,19,3,3
89,Gasman,USA,25,17,5,3
90,De Cecco,ARG,24,11,9,4
91,Muagututia,USA,23,18,1,4
92,Keemink,NED,22,5,10,7
92,Judson,BRA,22,13,7,2
93,Koops,NED,21,10,3,8
93,Štalekar,SLO,21,14,5,2
93,Kessel,USA,21,17,4,0
94,Palacios,ARG,20,15,1,4
94,Garcia,USA,20,16,2,2
94,Szalpuk,POL,20,18,1,1
94,Kłos,POL,20,13,6,1
95,Herr,CAN,19,1,10,8
95,Gironi,ITA,19,18,0,1
96,Larry,JPN,18,15,3,0
96,Wiltenburg,NED,18,6,7,5
96,Butryn,POL,18,16,2,0
96,Anzani,ITA,18,16,1,1
97,Chinenyeze,FRA,17,13,2,2
97,Hoag,CAN,17,12,0,5
97,Martinez Franchi,ARG,17,17,0,0
97,Vadi,IRI,17,8,8,1
98,Jovović,SRB,16,6,8,2
98,Janusz,POL,16,1,14,1
99,Recine,ITA,15,12,1,2
99,Christenson,USA,15,8,6,1
100,Savaş,TUR,14,8,6,0
100,Yenipazar,TUR,14,6,3,5
100,Champlin,USA,14,11,0,3
100,Smith,USA,14,9,5,0
101,Bračko,SLO,12,11,0,1
101,Barbast,IRI,12,12,0,0
101,Ahyi,NED,12,12,0,0
102,Valchinov,BUL,11,10,1,0
102,Subaşı,TUR,11,8,1,2
103,Adamczyk,POL,9,4,2,3
103,Kampa,GER,9,3,1,5
104,Toniutti,FRA,8,0,3,5
104,Ekşi,TUR,8,4,3,1
104,Sekita,JPN,8,1,3,4
104,Van Der Ent,NED,8,5,2,1
104,Aydin,TUR,8,6,1,1
105,Kolev,BUL,7,6,0,1
105,Fernando,BRA,7,1,4,2
105,Jakubiszak,POL,7,4,2,1
105,Nasri,IRI,7,5,1,1
105,Tille,GER,7,2,0,5
105,Možič,SLO,7,7,0,0
106,Garkov,BUL,6,6,0,0
106,Alonso,CUB,6,3,3,0
106,Kaliberda,GER,6,6,0,0
106,Hofer,CAN,6,0,0,6
107,Nachev,BUL,5,5,0,0
107,Isaacson,USA,5,2,2,1
107,Marshman,USA,5,4,0,1
107,Sbertoli,ITA,5,1,1,3
108,Fukatsu,JPN,4,1,2,1
108,Komenda,POL,4,0,4,0
108,Zimmermann,GER,4,1,2,1
108,Todorović,SRB,4,0,4,0
109,Mujanović,SLO,3,1,2,0
109,Łomacz,POL,3,2,0,1
109,Peter,GER,3,2,0,1
109,Petrov,BUL,3,2,0,1
109,Caneschi,ITA,3,3,0,0
110,Gallego,ARG,2,1,1,0
110,Wetter,USA,2,1,1,0
110,Firlej,POL,2,1,1,0
110,Stankov,BUL,2,2,0,0
110,Esfandiar,IRI,2,2,0,0
110,Ma'a,USA,2,0,1,1
111,Walsh,CAN,1,0,1,0
111,Barnes,CAN,1,1,0,0
111,Sanchez Pages,ARG,1,0,1,0
111,Takanashi,JPN,1,1,0,0
111,Camino,CUB,1,1,0,0
111,Charles,CUB,1,0,0,1
111,Bruno,BRA,1,0,1,0
111,Z. Štern,SLO,1,1,0,0
111,Tuaniga,USA,1,1,0,0
111,Wildman,USA,1,1,0,0
111,Bostan,TUR,1,0,1,0
111,Meijs,NED,1,0,0,1
111,Arshia,IRI,1,1,0,0
112,Bozhilov,BUL,0,0,0,0
112,D. Kolev,BUL,0,0,0,0
112,Telkiyski,BUL,0,0,0,0
112,Grebennikov,FRA,0,0,0,0
112,Diez,FRA,0,0,0,0
112,Döne,TUR,0,0,0,0
112,Hatipoğlu,TUR,0,0,0,0
112,Lui,CAN,0,0,0,0
112,Currie,CAN,0,0,0,0
112,Danani,ARG,0,0,0,0
112,Ogawa,JPN,0,0,0,0
112,Yamamoto,JPN,0,0,0,0
112,Garcia,CUB,0,0,0,0
112,Taboada,CUB,0,0,0,0
112,Gorguet,CUB,0,0,0,0
112,Honorato,BRA,0,0,0,0
112,Thales,BRA,0,0,0,0
112,Arthur,BRA,0,0,0,0
112,Klok,NED,0,0,0,0
112,Andringa,NED,0,0,0,0
112,De Weijer,NED,0,0,0,0
112,Bak,NED,0,0,0,0
112,Toman,SLO,0,0,0,0
112,Vinčić,SLO,0,0,0,0
112,Kovačič,SLO,0,0,0,0
112,Kržič,SLO,0,0,0,0
112,Dagostino,USA,0,0,0,0
112,Briggs,USA,0,0,0,0
112,Hawryluk,POL,0,0,0,0
112,Szymura,POL,0,0,0,0
112,Graven,GER,0,0,0,0
112,Kunstmann,GER,0,0,0,0
112,Goralik,GER,0,0,0,0
112,Burggräf,GER,0,0,0,0
112,Balaso,ITA,0,0,0,0
112,Laurenzano,ITA,0,0,0,0
112,Hazrat,IRI,0,0,0,0
112,Javad,IRI,0,0,0,0
112,Arman,IRI,0,0,0,0
112,Kapur,SRB,0,0,0,0
112,Ristić,SRB,0,0,0,0
112,Marovt,SLO,0,0,0,0
112,Popiwczak,POL,0,0,0,0
112,Kartev,BUL,0,0,0,0
112,E. Shoji,USA,0,0,0,0
112,Matheus G.,BRA,0,0,0,0
112,Sadati,IRI,0,0,0,0
112,Oya,JPN,0,0,0,0
112,Dobrev,BUL,0,0,0,0
112,Bardarov,BUL,0,0,0,0
112,Planinšič,SLO,0,0,0,0
112,Zenger,GER,0,0,0,0
112,Porro P.,ITA,0,0,0,0
112,Cortesia,ITA,0,0,0,0
112,Rinaldi,ITA,0,0,0,0
112,Gaggini,ITA,0,0,0,0
112,Zatorski,POL,0,0,0,0
112,Falaschi,ITA,0,0,0,0
112,Gardini,ITA,0,0,0,0
112,Aslan,TUR,0,0,0,0
112,Schnitzer,CAN,0,0,0,0
