Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Yant,CUB,57,10,20,14.25,65.52,87
1,Michieletto,ITA,57,8,38,14.25,55.34,103
2,Lavia,ITA,54,8,20,13.5,65.85,82
3,Lopez,CUB,51,5,25,12.75,62.96,81
4,Wallace,BRA,43,6,27,10.75,56.58,76
5,Kaziyski,BUL,37,5,30,9.25,51.39,72
6,Gasman,USA,36,9,12,9.0,63.16,57
6,Garcia,USA,36,11,17,9.0,56.25,64
7,Matheus Krauchuk,BRA,33,12,33,8.25,42.31,78
7,Lucarelli,BRA,33,7,28,8.25,48.53,68
8,Simón,CUB,32,4,7,8.0,74.42,43
9,Yudi,BRA,31,15,38,7.75,36.9,84
10,Rodriguinho,BRA,27,12,18,6.75,47.37,57
11,Brito,BRA,26,4,16,6.5,56.52,46
12,Gabriel,BRA,25,13,28,6.25,37.88,66
13,Isac,BRA,20,3,10,5.0,60.61,33
13,Lisinac,SRB,20,4,16,5.0,50.0,40
14,Melgarejo,ARG,19,6,10,9.5,54.29,35
15,Otávio,BRA,18,5,7,4.5,60.0,30
15,Anzani,ITA,18,2,9,4.5,62.07,29
16,Armoa Morel,ARG,16,15,16,8.0,34.04,47
16,Flores,ARG,16,3,6,8.0,64.0,25
17,Esfandiar,IRI,15,9,11,7.5,42.86,35
18,Igor,BRA,13,8,14,6.5,37.14,35
18,Zaytsev,ITA,13,4,6,3.25,56.52,23
19,Podraščanin,ITA,12,3,11,3.0,46.15,26
20,Fabio,BRA,11,5,14,2.75,36.67,30
20,A. Tashakori,IRI,11,3,4,5.5,61.11,18
21,Daneshdoust,IRI,9,1,6,4.5,56.25,16
22,Jelveh,IRI,8,0,3,4.0,72.73,11
23,Blagojevic,SRB,7,5,7,3.5,36.84,19
23,Diamantini,ITA,7,1,6,1.75,50.0,14
24,Jailton,BRA,5,2,1,2.5,62.5,8
25,M. Radke,BRA,4,1,5,1.0,40.0,10
25,Caceres,ARG,4,2,2,2.0,50.0,8
25,Jaraba J,COL,4,1,0,2.0,80.0,5
26,Riad,BRA,3,1,4,0.75,37.5,8
26,De Cecco,ARG,3,1,3,0.75,42.86,7
27,Reza,IRI,2,0,3,1.0,40.0,5
27,A.Behbodi,IRI,2,0,1,1.0,66.67,3
27,Sbertoli,ITA,2,0,2,0.5,50.0,4
28,Gallardo,ARG,1,1,2,0.5,25.0,4
28,Salvo,ARG,1,0,2,0.5,33.33,3
28,Sahand,IRI,1,1,0,0.5,50.0,2
28,M. Sadeghi,IRI,1,1,3,0.5,20.0,5
28,Fernando,BRA,1,1,1,0.25,33.33,3
28,D'heer,BEL,1,0,0,0.25,100.0,1
29,Andre,BRA,0,0,0,,,0
29,Joao Gabriel,BRA,0,0,0,,,0
29,Gabriel,BRA,0,0,0,,,0
29,Thales,BRA,0,0,0,,,0
29,Roque,BRA,0,0,0,,,0
29,Symon,BRA,0,0,0,,,0
29,Olivieri,ARG,0,0,0,,,0
29,Ibazeta,ARG,0,0,0,,,0
29,Bozikovich,ARG,0,0,0,,,0
29,Brajkovic,ARG,0,0,1,0.0,0.0,1
29,Perren,ARG,0,0,0,,,0
29,AmirHossein,IRI,0,0,0,,,0
29,R.Shahsavari,IRI,0,0,0,,,0
29,M. Gholizad,IRI,0,1,4,0.0,0.0,5
29,M.Heydari,IRI,0,0,0,,,0
29,Oppenkoski,BRA,0,0,0,,,0
29,Lukinha,BRA,0,0,0,,,0
29,Lucas Loh,BRA,0,0,0,,,0
29,Rech,BRA,0,0,0,,,0
29,C. Souza,BRA,0,0,0,,,0
29,Bauer,BRA,0,0,0,,,0
29,Resley,BRA,0,0,0,,,0
29,Matias,BRA,0,0,0,,,0
29,Kovar,ITA,0,0,1,0.0,0.0,1
29,Sottile,ITA,0,0,1,0.0,0.0,1
29,Marchisio,ITA,0,0,0,,,0
29,Juantorena,ITA,0,0,0,,,0
29,Jeroncic,ITA,0,0,0,,,0
29,Balaso,ITA,0,0,0,,,0
29,Cavuto,ITA,0,0,0,,,0
29,Pinali,ITA,0,0,1,0.0,0.0,1
29,Albergati,ITA,0,0,0,,,0
29,Zenger,GER,0,0,0,,,0
29,Sperotto,ITA,0,0,0,,,0
29,De Angelis,ITA,0,0,0,,,0
