web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742825787-1","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","1","Balaso","ITA","28","5","6","7.00","71.79","39"
"1742825787-2","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","2","Zenger","GER","17","11","10","4.25","44.74","38"
"1742825787-3","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","3","Thales","BRA","16","9","20","4.00","35.56","45"
"1742825787-4","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","4","Lukinha","BRA","14","6","11","3.50","45.16","31"
"1742825787-5","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","5","Michieletto","ITA","12","6","9","3.00","44.44","27"
"1742825787-6","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","6","Wallace","BRA","11","5","11","2.75","40.74","27"
"1742825787-7","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","6","Rodriguinho","BRA","11","2","7","2.75","55.00","20"
"1742825787-8","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","6","Isac","BRA","11","2","1","2.75","78.57","14"
"1742825787-9","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","6","Yant","CUB","11","3","4","2.75","61.11","18"
"1742825787-10","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","7","Yudi","BRA","10","10","8","2.50","35.71","28"
"1742825787-11","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","7","Lavia","ITA","10","4","6","2.50","50.00","20"
"1742825787-12","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","8","Perren","ARG","8","10","7","4.00","32.00","25"
"1742825787-13","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-diggers/","8","Sbertoli","ITA","8","11","2","2.00","38.10","21"
