web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742825906-1","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","1","Yudi","BRA","34","4","84","8.50","27.87","122"
"1742825906-2","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","2","Lucarelli","BRA","26","0","52","6.50","33.33","78"
"1742825906-3","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","2","Zenger","GER","26","7","54","6.50","29.89","87"
"1742825906-4","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","3","Thales","BRA","25","3","43","6.25","35.21","71"
"1742825906-5","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","3","Rodriguinho","BRA","25","2","34","6.25","40.98","61"
"1742825906-6","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","3","Balaso","ITA","25","0","52","6.25","32.47","77"
"1742825906-7","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","4","Lukinha","BRA","23","1","34","5.75","39.66","58"
"1742825906-8","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","5","Michieletto","ITA","18","1","36","4.50","32.73","55"
"1742825906-9","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","6","Melgarejo","ARG","16","1","33","8.00","32.00","50"
"1742825906-10","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","6","Perren","ARG","16","2","28","8.00","34.78","46"
"1742825906-11","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2021/statistics/best-receivers/","7","Lavia","ITA","14","2","34","3.50","28.00","50"
