Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Matheus,BRA,9,2,4,2.25,46.67,15
1,Podraščanin,ITA,9,0,7,2.25,56.25,16
1,Flavio,BRA,9,0,6,2.25,60.0,15
2,Lucas,BRA,8,0,3,2.0,72.73,11
2,Russo,ITA,8,0,10,2.0,44.44,18
3,Lavia,ITA,6,0,4,1.5,60.0,10
4,Honorato,BRA,5,0,1,1.25,83.33,6
4,Uriarte,ARG,5,0,5,1.25,50.0,10
4,Michieletto,ITA,5,0,2,1.25,71.43,7
4,Lisinac,SRB,5,0,9,1.25,35.71,14
4,Sole,ITA,5,0,5,1.25,50.0,10
5,Amin,IRI,4,0,1,2.0,80.0,5
5,Otávio,BRA,4,0,5,1.0,44.44,9
5,Giannelli,ITA,4,0,1,1.0,80.0,5
6,Kelvi,BRA,3,0,1,0.75,75.0,4
6,Vissotto,BRA,3,0,2,0.75,60.0,5
6,Sbertoli,ITA,3,0,0,0.75,100.0,3
6,Herrera,CUB,3,0,1,0.75,75.0,4
6,Semeniuk,POL,3,0,0,0.75,100.0,3
6,Plotnytskyi,UKR,3,0,0,0.75,100.0,3
7,Juninho,BRA,2,0,1,0.5,66.67,3
7,Marcus,BRA,2,0,1,0.5,66.67,3
7,Fallah,IRI,2,0,4,1.0,33.33,6
7,A. Afshinfar,IRI,2,1,3,1.0,16.67,6
7,Vadi,IRI,2,0,2,1.0,50.0,4
7,Guilherme,BRA,2,0,0,0.5,100.0,2
7,C. Souza,BRA,2,0,0,0.5,100.0,2
7,Rodriguinho,BRA,2,0,1,0.5,66.67,3
7,Vaccari,BRA,2,0,4,0.5,33.33,6
7,Barreto,BRA,2,0,0,1.0,100.0,2
7,Roque,BRA,2,0,0,1.0,100.0,2
7,Lucas,BRA,2,0,2,1.0,50.0,4
7,Kaziyski,BUL,2,0,1,0.5,66.67,3
7,Leon,POL,2,0,3,0.5,40.0,5
8,Resley,BRA,1,0,0,0.25,100.0,1
8,William,BRA,1,0,2,0.25,33.33,3
8,Arthur,BRA,1,0,0,0.25,100.0,1
8,Amir Reza,IRI,1,0,3,0.5,25.0,4
8,A. Tashakori,IRI,1,0,2,0.5,33.33,3
8,Wallace,BRA,1,0,1,0.25,50.0,2
8,Lopez,CUB,1,0,0,0.25,100.0,1
8,Lucas Borges,BRA,1,0,0,0.5,100.0,1
8,Nicolas,ARG,1,0,1,0.5,50.0,2
8,Rychlicki,ITA,1,0,1,0.25,50.0,2
9,Estrada,FIV,0,0,0,,,0
9,Paulo,BRA,0,0,1,0.0,0.0,1
9,Henrique,BRA,0,0,0,,,0
9,Maique,BRA,0,0,0,,,0
9,André S.,BRA,0,0,0,,,0
9,Saberi,IRI,0,0,0,,,0
9,H. Zarini,IRI,0,0,0,,,0
9,Hazrat,IRI,0,0,0,,,0
9,A. Shafiei,IRI,0,0,0,,,0
9,Mashhadi,IRI,0,0,1,0.0,0.0,1
9,R. Aslani,IRI,0,0,0,,,0
9,P. Fayazi,IRI,0,0,0,,,0
9,Reza,IRI,0,0,0,,,0
9,Oppenkoski,BRA,0,0,0,,,0
9,Lukinha,BRA,0,0,0,,,0
9,Bauer,BRA,0,0,0,,,0
9,Rodrigo,BRA,0,0,0,,,0
9,Carlos,BRA,0,0,0,,,0
9,Bryan,BRA,0,0,0,,,0
9,Samuel,BRA,0,0,0,,,0
9,Adriano,BRA,0,0,0,,,0
9,Everaldo,BRA,0,0,0,,,0
9,Gonzalez,ARG,0,0,1,0.0,0.0,1
9,Franck,BRA,0,0,0,,,0
9,Lima,BRA,0,0,0,,,0
9,Brito,BRA,0,0,0,,,0
9,Alexandre,BRA,0,0,0,,,0
9,Nelli,ITA,0,0,0,,,0
9,D'heer,BEL,0,0,0,,,0
9,Dzavoronok,CZE,0,0,0,,,0
9,Cavuto,ITA,0,0,0,,,0
9,Pace,ITA,0,0,0,,,0
9,Berger,ITA,0,0,0,,,0
9,Depalma,ITA,0,0,0,,,0
9,Laurenzano,ITA,0,0,0,,,0
9,Piccinelli,ITA,0,0,0,,,0
9,Colaci,ITA,0,0,0,,,0
9,Ropret,SLO,0,0,0,,,0
9,Cardenas,CUB,0,0,0,,,0
9,Mengozzi,ITA,0,0,0,,,0
