Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Maique,BRA,20,0,2,5.0,90.91,22
1,Laurenzano,ITA,20,0,0,5.0,100.0,20
2,Lukinha,BRA,18,0,1,4.5,94.74,19
3,Colaci,ITA,15,0,0,3.75,100.0,15
4,William,BRA,14,0,1,3.5,93.33,15
5,Sbertoli,ITA,13,0,1,3.25,92.86,14
6,Vaccari,BRA,12,0,1,3.0,92.31,13
6,Kaziyski,BUL,12,0,0,3.0,100.0,12
7,Hazrat,IRI,11,0,1,5.5,91.67,12
7,Giannelli,ITA,11,0,0,2.75,100.0,11
8,P. Fayazi,IRI,9,0,0,4.5,100.0,9
8,Alexandre,BRA,9,0,0,4.5,100.0,9
9,Lopez,CUB,7,0,2,1.75,77.78,9
10,Vissotto,BRA,6,0,1,1.5,85.71,7
10,Arthur,BRA,6,0,0,1.5,100.0,6
10,Vadi,IRI,6,0,0,3.0,100.0,6
10,Uriarte,ARG,6,0,0,1.5,100.0,6
10,Rodriguinho,BRA,6,0,0,1.5,100.0,6
10,Michieletto,ITA,6,0,0,1.5,100.0,6
11,Estrada,FIV,5,0,0,1.25,100.0,5
11,Honorato,BRA,5,0,0,1.25,100.0,5
11,Gonzalez,ARG,5,0,2,2.5,71.43,7
11,Leon,POL,5,0,0,1.25,100.0,5
12,Amin,IRI,4,0,1,2.0,80.0,5
12,Wallace,BRA,4,0,1,1.0,80.0,5
12,Lavia,ITA,4,0,0,1.0,100.0,4
12,Semeniuk,POL,4,0,0,1.0,100.0,4
12,Plotnytskyi,UKR,4,0,0,1.0,100.0,4
13,Matheus,BRA,3,0,0,0.75,100.0,3
13,Marcus,BRA,3,0,0,0.75,100.0,3
13,A. Tashakori,IRI,3,0,1,1.5,75.0,4
13,Otávio,BRA,3,0,1,0.75,75.0,4
13,Lucas,BRA,3,0,0,1.5,100.0,3
13,Rychlicki,ITA,3,0,1,0.75,75.0,4
14,Resley,BRA,2,0,0,0.5,100.0,2
14,Adriano,BRA,2,0,1,1.0,66.67,3
14,Roque,BRA,2,0,0,1.0,100.0,2
14,Herrera,CUB,2,0,0,0.5,100.0,2
15,Paulo,BRA,1,0,0,0.25,100.0,1
15,Juninho,BRA,1,0,0,0.25,100.0,1
15,Amir Reza,IRI,1,0,0,0.5,100.0,1
15,Fallah,IRI,1,0,0,0.5,100.0,1
15,H. Zarini,IRI,1,0,1,0.5,50.0,2
15,A. Afshinfar,IRI,1,0,0,0.5,100.0,1
15,Mashhadi,IRI,1,0,1,0.5,50.0,2
15,Rodrigo,BRA,1,0,0,0.25,100.0,1
15,Lucas Borges,BRA,1,0,1,0.5,50.0,2
15,Nelli,ITA,1,0,0,0.25,100.0,1
15,Lisinac,SRB,1,0,0,0.25,100.0,1
15,Russo,ITA,1,0,0,0.25,100.0,1
15,Flavio,BRA,1,0,0,0.25,100.0,1
16,Kelvi,BRA,0,0,1,0.0,0.0,1
16,Henrique,BRA,0,0,0,,,0
16,André S.,BRA,0,0,0,,,0
16,Saberi,IRI,0,0,0,,,0
16,A. Shafiei,IRI,0,0,0,,,0
16,R. Aslani,IRI,0,0,0,,,0
16,Reza,IRI,0,0,0,,,0
16,Oppenkoski,BRA,0,0,0,,,0
16,Guilherme,BRA,0,0,0,,,0
16,Bauer,BRA,0,0,0,,,0
16,C. Souza,BRA,0,0,0,,,0
16,Lucas,BRA,0,0,0,,,0
16,Carlos,BRA,0,0,0,,,0
16,Bryan,BRA,0,0,0,,,0
16,Samuel,BRA,0,0,0,,,0
16,Everaldo,BRA,0,0,0,,,0
16,Nicolas,ARG,0,0,0,,,0
16,Franck,BRA,0,0,0,,,0
16,Lima,BRA,0,0,0,,,0
16,Barreto,BRA,0,0,0,,,0
16,Brito,BRA,0,0,0,,,0
16,D'heer,BEL,0,0,0,,,0
16,Dzavoronok,CZE,0,0,0,,,0
16,Cavuto,ITA,0,0,0,,,0
16,Pace,ITA,0,0,0,,,0
16,Berger,ITA,0,0,0,,,0
16,Depalma,ITA,0,0,0,,,0
16,Podraščanin,ITA,0,0,1,0.0,0.0,1
16,Piccinelli,ITA,0,0,0,,,0
16,Sole,ITA,0,0,0,,,0
16,Ropret,SLO,0,0,0,,,0
16,Cardenas,CUB,0,0,0,,,0
16,Mengozzi,ITA,0,0,0,,,0
