Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Michieletto,ITA,61,45,5,11
2,Kaziyski,BUL,58,48,2,8
3,Wallace,BRA,57,55,1,1
4,Lavia,ITA,46,37,6,3
5,Amin,IRI,43,37,4,2
6,Vissotto,BRA,42,35,3,4
7,Leon,POL,41,33,2,6
8,Estrada,FIV,39,38,0,1
9,Semeniuk,POL,36,27,3,6
10,Lopez,CUB,35,30,1,4
10,Podraščanin,ITA,35,20,9,6
11,Matheus,BRA,30,21,9,0
11,Vaccari,BRA,30,27,2,1
11,Lisinac,SRB,30,23,5,2
12,Lucas,BRA,29,18,8,3
12,Herrera,CUB,29,24,3,2
13,Plotnytskyi,UKR,28,19,3,6
14,Rychlicki,ITA,27,24,1,2
14,Flavio,BRA,27,16,9,2
15,Otávio,BRA,26,20,4,2
16,Russo,ITA,25,14,8,3
17,P. Fayazi,IRI,21,21,0,0
18,Juninho,BRA,20,17,2,1
19,Giannelli,ITA,19,10,4,5
19,Sole,ITA,19,13,5,1
20,Honorato,BRA,18,10,5,3
20,Arthur,BRA,18,15,1,2
21,Adriano,BRA,15,15,0,0
22,Nicolas,ARG,14,12,1,1
23,Kelvi,BRA,13,6,3,4
23,Paulo,BRA,13,10,0,3
23,Rodriguinho,BRA,13,8,2,3
24,A. Tashakori,IRI,12,11,1,0
24,Lucas Borges,BRA,12,11,1,0
24,Roque,BRA,12,8,2,2
25,A. Afshinfar,IRI,11,9,2,0
25,Oppenkoski,BRA,11,9,0,2
25,Barreto,BRA,11,9,2,0
26,Mashhadi,IRI,9,9,0,0
27,Lucas,BRA,8,5,2,1
28,Amir Reza,IRI,7,5,1,1
28,Sbertoli,ITA,7,2,3,2
29,Marcus,BRA,6,4,2,0
30,Fallah,IRI,5,3,2,0
30,Uriarte,ARG,5,0,5,0
31,William,BRA,4,1,1,2
31,André S.,BRA,4,3,0,1
31,Vadi,IRI,4,2,2,0
31,Franck,BRA,4,4,0,0
31,Dzavoronok,CZE,4,4,0,0
32,Resley,BRA,3,1,1,1
32,H. Zarini,IRI,3,3,0,0
32,C. Souza,BRA,3,1,2,0
33,Guilherme,BRA,2,0,2,0
33,Cardenas,CUB,2,0,0,2
34,Saberi,IRI,1,0,0,1
34,Reza,IRI,1,1,0,0
34,Carlos,BRA,1,1,0,0
34,Gonzalez,ARG,1,1,0,0
35,Henrique,BRA,0,0,0,0
35,Maique,BRA,0,0,0,0
35,Hazrat,IRI,0,0,0,0
35,A. Shafiei,IRI,0,0,0,0
35,R. Aslani,IRI,0,0,0,0
35,Lukinha,BRA,0,0,0,0
35,Bauer,BRA,0,0,0,0
35,Rodrigo,BRA,0,0,0,0
35,Bryan,BRA,0,0,0,0
35,Samuel,BRA,0,0,0,0
35,Everaldo,BRA,0,0,0,0
35,Lima,BRA,0,0,0,0
35,Brito,BRA,0,0,0,0
35,Alexandre,BRA,0,0,0,0
35,Nelli,ITA,0,0,0,0
35,D'heer,BEL,0,0,0,0
35,Cavuto,ITA,0,0,0,0
35,Pace,ITA,0,0,0,0
35,Berger,ITA,0,0,0,0
35,Depalma,ITA,0,0,0,0
35,Laurenzano,ITA,0,0,0,0
35,Piccinelli,ITA,0,0,0,0
35,Colaci,ITA,0,0,0,0
35,Ropret,SLO,0,0,0,0
35,Mengozzi,ITA,0,0,0,0
