web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1742890715-1","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","1","Sole","ITA","12","13","10","3.00","-2.86","35"
"1742890715-2","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","2","Flavio","BRA","10","8","10","2.50","7.14","28"
"1742890715-3","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","3","Muserskiy","RUS","7","5","17","1.75","6.90","29"
"1742890715-4","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","4","Matić","TUR","6","8","6","1.50","-10.00","20"
"1742890715-5","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","4","Ma'a","USA","6","10","8","1.50","-16.67","24"
"1742890715-6","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","4","Manoj","IND","6","7","1","3.00","-7.14","14"
"1742890715-7","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","4","Giannelli","ITA","6","6","7","1.50","0.00","19"
"1742890715-8","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","5","Ngapeth","FRA","5","10","4","1.25","-26.32","19"
"1742890715-9","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","5","Onodera","JPN","5","22","14","1.25","-41.46","41"
"1742890715-10","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","5","De Armas","CUB","5","10","5","1.25","-25.00","20"
"1742890715-11","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","5","K・Fujinaka","JPN","5","11","8","1.25","-25.00","24"
"1742890715-12","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","5","Sato","JPN","5","26","5","1.25","-58.33","36"
"1742890715-13","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/2023/statistics/best-blockers/","6","Doğukan U.","TUR","4","16","12","1.00","-37.50","32"
