Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Soshi,JPN,42,4,66,10.5,37.5,112
2,Döne,TUR,34,4,47,8.5,40.0,85
2,Plotnytskyi,UKR,34,4,31,8.5,49.28,69
3,Ngapeth,FRA,32,3,49,8.0,38.1,84
4,Marcus,BRA,30,5,28,7.5,47.62,63
5,Maique,BRA,28,3,31,7.0,45.16,62
6,Paulo,BRA,27,7,62,6.75,28.12,96
7,K・Fujinaka,JPN,23,2,66,5.75,25.27,91
8,Perrin,CAN,22,3,60,5.5,25.88,85
8,Semeniuk,POL,22,3,21,5.5,47.83,46
9,Alexandre,BRA,19,0,19,9.5,50.0,38
10,Rodriguinho,BRA,18,3,30,9.0,35.29,51
11,De Armas,CUB,15,3,50,3.75,22.06,68
11,Lopez,CUB,15,1,33,7.5,30.61,49
12,Senica,AUS,14,2,27,7.0,32.56,43
13,Colaci,ITA,12,1,25,3.0,31.58,38
14,Amit,IND,11,3,13,5.5,40.74,27
15,Ramanathan,IND,9,2,16,4.5,33.33,27
16,Lucas Loh,BRA,6,1,16,1.5,26.09,23
17,Onodera,JPN,4,1,5,1.0,40.0,10
18,Doğukan U.,TUR,3,0,4,0.75,42.86,7
19,Yu Y.T.,CHN,2,0,6,0.5,25.0,8
19,Isac,BRA,2,0,6,0.5,25.0,8
19,Toscani,ITA,2,0,1,0.5,66.67,3
20,M. Lagumdzija,TUR,1,0,2,0.25,33.33,3
20,Ünver,TUR,1,0,0,0.25,100.0,1
20,Nimir,NED,1,0,1,0.25,50.0,2
20,Sato,JPN,1,0,2,0.25,33.33,3
20,Nandagopal,IND,1,0,2,0.5,33.33,3
20,Manoj,IND,1,0,1,0.5,50.0,2
20,Wallace,BRA,1,0,0,0.5,100.0,1
20,C. Souza,BRA,1,1,2,0.5,25.0,4
20,Sole,ITA,1,0,0,0.25,100.0,1
21,Aslan,TUR,0,0,0,,,0
21,Ivgen,TUR,0,0,0,,,0
21,Matić,TUR,0,0,2,0.0,0.0,2
21,Tuna,TUR,0,0,0,,,0
21,Ma'a,USA,0,0,1,0.0,0.0,1
21,Coşkun,TUR,0,0,0,,,0
21,Tayaz,TUR,0,0,0,,,0
21,Atomu,JPN,0,0,0,,,0
21,Oya,JPN,0,0,3,0.0,0.0,3
21,Muserskiy,RUS,0,0,0,,,0
21,Oniki,JPN,0,0,0,,,0
21,Kiire,JPN,0,0,0,,,0
21,Nishida,JPN,0,0,0,,,0
21,Rui,JPN,0,0,0,,,0
21,Kuwada,JPN,0,0,0,,,0
21,Angamuthu,IND,0,0,1,0.0,0.0,1
21,Srikanth,IND,0,0,0,,,0
21,Azmath,IND,0,0,1,0.0,0.0,1
21,Muthusamy,IND,0,0,0,,,0
21,Santosh,IND,0,0,0,,,0
21,Ashwal,IND,0,1,1,0.0,0.0,2
21,Patel,IND,0,0,0,,,0
21,Ukkra Pandian,IND,0,0,0,,,0
21,Shetty,IND,0,0,0,,,0
21,Wilmot,USA,0,0,0,,,0
21,Gustavo,BRA,0,0,3,0.0,0.0,3
21,M. Radke,BRA,0,0,0,,,0
21,Samuel,BRA,0,0,0,,,0
21,Sánchez B.,CUB,0,0,0,,,0
21,Renan,BRA,0,1,2,0.0,0.0,3
21,Kelvi,BRA,0,0,2,0.0,0.0,2
21,Bryan,BRA,0,0,0,,,0
21,Filipe,BRA,0,0,0,,,0
21,Oppenkoski,BRA,0,0,0,,,0
21,Otávio,BRA,0,0,0,,,0
21,Uriarte,ARG,0,0,0,,,0
21,Rech,BRA,0,0,0,,,0
21,Lukinhas,BRA,0,0,0,,,0
21,Rodrigo,BRA,0,0,0,,,0
21,Vaccari,BRA,0,0,2,0.0,0.0,2
21,Lucas,BRA,0,0,1,0.0,0.0,1
21,Carlos,BRA,0,0,0,,,0
21,Yuito,JPN,0,0,0,,,0
21,Candellaro,ITA,0,0,0,,,0
21,Held,ITA,0,0,2,0.0,0.0,2
21,Giannelli,ITA,0,0,2,0.0,0.0,2
21,Herrera,CUB,0,0,0,,,0
21,Leon,POL,0,0,0,,,0
21,Ben Tara W,TUN,0,0,0,,,0
21,Flavio,BRA,0,0,1,0.0,0.0,1
21,Russo,ITA,0,0,0,,,0
21,Ropret,SLO,0,0,0,,,0
