web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742891140-1","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","1","Wallace","BRA","97","24","59","19.40","53.89","180"
"1742891140-2","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","2","Hajipour","IRI","77","25","50","15.40","50.66","152"
"1742891140-3","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","3","Abdolhamidi","IRI","58","24","45","11.60","45.67","127"
"1742891140-4","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","4","A. Nikolov","BUL","56","14","44","11.20","49.12","114"
"1742891140-5","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","5","A. Lagumdzija","TUR","54","15","45","10.80","47.37","114"
"1742891140-6","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","6","Ponzio","ARG","48","15","25","16.00","54.55","88"
"1742891140-7","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","7","Vaccari","BRA","45","15","33","9.00","48.39","93"
"1742891140-8","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","8","Michieletto","ITA","44","12","32","8.80","50.00","88"
"1742891140-9","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","9","Bottolo","ITA","43","14","38","8.60","45.26","95"
"1742891140-10","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","9","Rodriguinho","BRA","43","9","31","8.60","51.81","83"
"1742891140-11","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","10","Chinenyeze","FRA","41","2","29","8.20","56.94","72"
"1742891140-12","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","11","A. Ghafour","IRI","40","11","32","13.33","48.19","83"
"1742891140-13","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","12","Rychlicki","ITA","38","11","24","7.60","52.05","73"
"1742891140-14","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","13","Usman","PAK","37","16","19","12.33","51.39","72"
"1742891140-15","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","14","Seyed","IRI","35","5","11","7.00","68.63","51"
"1742891140-16","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","14","Mohammad","IRI","35","6","25","7.00","53.03","66"
"1742891140-17","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","15","Maicon","BRA","34","15","22","11.33","47.89","71"
"1742891140-18","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","15","Lucas","BRA","34","3","20","6.80","59.65","57"
"1742891140-19","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","16","Lavia","ITA","32","10","32","6.40","43.24","74"
