Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success,Total
1,Rodriguinho,BRA,42,10,96,8.4,28.38,148
2,Balaso,ITA,39,2,70,7.8,35.14,111
3,Bottolo,ITA,34,2,66,6.8,33.33,102
4,Marandi,IRI,31,4,53,6.2,35.23,88
5,Elhossiny,EGY,29,4,65,9.67,29.59,98
6,M. R. Moazzen,IRI,26,3,40,8.67,37.68,69
6,Garcia,CUB,26,3,30,8.67,44.07,59
7,Abdolhamidi,IRI,25,3,80,5.0,23.15,108
8,Lavia,ITA,23,5,62,4.6,25.56,90
8,Alexandre,BRA,23,1,44,4.6,33.82,68
9,Lucas Loh,BRA,22,2,38,7.33,35.48,62
9,Vaccari,BRA,22,4,70,4.4,22.92,96
10,Usman,PAK,19,3,36,6.33,32.76,58
11,A.Khalili,IRI,18,9,40,3.6,26.87,67
11,A. Nikolov,BUL,18,3,57,3.6,23.08,78
11,Zelayeta,ARG,18,2,26,6.0,39.13,46
12,Esi,IRI,17,4,48,3.4,24.64,69
13,Laurenzano,ITA,16,2,39,3.2,28.07,57
14,Michieletto,ITA,14,2,48,2.8,21.88,64
15,Loeppky,CAN,13,3,21,2.6,35.14,37
15,Maicon,BRA,13,8,48,4.33,18.84,69
16,Douglas,BRA,12,1,27,2.4,30.0,40
17,Salim,IRI,10,1,32,3.33,23.26,43
17,Pedro,BRA,10,5,40,3.33,18.18,55
17,Diaz,ARG,10,1,28,3.33,25.64,39
18,Bristot,ITA,9,4,18,1.8,29.03,31
19,Zalcman,ARG,8,2,29,2.67,20.51,39
20,Facu,ARG,7,4,34,2.33,15.56,45
21,Asran,EGY,6,1,50,2.0,10.53,57
22,Magalini,ITA,5,4,13,1.0,22.73,22
23,Poriya,IRI,4,0,19,0.8,17.39,23
24,Younes,IRI,3,0,14,1.0,17.65,17
24,Seyed,IRI,3,0,2,0.6,60.0,5
25,Pesaresi,ITA,2,1,6,0.4,22.22,9
25,Pellacani,ITA,2,0,5,0.4,28.57,7
25,Temponi,BRA,2,1,9,0.67,16.67,12
25,Rafa,BRA,2,0,1,0.67,66.67,3
25,Otávio,BRA,2,0,1,0.4,66.67,3
25,Gomez,ARG,2,6,25,0.67,6.06,33
25,Nicolas,ARG,2,0,5,0.67,28.57,7
26,A. Ghafour,IRI,1,1,6,0.33,12.5,8
26,Mohammad,IRI,1,2,1,0.2,25.0,4
26,Chinenyeze,FRA,1,0,3,0.2,25.0,4
26,Gargiulo,ITA,1,0,2,0.2,33.33,3
26,Rech,BRA,1,0,0,0.33,100.0,1
26,Eslam,EGY,1,0,6,0.33,14.29,7
26,A. Seoudy,EGY,1,0,0,0.33,100.0,1
26,Garcia,ARG,1,0,1,0.33,50.0,2
27,Sbertoli,ITA,0,1,1,0.0,0.0,2
27,Garcia,USA,0,1,0,0.0,0.0,1
27,Rychlicki,ITA,0,0,1,0.0,0.0,1
27,Bartha,ROU,0,0,4,0.0,0.0,4
27,Flavio,BRA,0,0,1,0.0,0.0,1
27,Acquarone,ITA,0,0,1,0.0,0.0,1
27,Ilshan,IRI,0,0,1,0.0,0.0,1
27,Shayan,IRI,0,0,0,,,0
27,Concepcion,CUB,0,0,5,0.0,0.0,5
27,Ali Asghar,IRI,0,0,0,,,0
27,Masoud,IRI,0,1,1,0.0,0.0,2
27,Mehdi,IRI,0,0,0,,,0
27,Mohsen,IRI,0,0,0,,,0
27,Ahmadreza,IRI,0,0,0,,,0
27,Seyed,IRI,0,0,0,,,0
27,Karami,IRI,0,0,0,,,0
27,Ashkan,IRI,0,0,0,,,0
27,Ahmadreza,IRI,0,0,1,0.0,0.0,1
27,A. Ramezani,IRI,0,0,1,0.0,0.0,1
27,Hajipour,IRI,0,1,0,0.0,0.0,1
27,Armin,IRI,0,0,0,,,0
27,Orduna,ITA,0,0,0,,,0
27,Bisotto,ITA,0,0,0,,,0
27,Boninfante,ITA,0,0,0,,,0
27,A. Lagumdzija,TUR,0,0,0,,,0
27,Dirlic P.,CRO,0,0,0,,,0
27,Podraščanin,ITA,0,0,0,,,0
27,Davi Tenorio,ESP,0,0,0,,,0
27,Arthur,BRA,0,0,0,,,0
27,Wallaf,BRA,0,0,0,,,0
27,Gustavo,BRA,0,0,1,0.0,0.0,1
27,Franco,BRA,0,0,0,,,0
27,Pietro,BRA,0,0,3,0.0,0.0,3
27,Aladdin,BRA,0,0,1,0.0,0.0,1
27,Eliezer,BRA,0,0,1,0.0,0.0,1
27,B. Alves,BRA,0,0,0,,,0
27,Abdalla,EGY,0,0,1,0.0,0.0,1
27,Halim,EGY,0,0,2,0.0,0.0,2
27,A. Salah,EGY,0,0,0,,,0
27,Hamada,EGY,0,0,1,0.0,0.0,1
27,M. Ramadan,EGY,0,0,1,0.0,0.0,1
27,Hossam,EGY,0,0,0,,,0
27,Khaled. A,EGY,0,0,2,0.0,0.0,2
27,Seif Abed,EGY,0,0,0,,,0
27,Z. Osama,EGY,0,0,0,,,0
27,Oppenkoski,BRA,0,0,0,,,0
27,Felipe,BRA,0,0,0,,,0
27,Matheus G.,BRA,0,1,3,0.0,0.0,4
27,Velasco,COL,0,0,0,,,0
27,Lukinhas,BRA,0,0,1,0.0,0.0,1
27,Wallace,BRA,0,0,1,0.0,0.0,1
27,Rodrigo,BRA,0,0,0,,,0
27,Lucas,BRA,0,1,4,0.0,0.0,5
27,Martos,BRA,0,0,0,,,0
27,Albrecht,ARG,0,0,1,0.0,0.0,1
27,Maciel,ARG,0,0,0,,,0
27,Ponzio,ARG,0,0,0,,,0
27,Gonzalez,ARG,0,0,0,,,0
27,Soria R.,ARG,0,1,1,0.0,0.0,2
27,Soria S.,ARG,0,0,0,,,0
27,Steeman,ARG,0,0,0,,,0
