Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Leal,BRA,107,24,72,15.29,52.71,203
2,Čebulj,SLO,95,26,90,13.57,45.02,211
3,Lavia,ITA,91,22,59,13.0,52.91,172
4,Wallace,BRA,85,31,57,12.14,49.13,173
4,Kurek,POL,85,30,54,12.14,50.3,169
5,Romanò,ITA,82,28,62,11.71,47.67,172
6,Lima B.,ARG,78,23,37,15.6,56.52,138
7,A. Lagumdzija,TUR,77,14,49,19.25,55.0,140
8,Nimir,NED,76,21,26,19.0,61.79,123
9,Herrera,CUB,72,30,31,18.0,54.14,133
9,Semeniuk,POL,72,15,53,10.29,51.43,140
10,Facu,ARG,70,20,54,14.0,48.61,144
11,Michieletto,ITA,69,18,71,9.86,43.67,158
12,Russell,USA,66,15,52,13.2,49.62,133
12,Urnaut,SLO,66,24,61,9.43,43.71,151
13,Ngapeth,FRA,65,19,61,13.0,44.83,145
13,T. Štern,SLO,65,29,61,9.29,41.94,155
14,Plotnytskyi,UKR,64,16,50,12.8,49.23,130
15,Nishida,JPN,63,15,34,15.75,56.25,112
16,Śliwka,POL,61,18,43,8.71,50.0,122
17,Anderson,USA,55,13,46,11.0,48.25,114
18,Milad,IRI,54,18,27,13.5,54.55,99
19,Gonzalez,MEX,49,16,22,16.33,56.32,87
20,Loser Bruno,ARG,48,3,19,9.6,68.57,70
21,Defalco,USA,47,19,36,9.4,46.08,102
22,Lucarelli,BRA,45,18,40,6.43,43.69,103
23,Amin,IRI,44,17,38,11.0,44.44,99
23,Tupchii,UKR,44,17,26,8.8,50.57,87
24,Karlitzek,GER,43,18,28,10.75,48.31,89
25,Ishikawa,JPN,42,16,22,10.5,52.5,80
26,Flavio,BRA,41,8,22,5.86,57.75,71
26,Chinenyeze,FRA,41,5,7,8.2,77.36,53
26,Patry,FRA,41,14,49,8.2,39.42,104
26,Kochanowski,POL,41,2,12,5.86,74.55,55
26,Bieniek,POL,41,6,30,5.86,53.25,77
26,Sokolov,BUL,41,18,32,13.67,45.05,91
26,Kovalov,UKR,41,18,32,8.2,45.05,91
26,Sclater,CAN,41,12,26,13.67,51.9,79
27,Ter Horst,NED,40,14,20,10.0,54.05,74
28,Lucas,BRA,39,6,18,5.57,61.9,63
28,Boyer,FRA,39,12,9,7.8,65.0,60
29,Simón,CUB,38,5,8,9.5,74.51,51
29,Lawrence,PUR,38,15,17,12.67,54.29,70
30,Pajenk,SLO,36,10,15,5.14,59.02,61
31,Morteza,IRI,34,11,15,8.5,56.67,60
31,Kovačević,SRB,34,9,21,8.5,53.12,64
32,A.Said,EGY,33,15,34,11.0,40.24,82
32,Nagga H.,TUN,33,18,45,8.25,34.38,96
32,Ivović,SRB,33,11,24,8.25,48.53,68
33,Ran,JPN,32,9,34,8.0,42.67,75
33,A. Nikolov,BUL,32,7,23,10.67,51.61,62
33,Güngör,TUR,32,13,24,8.0,46.38,69
34,Y.Oughlaf,QAT,31,16,27,10.33,41.89,74
34,Semeniuk,UKR,31,6,13,6.2,62.0,50
35,Subaşı,TUR,30,10,22,7.5,48.39,62
35,Vicentin,ARG,30,7,24,6.0,49.18,61
35,Karamosli E,TUN,30,12,33,7.5,40.0,75
36,Lopez,CUB,29,24,41,7.25,30.85,94
37,Yant,CUB,28,13,18,7.0,47.46,59
38,Clevenot,FRA,27,10,20,5.4,47.37,57
38,Reichert,GER,27,14,24,6.75,41.54,65
38,Asparuhov,BUL,27,9,17,9.0,50.94,53
39,Weber,GER,26,12,20,6.5,44.83,58
39,Jendryk,USA,26,2,16,5.2,59.09,44
39,Smith,USA,26,5,8,5.2,66.67,39
39,Fornal,POL,26,6,21,3.71,49.06,53
40,Krick,GER,25,1,5,6.25,80.65,31
40,Landry,CMR,25,11,22,8.33,43.1,58
40,Kody,CMR,25,8,34,8.33,37.31,67
40,Zhang J.Y.,CHN,25,9,21,8.33,45.45,55
40,R.Haikal,EGY,25,10,19,8.33,46.3,54
40,Issa,EGY,25,12,10,8.33,53.19,47
40,Maar,CAN,25,9,26,8.33,41.67,60
41,Mergarejo,CUB,24,7,21,6.0,46.15,52
41,Lopez,MEX,24,13,23,8.0,40.0,60
41,Kozamernik,SLO,24,7,12,3.43,55.81,43
41,Bouguerra.A,TUN,24,11,18,6.0,45.28,53
41,Drozd,UKR,24,3,8,4.8,68.57,35
41,Lisinac,SRB,24,1,7,6.0,75.0,32
41,Galassi,ITA,24,3,13,3.43,60.0,40
42,Yamauchi,JPN,23,3,12,5.75,60.53,38
