Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Loser Bruno,ARG,17,30,2,3.4,-26.53,49
2,Lucas,BRA,16,30,4,2.29,-28.0,50
2,Flavio,BRA,16,28,4,2.29,-25.0,48
2,Bieniek,POL,16,31,13,2.29,-25.0,60
3,Kozamernik,SLO,15,29,8,2.14,-26.92,52
4,Čebulj,SLO,13,11,5,1.86,6.9,29
4,Drozd,UKR,13,41,8,2.6,-45.16,62
5,Galassi,ITA,12,17,9,1.71,-13.16,38
5,Anzani,ITA,12,20,9,1.71,-19.51,41
6,Simón,CUB,11,17,6,2.75,-17.65,34
6,Onodera,JPN,11,16,4,2.75,-16.13,31
6,Pajenk,SLO,11,19,8,1.57,-21.05,38
7,Chinenyeze,FRA,10,16,13,2.0,-15.38,39
7,Krick,GER,10,10,3,2.5,0.0,23
7,Semeniuk,UKR,10,17,13,2.0,-17.5,40
7,Lavia,ITA,10,24,3,1.43,-37.84,37
7,Russo,ITA,10,11,4,1.43,-4.0,25
8,Wallace,BRA,9,12,3,1.29,-12.5,24
8,Osoria,CUB,9,12,5,2.25,-11.54,26
8,Le Goff,FRA,9,16,6,1.8,-22.58,31
8,Smith,USA,9,29,7,1.8,-44.44,45
8,Rodriguez,MEX,9,30,8,3.0,-44.68,47
8,Kochanowski,POL,9,36,10,1.29,-49.09,55
8,T. Štern,SLO,9,10,4,1.29,-4.35,23
8,Parkinson,NED,9,12,2,2.25,-13.04,23
8,A. Seoudy,EGY,9,9,0,3.0,0.0,18
8,Agrebi O,TUN,9,20,7,2.25,-30.56,36
8,Plotnytskyi,UKR,9,7,9,1.8,8.0,25
8,Podraščanin,ITA,9,23,7,2.25,-35.9,39
8,Romanò,ITA,9,15,2,1.29,-23.08,26
9,Leal,BRA,8,14,5,1.14,-22.22,27
9,Grozdanov,BUL,8,18,10,2.67,-27.78,36
9,Giannelli,ITA,8,8,8,1.14,0.0,24
10,Nishida,JPN,7,10,1,1.75,-16.67,18
10,Russell,USA,7,13,3,1.4,-26.09,23
10,Kurek,POL,7,12,2,1.0,-23.81,21
10,Nimir,NED,7,6,2,1.75,6.67,15
10,Toukhteh,IRI,7,11,5,1.75,-17.39,23
10,Kovalov,UKR,7,7,3,1.4,0.0,17
11,Yamauchi,JPN,6,11,6,1.5,-21.74,23
11,Christenson,USA,6,15,3,1.2,-37.5,24
11,Güneş,TUR,6,9,2,1.5,-17.65,17
11,Dola,EGY,6,12,3,2.0,-28.57,21
11,De Cecco,ARG,6,9,1,1.2,-18.75,16
11,Vicentin,ARG,6,4,0,1.2,20.0,10
11,Ramos,ARG,6,16,0,1.2,-45.45,22
11,Milad,IRI,6,6,4,1.5,0.0,16
11,Michieletto,ITA,6,16,6,0.86,-35.71,28
12,Lucarelli,BRA,5,11,0,0.71,-37.5,16
12,Belal,QAT,5,11,3,1.67,-31.58,19
12,Ibrahim,QAT,5,7,4,1.67,-12.5,16
12,Kłos,POL,5,2,2,0.71,33.33,9
12,Śliwka,POL,5,12,2,0.71,-36.84,19
12,Semeniuk,POL,5,16,8,0.71,-37.93,29
12,Fornal,POL,5,11,1,0.71,-35.29,17
12,A. Lagumdzija,TUR,5,5,0,1.25,0.0,10
12,Keemink,NED,5,4,2,1.25,9.09,11
12,Plak,NED,5,14,4,1.25,-39.13,23
12,Mojarad,IRI,5,17,1,1.25,-52.17,23
12,Karamosli E,TUN,5,15,1,1.25,-47.62,21
12,Jovović,SRB,5,8,8,1.25,-14.29,21
12,Van Berkel,CAN,5,6,4,1.67,-6.67,15
13,Lopez,CUB,4,6,2,1.0,-16.67,12
13,Boyer,FRA,4,4,2,0.8,0.0,10
13,Defalco,USA,4,11,5,0.8,-35.0,20
13,Vinčić,SLO,4,8,2,0.57,-28.57,14
13,Peng S.K.,CHN,4,10,1,1.33,-40.0,15
13,Issa,EGY,4,10,0,1.33,-42.86,14
13,Lima B.,ARG,4,18,1,0.8,-60.87,23
13,Zerba,ARG,4,5,1,0.8,-10.0,10
13,Kadhi A,TUN,4,17,3,1.0,-54.17,24
13,Tupchii,UKR,4,18,8,0.8,-46.67,30
13,Lisinac,SRB,4,17,5,1.0,-50.0,26
14,Bruno,BRA,3,2,1,0.43,16.67,6
14,Taboada,CUB,3,3,2,0.75,0.0,8
14,Patry,FRA,3,5,2,0.6,-20.0,10
