Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Thales,BRA,59,12,7,8.43,75.64,78
2,Zatorski,POL,52,15,6,7.43,71.23,73
3,Balaso,ITA,48,19,11,6.86,61.54,78
4,Kovačič,SLO,39,17,5,5.57,63.93,61
5,Danani,ARG,30,10,4,6.0,68.18,44
6,E. Shoji,USA,28,17,6,5.6,54.9,51
7,Lavia,ITA,26,7,0,3.71,78.79,33
8,Giannelli,ITA,25,10,5,3.57,62.5,40
9,Garcia,CUB,24,12,2,6.0,63.16,38
9,Anderson,USA,24,14,2,4.8,60.0,40
10,Kurek,POL,23,8,4,3.29,65.71,35
11,Plotnytskyi,UKR,22,7,1,4.4,73.33,30
11,Michieletto,ITA,22,10,1,3.14,66.67,33
12,Urnaut,SLO,21,8,2,3.0,67.74,31
12,Romanò,ITA,21,11,3,3.0,60.0,35
13,Leal,BRA,20,7,8,2.86,57.14,35
13,Lucarelli,BRA,20,6,1,2.86,74.07,27
13,Kovalov,UKR,20,9,2,4.0,64.52,31
14,Yamamoto,JPN,19,6,1,4.75,73.08,26
14,Grebennikov,FRA,19,8,0,3.8,70.37,27
14,Zenger,GER,19,7,1,4.75,70.37,27
14,Čebulj,SLO,19,17,3,2.71,48.72,39
15,Semeniuk,POL,18,5,5,2.57,64.29,28
15,Janusz,POL,18,11,0,2.57,62.07,29
16,Ran,JPN,17,3,3,4.25,73.91,23
16,Kampa,GER,17,5,0,4.25,77.27,22
16,V. Ivanov,BUL,17,11,4,5.67,53.12,32
16,Ropret,SLO,17,6,1,2.43,70.83,24
17,Russell,USA,16,16,1,3.2,48.48,33
17,Kanaiev,UKR,16,11,2,3.2,55.17,29
18,Wallace,BRA,14,4,2,2.0,70.0,20
18,Ngapeth,FRA,14,2,1,2.8,82.35,17
19,Bravo,MEX,13,7,0,4.33,65.0,20
19,Śliwka,POL,13,5,0,1.86,72.22,18
19,Subaşı,TUR,13,4,0,3.25,76.47,17
20,Fernando,BRA,12,10,3,1.71,48.0,25
20,Herrera,CUB,12,5,2,3.0,63.16,19
20,T. Štern,SLO,12,6,1,1.71,63.16,19
20,Milad,IRI,12,6,1,3.0,63.16,19
20,Hazrat,IRI,12,4,1,3.0,70.59,17
21,Bruno,BRA,11,7,2,1.57,55.0,20
21,Christenson,USA,11,8,1,2.2,55.0,20
21,Bieniek,POL,11,6,1,1.57,61.11,18
21,Ter Horst,NED,11,4,0,2.75,73.33,15
21,Facu,ARG,11,5,6,2.2,50.0,22
21,Tupchii,UKR,11,7,2,2.2,55.0,20
21,Shchytkov,UKR,11,3,2,2.2,68.75,16
22,Lucas,BRA,10,1,1,1.43,83.33,12
22,Defalco,USA,10,6,4,2.0,50.0,20
22,Sokolov,BUL,10,12,1,3.33,43.48,23
22,Pajenk,SLO,10,4,0,1.43,71.43,14
22,Kozamernik,SLO,10,2,2,1.43,71.43,14
22,De Cecco,ARG,10,5,3,2.0,55.56,18
22,Vadi,IRI,10,1,0,2.5,90.91,11
22,Ben Slimene K,TUN,10,7,1,2.5,55.56,18
22,Nagga H.,TUN,10,5,1,2.5,62.5,16
22,Hmissi S,TUN,10,8,1,2.5,52.63,19
22,Vargas,PUR,10,6,0,3.33,62.5,16
22,Marshall,CAN,10,5,3,3.33,55.56,18
23,Flavio,BRA,9,1,1,1.29,81.82,11
23,Nishida,JPN,9,8,2,2.25,47.37,19
23,Sekita,JPN,9,5,1,2.25,60.0,15
23,Brizard,FRA,9,5,1,1.8,60.0,15
