Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Leal,BRA,125,107,8,10
2,Čebulj,SLO,114,95,13,6
3,Lavia,ITA,103,91,10,2
4,Kurek,POL,100,85,7,8
5,Wallace,BRA,97,85,9,3
5,Romanò,ITA,97,82,9,6
6,Nimir,NED,95,76,7,12
7,Plotnytskyi,UKR,91,64,9,18
8,Semeniuk,POL,87,72,5,10
9,A. Lagumdzija,TUR,86,77,5,4
9,Lima B.,ARG,86,78,4,4
10,T. Štern,SLO,84,65,9,10
11,Herrera,CUB,83,72,2,9
12,Michieletto,ITA,82,69,6,7
13,Russell,USA,78,66,7,5
13,Facu,ARG,78,70,3,5
14,Nishida,JPN,76,63,7,6
14,Ngapeth,FRA,76,65,3,8
15,Loser Bruno,ARG,72,48,17,7
16,Urnaut,SLO,71,66,2,3
17,Śliwka,POL,68,61,5,2
17,Bieniek,POL,68,41,16,11
18,Milad,IRI,65,54,6,5
19,Lucas,BRA,64,39,16,9
20,Flavio,BRA,59,41,16,2
21,Anderson,USA,58,55,2,1
21,Kochanowski,POL,58,41,9,8
22,Defalco,USA,56,47,4,5
22,Gonzalez,MEX,56,49,3,4
23,Lucarelli,BRA,53,45,5,3
24,Simón,CUB,52,38,11,3
24,Chinenyeze,FRA,52,41,10,1
24,Kovalov,UKR,52,41,7,4
25,Pajenk,SLO,51,36,11,4
26,Amin,IRI,49,44,3,2
26,Tupchii,UKR,49,44,4,1
27,Karlitzek,GER,48,43,1,4
27,Sokolov,BUL,48,41,3,4
27,Semeniuk,UKR,48,31,10,7
28,Ishikawa,JPN,47,42,2,3
28,Patry,FRA,47,41,3,3
29,Ter Horst,NED,45,40,3,2
30,Boyer,FRA,44,39,4,1
30,Kozamernik,SLO,44,24,15,5
31,Sclater,CAN,43,41,0,2
32,Güngör,TUR,41,32,3,6
33,Lawrence,PUR,40,38,1,1
33,Drozd,UKR,40,24,13,3
34,Karamosli E,TUN,39,30,5,4
34,Kovačević,SRB,39,34,2,3
34,Galassi,ITA,39,24,12,3
35,Smith,USA,38,26,9,3
35,Vicentin,ARG,38,30,6,2
36,Lopez,CUB,36,29,4,3
36,Ran,JPN,36,32,2,2
36,A. Nikolov,BUL,36,32,1,3
36,Morteza,IRI,36,34,0,2
36,Ivović,SRB,36,33,3,0
37,Krick,GER,35,25,10,0
37,Subaşı,TUR,35,30,2,3
37,A.Said,EGY,35,33,0,2
37,Nagga H.,TUN,35,33,1,1
38,Y.Oughlaf,QAT,33,31,2,0
38,Clevenot,FRA,33,27,3,3
38,Fornal,POL,33,26,5,2
38,Toukhteh,IRI,33,21,7,5
38,Podraščanin,ITA,33,17,9,7
39,Jendryk,USA,31,26,3,2
39,Lisinac,SRB,31,24,4,3
40,Yamauchi,JPN,30,23,6,1
40,Reichert,GER,30,27,0,3
40,Issa,EGY,30,25,4,1
40,Anzani,ITA,30,16,12,2
40,Maar,CAN,30,25,2,3
41,Yant,CUB,29,28,0,1
41,Lopez,MEX,29,24,1,4
41,Parkinson,NED,29,19,9,1
42,Osoria,CUB,28,19,9,0
42,Weber,GER,28,26,1,1
42,Asparuhov,BUL,28,27,1,0
42,Zhang J.Y.,CHN,28,25,1,2
42,Tuinstra,NED,28,23,2,3
42,Ramos,ARG,28,22,6,0
42,Molina,PUR,28,19,2,7
43,Landry,CMR,27,25,1,1
43,Kody,CMR,27,25,2,0
43,Plak,NED,27,19,5,3
44,Mergarejo,CUB,26,24,0,2
44,Le Goff,FRA,26,17,9,0
44,R.Haikal,EGY,26,25,0,1
44,Bouguerra.A,TUN,26,24,2,0
45,Voukeng,CMR,25,21,3,1
45,Dola,EGY,25,19,6,0
45,Petkovic,SRB,25,19,3,3
46,Atanasijević,SRB,24,14,2,8
46,Giannelli,ITA,24,11,8,5
46,Russo,ITA,24,14,10,0
47,Onodera,JPN,23,12,11,0
47,Renan,QAT,23,21,1,1
47,Kadhi A,TUN,23,19,4,0
48,Belal,QAT,22,14,5,3
48,Ibrahim,QAT,22,16,5,1
48,Možič,SLO,22,20,2,0
48,Güneş,TUR,22,15,6,1
49,Fuentes,MEX,21,17,1,3
49,Kaczmarek,POL,21,20,1,0
49,Zhang G.H.,CHN,21,20,1,0
49,Mojarad,IRI,21,14,5,2
49,Vargas,PUR,21,18,0,3
49,Rodriguez,PUR,21,18,2,1
50,Nikola,QAT,20,16,2,2
50,Tillie,FRA,20,18,1,1
50,Fromm,GER,20,19,1,0
51,Rodriguez,MEX,19,9,9,1
51,Grozdanov,BUL,19,11,8,0
51,Yu Y.T.,CHN,19,16,1,2
51,A. Seoudy,EGY,19,9,9,1
51,Agrebi O,TUN,19,10,9,0
51,Nieves,PUR,19,14,3,2
52,Gotsev,BUL,18,13,3,2
52,Esfandiar,IRI,18,14,3,1
53,Bedirhan,TUR,17,13,3,1
53,Szwarc,CAN,17,12,1,4
54,Louati,FRA,16,12,0,4
54,Van Berkel,CAN,16,11,5,0
55,Brizard,FRA,15,7,3,5
55,Maase,GER,15,12,3,0
55,De Cecco,ARG,15,7,6,2
55,Hoag,CAN,15,11,0,4
56,Christenson,USA,14,6,6,2
56,Palacios,ARG,14,11,3,0
56,Barnes,CAN,14,11,1,2
57,Peng S.K.,CHN,13,9,4,0
58,Keemink,NED,12,6,5,1
59,Rodriguinho,BRA,11,8,1,2
59,Ensing,USA,11,10,0,1
59,Muagututia,USA,11,9,0,2
59,Kofane,CMR,11,8,3,0
59,Zhang Z.J.,CHN,11,9,2,0
59,Zerba,ARG,11,6,4,1
60,Otsuka,JPN,10,10,0,0
60,Kampa,GER,10,6,0,4
61,Darlan,BRA,9,7,0,2
61,Jouffroy,FRA,9,5,2,2
61,Krage,GER,9,8,0,1
61,Badawe,CMR,9,7,2,0
61,Kukartsev,ARG,9,6,1,2
61,B.Othmen M.,TUN,9,6,3,0
62,Brand,GER,8,7,0,1
62,Vinčić,SLO,8,3,4,1
62,Dolengombai,CMR,8,5,1,2
62,Bitouna,CMR,8,6,1,1
62,Ekşi,TUR,8,4,2,2
62,Hossam,EGY,8,5,2,1
62,Kazemi,IRI,8,7,0,1
62,J.Manavi,IRI,8,5,2,1
62,Vadi,IRI,8,5,1,2
62,Kisiliuk,UKR,8,7,1,0
62,Petric,SRB,8,8,0,0
63,Adriano,BRA,7,5,2,0
63,Averill,USA,7,4,1,2
63,Martinez,MEX,7,7,0,0
63,Palonsky,ARG,7,6,0,1
63,Ben Slimene K,TUN,7,2,3,2
63,Jovović,SRB,7,2,5,0
64,Bruno,BRA,6,0,3,3
64,Aranda,MEX,6,3,1,2
64,Kłos,POL,6,1,5,0
64,Janusz,POL,6,0,1,5
64,Seganov,BUL,6,2,2,2
64,Ahmed,CMR,6,1,3,2
64,Hile,CMR,6,4,0,2
64,M. Lagumdzija,TUR,6,4,2,0
65,Fernando,BRA,5,2,2,1
65,Leandro,BRA,5,4,1,0
65,Mubarak,QAT,5,5,0,0
65,Poręba,POL,5,2,1,2
65,Doğukan U.,TUR,5,3,2,0
65,Deyo,EGY,5,4,1,0
65,Poluian,UKR,5,4,1,0
65,Shchytkov,UKR,5,2,1,2
66,Roque,BRA,4,2,1,1
66,Sánchez B.,CUB,4,3,1,0
66,Goide,CUB,4,1,2,1
66,Milos,QAT,4,1,2,1
66,Sanay,MEX,4,4,0,0
66,Atanasov,BUL,4,3,1,0
66,Li Y.Z.,CHN,4,3,1,0
66,Jorna,NED,4,3,1,0
66,Gallego,ARG,4,3,1,0
66,Iglesias,PUR,4,3,1,0
66,Lopez,PUR,4,3,0,1
66,Howe,CAN,4,4,0,0
