web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
"1742823335-1","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","1","Plotnytskyi","UKR","18","16","48","3.60","21.95","82"
"1742823335-2","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","2","Nimir","NED","12","27","35","3.00","16.22","74"
"1742823335-3","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","3","Bieniek","POL","11","16","78","1.57","10.48","105"
"1742823335-4","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","4","Leal","BRA","10","20","61","1.43","10.99","91"
"1742823335-5","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","4","Semeniuk","POL","10","22","68","1.43","10.00","100"
"1742823335-6","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","4","T. Štern","SLO","10","17","67","1.43","10.64","94"
"1742823335-7","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","5","Lucas","BRA","9","17","82","1.29","8.33","108"
"1742823335-8","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","5","Herrera","CUB","9","23","25","2.25","15.79","57"
"1742823335-9","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","6","Ngapeth","FRA","8","20","48","1.60","10.53","76"
"1742823335-10","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","6","Kurek","POL","8","23","58","1.14","8.99","89"
"1742823335-11","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","6","Kochanowski","POL","8","24","65","1.14","8.25","97"
"1742823335-12","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","6","Atanasijević","SRB","8","6","24","2.00","21.05","38"
"1742823335-13","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","7","Loser Bruno","ARG","7","20","64","1.40","7.69","91"
"1742823335-14","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","7","Molina","PUR","7","4","28","2.33","17.95","39"
"1742823335-15","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","7","Semeniuk","UKR","7","11","54","1.40","9.72","72"
"1742823335-16","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","7","Podraščanin","ITA","7","7","45","1.75","11.86","59"
"1742823335-17","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","7","Michieletto","ITA","7","18","82","1.00","6.54","107"
"1742823335-18","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","8","Nishida","JPN","6","23","28","1.50","10.53","57"
"1742823335-19","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","8","Čebulj","SLO","6","26","58","0.86","6.67","90"
"1742823335-20","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","8","Güngör","TUR","6","10","22","1.50","15.79","38"
"1742823335-21","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","8","Romanò","ITA","6","22","75","0.86","5.83","103"
"1742823335-22","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Brizard","FRA","5","17","45","1.00","7.46","67"
"1742823335-23","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Russell","USA","5","11","54","1.00","7.14","70"
"1742823335-24","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Defalco","USA","5","16","35","1.00","8.93","56"
"1742823335-25","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Janusz","POL","5","8","61","0.71","6.76","74"
"1742823335-26","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Kozamernik","SLO","5","11","108","0.71","4.03","124"
"1742823335-27","https://en.volleyballworld.com/volleyball/competitions/men-world-championship/2022/statistics/best-servers/","9","Facu","ARG","5","19","57","1.00","6.17","81"
