Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Giannelli,ITA,139,3,376,19.86,26.83,518
2,De Cecco,ARG,131,3,314,26.2,29.24,448
3,Brizard,FRA,107,3,286,21.4,27.02,396
4,Janusz,POL,94,3,428,13.43,17.9,525
5,Kampa,GER,87,0,187,21.75,31.75,274
6,Fernando,BRA,84,3,335,12.0,19.91,422
7,Ropret,SLO,77,2,259,11.0,22.78,338
8,Vadi,IRI,69,2,201,17.25,25.37,272
9,Christenson,USA,68,2,267,13.6,20.18,337
9,Vinčić,SLO,68,2,179,9.71,27.31,249
10,Shchytkov,UKR,62,0,219,12.4,22.06,281
11,Sekita,JPN,56,2,260,14.0,17.61,318
11,Keemink,NED,56,1,233,14.0,19.31,290
12,Jovović,SRB,52,0,216,13.0,19.4,268
13,Ekşi,TUR,51,1,257,12.75,16.5,309
14,Ahmed,CMR,46,1,162,15.33,22.01,209
15,Epp,CAN,43,1,151,14.33,22.05,195
16,Yu Y.C.,CHN,39,3,130,13.0,22.67,172
17,Hossam,EGY,37,1,201,12.33,15.48,239
18,Taboada,CUB,36,5,185,9.0,15.93,226
19,Milos,QAT,34,1,180,11.33,15.81,215
20,Toniutti,FRA,28,0,51,5.6,35.44,79
21,Iglesias,PUR,27,2,176,9.0,13.17,205
22,Seganov,BUL,26,0,239,8.67,9.81,265
23,Goide,CUB,25,5,159,6.25,13.23,189
23,Łomacz,POL,25,0,71,3.57,26.04,96
24,Ben Slimene K,TUN,20,1,200,5.0,9.05,221
25,Bruno,BRA,19,3,183,2.71,9.27,205
26,Aranda,MEX,17,2,215,5.67,7.26,234
26,Hazrat,IRI,17,1,4,4.25,77.27,22
27,Tuaniga,USA,15,1,102,3.0,12.71,118
28,Zenger,GER,14,0,8,3.5,63.64,22
29,Synytsia,UKR,12,1,87,2.4,12.0,100
30,Sanchez Pages,ARG,11,0,18,2.2,37.93,29
30,Marshall,CAN,11,0,2,3.67,84.62,13
31,Lucarelli,BRA,10,0,4,1.43,71.43,14
31,Sulaiman,QAT,10,0,0,3.33,100.0,10
31,Yang Y.M.,CHN,10,0,0,3.33,100.0,10
32,Schott,GER,9,0,1,2.25,90.0,10
32,Reichert,GER,9,0,1,2.25,90.0,10
33,Kovačič,SLO,8,0,12,1.14,40.0,20
33,Urnaut,SLO,8,0,16,1.14,33.33,24
33,Andringa,NED,8,0,9,2.0,47.06,17
33,Lima B.,ARG,8,0,4,1.6,66.67,12
33,Lavia,ITA,8,0,8,1.14,50.0,16
34,Tuinstra,NED,7,0,0,1.75,100.0,7
35,De Weijer,NED,6,0,12,1.5,33.33,18
35,M. Reda,EGY,6,0,1,2.0,85.71,7
35,Milad,IRI,6,1,6,1.5,46.15,13
35,Michieletto,ITA,6,0,15,0.86,28.57,21
35,Balaso,ITA,6,0,17,0.86,26.09,23
36,Leal,BRA,5,2,5,0.71,41.67,12
36,Ran,JPN,5,0,4,1.25,55.56,9
37,Garcia,CUB,4,1,2,1.0,57.14,7
37,Diez,FRA,4,0,0,0.8,100.0,4
37,Zimmermann,GER,4,0,18,1.0,18.18,22
37,T. Štern,SLO,4,1,8,0.57,30.77,13
37,Čebulj,SLO,4,1,9,0.57,28.57,14
37,Liu M.,CHN,4,0,10,1.33,28.57,14
37,Facu,ARG,4,0,3,0.8,57.14,7
37,Danani,ARG,4,0,8,0.8,33.33,12
37,Nido,PUR,4,0,28,1.33,12.5,32
37,Walsh,CAN,4,1,28,1.33,12.12,33
38,Thales,BRA,3,1,10,0.43,21.43,14
38,Ngapeth,FRA,3,1,8,0.6,25.0,12
38,Karlitzek,GER,3,1,2,0.75,50.0,6
38,Badawe,CMR,3,0,0,1.0,100.0,3
38,Subaşı,TUR,3,0,1,0.75,75.0,4
38,A. Lagumdzija,TUR,3,0,0,0.75,100.0,3
