Position,Pos,Nationality,Nat,Age,Birth Date,Height
Middle blocker,MB,France,FR,27,28/02/1998,204cm
Libero,L,France,FR,34,13/08/1990,188cm
Opposite spiker,O,France,FR,28,27/12/1996,207cm
Setter,S,France,FR,35,30/10/1989,183cm
Outside Hitter,OH,France,FR,34,02/11/1990,200cm
Outside Hitter,OH,France,FR,34,12/02/1991,194cm
Setter,S,France,FR,30,22/05/1994,196cm
Middle blocker,MB,France,FR,33,15/02/1992,206cm
Outside Hitter,OH,France,FR,30,28/06/1994,199cm
Outside Hitter,OH,France,FR,33,04/03/1992,198cm
Opposite spiker,O,France,FR,25,12/10/1999,202cm
Middle blocker,MB,France,FR,31,05/07/1993,202cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
Middle blocker,MB,France,FR,27,28/02/1998,204cm
Libero,L,France,FR,34,13/08/1990,188cm
Opposite spiker,O,France,FR,28,27/12/1996,207cm
Setter,S,France,FR,35,30/10/1989,183cm
Outside Hitter,OH,France,FR,34,02/11/1990,200cm
Outside Hitter,OH,France,FR,34,12/02/1991,194cm
Setter,S,France,FR,30,22/05/1994,196cm
Middle blocker,MB,France,FR,33,15/02/1992,206cm
Outside Hitter,OH,France,FR,30,28/06/1994,199cm
Outside Hitter,OH,France,FR,33,04/03/1992,198cm
Opposite spiker,O,France,FR,25,12/10/1999,202cm
Middle blocker,MB,France,FR,31,05/07/1993,202cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
Outside Hitter,OH,France,FR,29,30/11/1995,195cm
